ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_249560_821496,249560.45600000,821495.79340000,BMP,4002031,5,PARK AVENUE,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,5,5,,,,,,,,,PARK,AVENUE,AVE,,,179214,,104,94,94,2014-03-19,-70.90513391713017,41.64214588707426,655300
M_250190_820892,250190.05160000,820892.39960000,BC,4003130,94,CENTER STREET,,,,,2,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,94,94,,,,,,,,,CENTER,STREET,ST,,,178944,,104,94,94,2014-03-19,-70.89762837956276,41.636673568772565,655300
M_250190_820892,250190.05160000,820892.39960000,BC,4001970,94-96,CENTER STREET,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,94,94,,,96,96,,,,,CENTER,STREET,ST,,,178944,,104,94,94,2014-03-19,-70.89762837956276,41.636673568772565,655300
M_249628_821471,249628.28340000,821471.07260000,BC,4000674,40,BRIDGE STREET,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,40,40,,,,,,,,,BRIDGE,STREET,ST,,,178922,,104,94,94,2014-03-19,-70.90432189450058,41.64191905634525,655300
M_249402_821334,249401.77140000,821333.81480000,BC,3998251,94,MIDDLE STREET,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,94,94,,,,,,,,,MIDDLE,STREET,ST,,,179163,,104,94,94,2014-03-19,-70.9070520362792,41.64069749243985,655300
M_252610_819099,252609.69760000,819099.48540000,BC,3996956,40,RESERVATION ROAD,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,40,40,,,,,,,,,RESERVATION,ROAD,RD,,,179249,,104,94,94,2014-03-19,-70.86874852396082,41.620373909356374,655400
M_252722_818570,252722.29460000,818569.62940000,BMP,3994945,19,SEDGEWICK ROAD,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,19,19,,,,,,,,,SEDGEWICK,ROAD,RD,,,178854,,104,94,94,2014-03-19,-70.86744469557436,41.61559595944153,655400
M_250309_819968,250308.89820000,819968.41120000,BC,3999947,51,CEDAR STREET,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,51,51,,,,,,,,,CEDAR,STREET,ST,,,178943,,104,94,94,2014-03-19,-70.89628054214504,41.62834706110066,655400
M_254362_821372,254362.27840000,821371.55480000,BMP,3995411,80,SHAWS COVE,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,80,80,,,,,,,,,SHAWS,COVE,CV,,,179291,,104,94,94,2014-03-19,-70.84751198109367,41.64071121646895,655100
M_250407_823844,250407.07400000,823844.12780000,BMP,3998086,75,OLIVER STREET,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,75,75,,,,,,,,,OLIVER,STREET,ST,,,179208,,104,94,94,2014-03-19,-70.89477243884504,41.66323501994929,655100
M_252087_820415,252087.46760000,820414.59420000,BMP,4000376,148,SCONTICUT NECK ROAD,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,148,148,,,,,,,,,SCONTICUT NECK,ROAD,RD,,,179279,,104,94,94,2014-03-19,-70.87489877326183,41.632248827869695,655400
M_249528_821369,249527.51820000,821369.39380000,BMP,4000153,115,MAIN STREET,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,115,115,,,,,,,,,MAIN,STREET,ST,,,179137,,104,94,94,2014-03-19,-70.90553982482085,41.64100994061992,655300
M_249457_821279,249456.67580000,821279.28120000,BC,4000661,4,COWEN STREET,,,,,,,,02719,,FAIRHAVEN,FAIRHAVEN,MA,,4,4,,,,,,,,,COWEN,STREET,ST,,,178973,,104,94,94,2014-03-19,-70.90639761902673,41.64020307153372,655300
