ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_175676_924046,175676.17180000,924046.45710000,BC,1361655,535,SOUTH STREET,,ASHLEY RIDGE/SOUTH BEND,,,9-2,,,01420,,FITCHBURG,FITCHBURG,MA,,535,535,,,,,,,,,SOUTH,STREET,ST,,,62581,21655,107,97,97,2017-04-21,-71.79623349612889,42.566596437462444,710200
M_175406_925844,175406.04060000,925843.89680000,BC,4204143,490,MAIN STREET,,,,,,,,01420,,FITCHBURG,FITCHBURG,MA,,490,490,,,,,,,,,MAIN,STREET,ST,,,62449,,107,97,97,2015-01-22,-71.79960021564918,42.582768913655194,710700
M_177339_923308,177339.07880000,923307.53340000,BC,4197873,1306,WATER STREET,,,,,,,,01420,,FITCHBURG,FITCHBURG,MA,,1306,1306,,,,,,,,,WATER,STREET,ST,,,62655,,107,97,97,2015-01-22,-71.77595242208201,42.55999466075707,710100
M_175406_925844,175406.04060000,925843.89680000,BC,4197772,480,MAIN STREET,,,,,,,,01420,,FITCHBURG,FITCHBURG,MA,,480,480,,,,,,,,,MAIN,STREET,ST,,,62449,,107,97,97,2015-01-22,-71.79960021564918,42.582768913655194,710700
M_176594_925015,176594.35180000,925014.88380000,BC,4197773,52,BOYLSTON STREET,,,,,,,,01420,,FITCHBURG,FITCHBURG,MA,,52,52,,,,,,,,,BOYLSTON,STREET,ST,,,62164,,107,97,97,2015-01-22,-71.78509072914717,42.57534261852688,710100
M_172534_924857,172533.98340000,924857.17720000,BC,1353998,17,BURMA ROAD,,,,,,,,01420,,FITCHBURG,FITCHBURG,MA,,17,17,,,,,,,,,BURMA,ROAD,RD,,,62184,,107,97,97,2014-01-29,-71.83453973582995,42.57379014027735,710200
M_175232_925465,175231.74800000,925464.79020000,BC,1350540,10,WINTHROP STREET,,,,,,,,01420,,FITCHBURG,FITCHBURG,MA,,10,10,,,,,,,,,WINTHROP,STREET,ST,,,62686,,107,97,97,2014-01-29,-71.80170707096808,42.579350584097575,710600
M_176260_926042,176259.65600000,926042.11960000,BMP,1352736,93-95,HIGHLAND AVENUE,,,,,,,,01420,,FITCHBURG,FITCHBURG,MA,,93,93,,,95,95,,,,,HIGHLAND,AVENUE,AVE,,,62413,,107,97,97,2014-01-29,-71.78920985938095,42.58457988038749,711000
M_175722_924745,175722.28520000,924745.38620000,BC,1349257,60,FAIRBANKS STREET,,,,,,,,01420,,FITCHBURG,FITCHBURG,MA,,60,60,,,,,,,,,FAIRBANKS,STREET,ST,,,62318,,107,97,97,2014-01-29,-71.79570140693771,42.57288980953403,710600
M_177222_925826,177221.69160000,925826.45520000,BC,1354929,66,KELLEY AVENUE,,,,,,,,01420,,FITCHBURG,FITCHBURG,MA,,66,66,,,,,,,,,KELLEY,AVENUE,AVE,,,61834,,107,97,97,2014-01-29,-71.77748167707684,42.582667192600475,710100
