ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_74731_939358,74730.52240000,939358.02780000,BC,206034,175,MOHAWK TRAIL,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,175,175,,,,,,,,,MOHAWK,TRAIL,TRL,,,10748,,109,98,98,2013-12-06,-73.02880904870699,42.69470709646133,931300
M_75109_938695,75109.14540000,938694.58580000,BMP,205827,214,MOHAWK TRAIL,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,214,214,,,,,,,,,MOHAWK,TRAIL,TRL,,,10748,,109,98,98,2015-10-22,-73.02404460205075,42.68879676325112,931300
M_74300_939546,74299.69720000,939545.60540000,BC,205958,10,TILDA HILL ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,10,10,,,,,,,,,TILDA HILL,ROAD,RD,,,10779,,109,98,98,2013-12-06,-73.03410694644576,42.69632575988636,931300
M_75636_938068,75636.18420000,938067.70380000,BMP,205964,1,MONROE ROAD,,,,,,,,01343,,FLORIDA,FLORIDA,MA,,1,1,,,,,,,,,MONROE,ROAD,RD,,,10749,,109,98,98,2015-10-22,-73.0174784191876,42.68323906494962,931300
M_77993_934263,77992.90340000,934263.12980000,BMP,205931,282,SOUTH COUNTY ROAD,,,,,,,,01343,,FLORIDA,FLORIDA,MA,,282,282,,,,,,,SOUTH,,COUNTY,ROAD,RD,,,10771,,109,98,98,2013-12-06,-72.98791806141799,42.64936920230071,931300
M_78195_937668,78195.15700000,937668.32660000,BMP,205832,327,RIVER ROAD,,,,,,,,01343,,FLORIDA,FLORIDA,MA,,327,327,,,,,,,,,RIVER,ROAD,RD,,,10766,,109,98,98,2013-12-06,-72.9861755010085,42.680050008077274,931300
M_73983_939430,73982.99920000,939429.58640000,BC,206027,121,MOHAWK TRAIL,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,121,121,,,,,,,,,MOHAWK,TRAIL,TRL,,,10748,,109,98,98,2013-12-06,-73.03794571670304,42.69523019499812,931300
M_74373_939346,74372.51700000,939346.44340000,BC,205820,148,MOHAWK TRAIL,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,148,148,,,,,,,,,MOHAWK,TRAIL,TRL,,,10748,,109,98,98,2013-12-06,-73.03317472409817,42.69454498848032,931300
M_74064_938546,74064.93280000,938546.15740000,BC,205960,38,OLESON ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,38,38,,,,,,,,,OLESON,ROAD,RD,,,10760,,109,98,98,2015-10-22,-73.03675176541088,42.68729218242933,931300
M_76696_938427,76696.10260000,938426.92300000,BC,205946,55,MONROE ROAD,,,,,,,,01343,,FLORIDA,FLORIDA,MA,,55,55,,,,,,,,,MONROE,ROAD,RD,,,10749,,109,98,98,2013-12-06,-73.0046253757773,42.68664126310295,931300
M_74127_938077,74127.19440000,938077.10860000,BMP,205736,76,OLESON ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,76,76,,,,,,,,,OLESON,ROAD,RD,,,10760,,109,98,98,2013-12-06,-73.03588911544576,42.68308059259781,931300
M_73132_937010,73132.30740000,937010.18580000,BC,205917,148,CENTRAL SHAFT ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,148,148,,,,,,,,,CENTRAL SHAFT,ROAD,RD,,,10738,,109,98,98,2015-10-22,-73.04778977710332,42.67331583682736,931300
M_74267_939889,74267.28980000,939888.81660000,BMP,205989,29,TILDA HILL ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,29,29,,,,,,,,,TILDA HILL,ROAD,RD,,,10779,,109,98,98,2013-12-06,-73.03457772848672,42.69940958119557,931300
M_74417_940339,74417.45900000,940339.39580000,BMP,206008,61,TILDA HILL ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,61,61,,,,,,,,,TILDA HILL,ROAD,RD,,,10779,,109,98,98,2013-12-06,-73.03284411384018,42.703489316020395,931300
M_77027_934811,77026.86920000,934810.79940000,BMP,205943,494,MOHAWK TRAIL,,,,,,,,01343,,FLORIDA,FLORIDA,MA,,494,494,,,,,,,,,MOHAWK,TRAIL,TRL,,,10748,,109,98,98,2013-12-06,-72.99981418805153,42.654146312321366,931300
M_73161_935686,73161.06700000,935686.12800000,BC,205883,243,CENTRAL SHAFT ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,243,243,,,,,,,,,CENTRAL SHAFT,ROAD,RD,,,10738,,109,98,98,2013-12-06,-73.04714601630887,42.66140328130613,931300
M_73407_935773,73406.77160000,935772.53340000,BC,205693,10,POIROT ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,10,10,,,,,,,,,POIROT,ROAD,RD,,,10764,,109,98,98,2013-12-06,-73.044168713611,42.66222105820905,931300
M_74266_939207,74265.82500000,939206.75520000,PC,205741,9,OLESON ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,9,9,,,,,,,,,OLESON,ROAD,RD,,,10760,,109,98,98,2013-12-06,-73.0344458618619,42.69327045470372,931300
M_74270_939261,74270.02120000,939261.34220000,BC,205808,5,OLESON ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,5,5,,,,,,,,,OLESON,ROAD,RD,,,10760,,109,98,98,2013-12-06,-73.03440664558735,42.69376244460653,931300
M_72689_938034,72688.51800000,938034.20160000,BC,206016,99,STRYKER ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,99,99,,,,,,,,,STRYKER,ROAD,RD,,,10778,,109,98,98,2013-12-06,-73.05343032728119,42.682459886412474,931300
M_73860_936039,73860.46800000,936038.94280000,BMP,205779,4,SAVOY ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,4,4,,,,,,,,,SAVOY,ROAD,RD,,,10769,,109,98,98,2013-12-06,-73.03869439829144,42.66469269988359,931300
M_73275_940385,73275.03740000,940385.12780000,BMP,205728,60,BLACKSTONE ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,60,60,,,,,,,,,BLACKSTONE,ROAD,RD,,,10733,,109,98,98,2013-12-06,-73.04679544125753,42.703715281741914,931300
M_73442_936170,73442.03260000,936169.96920000,BMP,205981,194,CENTRAL SHAFT ROAD,,,,,,,,01247,,FLORIDA,FLORIDA,MA,,194,194,,,,,,,,,CENTRAL SHAFT,ROAD,RD,,,10738,,109,98,98,2013-12-06,-73.04382643332104,42.66580395210057,931300
