ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_208229_870384,208229.18860000,870383.71970000,BC,2095356,145,EMMONS STREET,,DEAN COLLEGE,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,145,145,,,,,,,,,EMMONS,STREET,ST,,,98597,16021,112,101,101,2016-10-18,-71.4005405906624,42.08381731685758,442101
M_209269_872419,209269.35690000,872418.96290000,ABC,2101037,94,GREY WOLF DRIVE,,MEADOWBROOK HEIGHTS,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,94,94,,,,,,,,,GREY WOLF,DRIVE,DR,,,98655,17189,112,101,101,2016-10-18,-71.38793663108409,42.10212943739978,442101
M_207777_871246,207777.01830000,871245.70850000,ABC,2100522,224,OAK STREET,,,OAK STREET/HORACE MANN SCHOOLS,,,,,02038,,FRANKLIN,FRANKLIN,MA,,224,224,,,,,,,,,OAK,STREET,ST,,,98872,,112,101,101,2016-10-20,-71.40599411327895,42.09158261106533,442102
M_209053_869496,209052.77400000,869496.33120000,BMP,2096223,228,SUMMER STREET,,,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,228,228,,,,,,,,,SUMMER,STREET,ST,,,99172,,112,101,101,2014-02-13,-71.39060036014874,42.07581887414057,442202
M_208305_874823,208304.74360000,874823.00880000,BC,2096354,3,DWIGHT STREET,,,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,3,3,,,,,,,,,DWIGHT,STREET,ST,,,98578,,112,101,101,2014-02-13,-71.3995642431957,42.12378433479307,442103
M_208839_868519,208839.11380000,868519.79900000,BC,2092276,73,HIGHBANK ROAD,,SPRUCE POND VILLAGE,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,73,73,,,,,,,,,HIGHBANK,ROAD,RD,,,98686,16030,112,101,101,2014-02-13,-71.39319714357332,42.067029356589956,442202
M_207244_870878,207244.13760000,870878.27700000,BMP,2096439,355,WEST CENTRAL STREET,,,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,355,355,,,,,,,WEST,,CENTRAL,STREET,ST,,,99226,,112,101,101,2016-01-05,-71.41243994403762,42.08827965039515,442102
M_207985_875734,207984.56800000,875733.74320000,BC,2090108,12,AMYS WAY,,,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,12,12,,,,,,,,,AMYS,WAY,WAY,,,99044,,112,101,101,2014-02-13,-71.40342390284897,42.13198716014863,442103
M_208186_869659,208185.66100000,869658.69400000,BC,2096563,7,HUTCHINSON STREET,,,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,7,7,,,,,,,,,HUTCHINSON,STREET,ST,,,98703,,112,101,101,2014-02-13,-71.4010768351101,42.077290198254644,442202
M_209627_872795,209627.33480000,872795.28880000,BC,2090311,18,CHURCHILL ROAD,,,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,18,18,,,,,,,,,CHURCHILL,ROAD,RD,,,99136,,112,101,101,2014-02-13,-71.38360259684666,42.10551325846929,442101
M_209120_874904,209119.92100000,874904.34160000,BC,2089774,49,SKYLINE DRIVE,,,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,49,49,,,,,,,,,SKYLINE,DRIVE,DR,,,99013,,112,101,101,2014-02-13,-71.38970440419784,42.12450752208327,442103
M_207968_869974,207968.44420000,869973.79020000,BC,2102716,265,UNION STREET,,,,,4,,,02038,,FRANKLIN,FRANKLIN,MA,,265,265,,,,,,,,,UNION,STREET,ST,,,99203,,112,101,101,2014-02-13,-71.40369758404788,42.08012932117387,442101
M_207300_868263,207299.67600000,868262.88480000,BMP,2091490,11,TERIS WAY,,,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,11,11,,,,,,,,,TERIS,WAY,WAY,,,99186,,112,101,101,2014-02-13,-71.41180133867859,42.06473213696659,442201
M_205857_876407,205856.80880000,876407.01200000,BC,2095996,15,HAVERSTOCK ROAD,,,,,,,,02038,,FRANKLIN,FRANKLIN,MA,,15,15,,,,,,,,,HAVERSTOCK,ROAD,RD,,,98670,,112,101,101,2014-02-13,-71.42915310454615,42.13806750861776,442103
