ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_246588_833791,246588.14380000,833791.02520000,BC,2500880,10,PINEWOOD COURT,,,,,,,,02717,,FREETOWN,FREETOWN,MA,,10,10,,,,,,,,,PINEWOOD,COURT,CT,,,119553,,113,102,102,2014-03-02,-70.93983987451033,41.753024831573626,617102
M_245139_836011,245138.87400000,836011.37560000,BMP,2501892,162,COUNTY ROAD,,,,,,,,02717,,FREETOWN,FREETOWN,MA,,162,162,,,,,,,,,COUNTY,ROAD,RD,,,119340,,113,102,102,2014-03-02,-70.9570950064814,41.773099701966075,617102
M_235922_838369,235921.58620000,838368.67900000,PC,2502478,2,SOUTH MAIN STREET,,,,,,,,02702,,FREETOWN,FREETOWN,MA,,2,2,,,,,,,SOUTH,,MAIN,STREET,ST,,,119616,,113,102,102,2014-03-02,-71.06780956229879,41.794797662464816,617101
M_242517_832494,242516.58200000,832494.37900000,BC,2502397,106,CHIPAWAY ROAD,,,,,,,,02717,,FREETOWN,FREETOWN,MA,,106,106,,,,,,,,,CHIPAWAY,ROAD,RD,,,119324,,113,102,102,2014-03-02,-70.9888871522034,41.74158090807022,617102
M_246588_833791,246588.14380000,833791.02520000,BC,2503391,12,PINEWOOD COURT,,,,,,,,02717,,FREETOWN,FREETOWN,MA,,12,12,,,,,,,,,PINEWOOD,COURT,CT,,,119553,,113,102,102,2014-03-02,-70.93983987451033,41.753024831573626,617102
M_235351_837425,235350.69120000,837425.35880000,BC,2501053,22,ALEXANDRA DRIVE,,,,,,,,02702,,FREETOWN,FREETOWN,MA,,22,22,,,,,,,,,ALEXANDRA,DRIVE,DR,,,119513,,113,102,102,2014-03-02,-71.07473475436974,41.786330436493934,617101
M_246408_837200,246408.45060000,837199.97620000,BC,2502971,24,ISLAND ROAD,,,,,,,,02717,,FREETOWN,FREETOWN,MA,,24,24,,,,,,,,,ISLAND,ROAD,RD,,,119430,,113,102,102,2014-03-02,-70.94173211738119,41.78372724826991,617102
M_234209_838251,234209.45580000,838251.16380000,BC,2503705,8,CENTRAL AVENUE,,,,,,,,02702,,FREETOWN,FREETOWN,MA,,8,8,,,,,,,,,CENTRAL,AVENUE,AVE,,,119316,,113,102,102,2014-03-02,-71.08841554785539,41.793815874685585,617101
M_245432_835079,245431.66880000,835079.45740000,BMP,2502095,3,CUSHMAN AVENUE,,,,,,,,02717,,FREETOWN,FREETOWN,MA,,3,3,,,,,,,,,CUSHMAN,AVENUE,AVE,,,119349,,113,102,102,2014-03-02,-70.95364532575255,41.76469252098373,617102
M_240865_833287,240865.48560000,833286.84300000,BC,2501678,4,PIERCE WAY,,,,,,,,02717,,FREETOWN,FREETOWN,MA,,4,4,,,,,,,,,PIERCE,WAY,WAY,,,119548,,113,102,102,2014-03-02,-71.008680476054,41.7488030894506,617101
