ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_160549_924041,160548.72080000,924041.44440000,BC,4197629,11,PEARSON BOULEVARD,,,,,,,,01440,,GARDNER,GARDNER,MA,,11,11,,,,,,,,,PEARSON,BOULEVARD,BLVD,,,50174,,114,103,103,2015-01-22,-71.98046324310504,42.5659312842189,707200
M_159258_925142,159257.97080000,925142.19380000,BC,4198592,50,PARKER STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,50,50,,,,,,,,,PARKER,STREET,ST,,,50169,,114,103,103,2015-01-22,-71.99626047839364,42.575773866860494,707300
M_160108_926206,160108.31800000,926206.36780000,BC,1102184,223,WOODLAND AVENUE,,,,,,,,01440,,GARDNER,GARDNER,MA,,223,223,,,,,,,,,WOODLAND,AVENUE,AVE,,,49874,,114,103,103,2013-12-30,-71.98597685701154,42.5853977679011,707500
M_159062_925229,159062.08400000,925228.79300000,BC,1102973,24,OAK STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,24,24,,,,,,,,,OAK,STREET,ST,,,50151,,114,103,103,2013-12-30,-71.99865260045819,42.57654315967992,707400
M_161270_922294,161269.77660000,922294.18220000,BMP,1102081,239,HIGH STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,239,239,,,,,,,,,HIGH,STREET,ST,,,49900,,114,103,103,2013-12-30,-71.97156429628596,42.550238323423436,707100
M_159235_924388,159235.29740000,924387.94640000,BMP,1108075,16,FORD STREET,,,,,2,,,01440,,GARDNER,GARDNER,MA,,16,16,,,,,,,,,FORD,STREET,ST,,,50022,,114,103,103,2013-12-30,-71.99648317160883,42.568982837730424,707300
M_160712_923420,160711.93060000,923419.57260000,BC,1099415,107,SUMMER STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,107,107,,,,,,,,,SUMMER,STREET,ST,,,49817,,114,103,103,2013-12-30,-71.97843312984841,42.56034134418099,707100
M_160517_922533,160517.35240000,922533.14020000,BC,1103414,59,JEROME AVENUE,,,,,,,,01440,,GARDNER,GARDNER,MA,,59,59,,,,,,,,,JEROME,AVENUE,AVE,,,50070,,114,103,103,2013-12-30,-71.98074172965137,42.552351660452246,707100
M_159354_925518,159353.51460000,925517.65580000,BC,1101133,168,VERNON STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,168,168,,,,,,,,,VERNON,STREET,ST,,,49839,,114,103,103,2013-12-30,-71.9951232750041,42.57915882230451,707400
M_161088_925606,161088.00340000,925606.94300000,BC,1108802,272,PEARL STREET,,RIDGEWOOD APARTMENTS,,,23,,,01440,,GARDNER,GARDNER,MA,,272,272,,,,,,,,,PEARL,STREET,ST,,,50172,16289,114,103,103,2015-05-26,-71.97400159562365,42.58005130105815,707500
M_158838_925587,158837.62340000,925586.57140000,BMP,1099353,131,ASH STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,131,131,,,,,,,,,ASH,STREET,ST,,,49923,,114,103,103,2013-12-30,-72.00141224371707,42.57975207938092,707400
M_160211_924890,160210.89880000,924889.93500000,BMP,1099585,254,CHESTNUT STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,254,254,,,,,,,,,CHESTNUT,STREET,ST,,,49963,,114,103,103,2013-12-30,-71.98463608238738,42.57355232409589,707500
M_158838_925587,158837.62340000,925586.57140000,BMP,1099985,133,ASH STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,133,133,,,,,,,,,ASH,STREET,ST,,,49923,,114,103,103,2013-12-30,-72.00141224371707,42.57975207938092,707400
M_161088_925606,161088.00340000,925606.94300000,BC,1108805,272,PEARL STREET,,RIDGEWOOD APARTMENTS,,,4,,,01440,,GARDNER,GARDNER,MA,,272,272,,,,,,,,,PEARL,STREET,ST,,,50172,16289,114,103,103,2015-05-26,-71.97400159562365,42.58005130105815,707500
M_160252_924654,160252.41060000,924654.38640000,BC,1104032,346,CHESTNUT STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,346,346,,,,,,,,,CHESTNUT,STREET,ST,,,49963,,114,103,103,2013-12-30,-71.98411419103437,42.571434002925365,707500
M_162294_925893,162293.71740000,925893.48260000,BC,1104067,295,SMITH STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,295,295,,,,,,,,,SMITH,STREET,ST,,,49798,,114,103,103,2013-12-30,-71.95933342702175,42.58269015373978,707500
M_160006_925329,160006.00060000,925328.98740000,BC,1101644,60,WALNUT STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,60,60,,,,,,,,,WALNUT,STREET,ST,,,49845,,114,103,103,2013-12-30,-71.98716225595402,42.57749422718445,707200
M_158145_925140,158145.29480000,925140.24160000,BC,1103463,8,WATER STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,8,8,,,,,,,,,WATER,STREET,ST,,,49851,,114,103,103,2013-12-30,-72.00981302765467,42.57569721978573,707400
M_159258_925142,159257.97080000,925142.19380000,BC,1100702,44,PARKER STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,44,44,,,,,,,,,PARKER,STREET,ST,,,50169,,114,103,103,2015-05-21,-71.99626047839364,42.575773866860494,707300
M_160549_924041,160548.72080000,924041.44440000,BC,1102624,9-11,PEARSON BOULEVARD,,,,,,,,01440,,GARDNER,GARDNER,MA,,9,9,,,11,11,,,,,PEARSON,BOULEVARD,BLVD,,,50174,,114,103,103,2013-12-30,-71.98046324310504,42.5659312842189,707200
M_160015_926776,160015.08100000,926776.31480000,BC,1104052,362,GREEN STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,362,362,,,,,,,,,GREEN,STREET,ST,,,50038,,114,103,103,2013-12-30,-71.9871523388754,42.5905237032829,707500
M_159600_924679,159599.72300000,924679.31080000,BC,1102108,257,PINE STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,257,257,,,,,,,,,PINE,STREET,ST,,,50178,,114,103,103,2013-12-30,-71.99206531433107,42.571624753782444,707300
M_159083_926375,159083.32200000,926375.38360000,BC,1101368,348,PARK STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,348,348,,,,,,,,,PARK,STREET,ST,,,50167,,114,103,103,2013-12-30,-71.99847553150529,42.58686601781956,707400
M_158591_925321,158591.34120000,925321.27640000,BMP,1102224,32,COLEMAN STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,32,32,,,,,,,,,COLEMAN,STREET,ST,,,49971,,114,103,103,2013-12-30,-72.00439310732334,42.577350789879674,707400
M_158556_925378,158556.20680000,925377.73300000,BMP,1108569,25,COLEMAN STREET,,,,,2,,,01440,,GARDNER,GARDNER,MA,,25,25,,,,,,,,,COLEMAN,STREET,ST,,,49971,,114,103,103,2013-12-30,-72.00482513461915,42.57785714793756,707400
M_158534_924861,158533.86780000,924861.36160000,BC,1101519,43,WATERFORD STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,43,43,,,,,,,,,WATERFORD,STREET,ST,,,49852,,114,103,103,2013-12-30,-72.00505999499879,42.573207516349306,707300
M_157865_925846,157864.95340000,925846.15300000,BMP,1102564,19,WATKINS STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,19,19,,,,,,,,,WATKINS,STREET,ST,,,49855,,114,103,103,2013-12-30,-72.01327939714322,42.58203677964977,707400
M_160894_923179,160894.38840000,923179.01980000,BC,1099945,74,SUNRISE LANE,,,,,,,,01440,,GARDNER,GARDNER,MA,,74,74,,,,,,,,,SUNRISE,LANE,LN,,,49819,,114,103,103,2015-05-15,-71.97619492994778,42.55818503468597,707100
M_159258_925142,159257.97080000,925142.19380000,BC,1100104,48,PARKER STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,48,48,,,,,,,,,PARKER,STREET,ST,,,50169,,114,103,103,2015-05-21,-71.99626047839364,42.575773866860494,707300
M_159286_924595,159285.82780000,924595.44840000,BC,1100552,281,PLEASANT STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,281,281,,,,,,,,,PLEASANT,STREET,ST,,,49748,,114,103,103,2013-12-30,-71.99588245574945,42.57085344747135,707300
M_159693_925260,159692.97880000,925260.01120000,BC,1110414,64,MAPLE STREET,,,,,1,,,01440,,GARDNER,GARDNER,MA,,64,64,,,,,,,,,MAPLE,STREET,ST,,,50112,,114,103,103,2013-12-30,-71.9909702180577,42.57685713716016,707200
M_159371_924214,159371.36120000,924213.81000000,BMP,1099438,117,EMERALD STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,117,117,,,,,,,,,EMERALD,STREET,ST,,,50007,,114,103,103,2013-12-30,-71.99481375172803,42.56742235305703,707300
M_161215_924981,161214.92100000,924981.39180000,BC,1101302,222,BICKFORD HILL ROAD,,,,,,,,01440,,GARDNER,GARDNER,MA,,222,222,,,,,,,,,BICKFORD HILL,ROAD,RD,,,49889,,114,103,103,2013-12-30,-71.97241339303231,42.57442633889616,707500
M_158887_925016,158887.01400000,925016.40860000,BC,1108215,23,GREENWOOD STREET,,,,,1,,,01440,,GARDNER,GARDNER,MA,,23,23,,,,,,,,,GREENWOOD,STREET,ST,,,49899,,114,103,103,2013-12-30,-72.00076983929343,42.57462201440154,707300
M_159206_925143,159206.35260000,925143.08180000,BC,1103317,62,PARKER STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,62,62,,,,,,,,,PARKER,STREET,ST,,,50169,,114,103,103,2013-12-30,-71.99688926544948,42.575779155492874,707300
M_160794_923555,160794.48780000,923555.35060000,BMP,1101599,72,CLEVELAND STREET,,,,,,,,01440,,GARDNER,GARDNER,MA,,72,72,,,,,,,,,CLEVELAND,STREET,ST,,,49969,,114,103,103,2013-12-30,-71.97743705988954,42.561567806723424,707100
M_161088_925606,161088.00340000,925606.94300000,BC,1108793,272,PEARL STREET,,RIDGEWOOD APARTMENTS,,,15,,,01440,,GARDNER,GARDNER,MA,,272,272,,,,,,,,,PEARL,STREET,ST,,,50172,16289,114,103,103,2015-05-26,-71.97400159562365,42.58005130105815,707500
M_161088_925606,161088.00340000,925606.94300000,BC,1108797,272,PEARL STREET,,RIDGEWOOD APARTMENTS,,,19,,,01440,,GARDNER,GARDNER,MA,,272,272,,,,,,,,,PEARL,STREET,ST,,,50172,16289,114,103,103,2015-05-26,-71.97400159562365,42.58005130105815,707500
M_161088_925606,161088.00340000,925606.94300000,BC,1108810,272,PEARL STREET,,RIDGEWOOD APARTMENTS,,,9,,,01440,,GARDNER,GARDNER,MA,,272,272,,,,,,,,,PEARL,STREET,ST,,,50172,16289,114,103,103,2015-05-26,-71.97400159562365,42.58005130105815,707500
M_159371_924214,159371.36120000,924213.81000000,BMP,1106524,117,EMERALD STREET,,,,,3,,,01440,,GARDNER,GARDNER,MA,,117,117,,,,,,,,,EMERALD,STREET,ST,,,50007,,114,103,103,2013-12-30,-71.99481375172803,42.56742235305703,707300
M_159235_924388,159235.29740000,924387.94640000,BMP,1108074,16,FORD STREET,,,,,1,,,01440,,GARDNER,GARDNER,MA,,16,16,,,,,,,,,FORD,STREET,ST,,,50022,,114,103,103,2013-12-30,-71.99648317160883,42.568982837730424,707300
M_162178_924753,162178.15000000,924753.48020000,BC,1099824,39,WILLIS ROAD,,,,,,,,01440,,GARDNER,GARDNER,MA,,39,39,,,,,,,,,WILLIS,ROAD,RD,,,49886,,114,103,103,2013-12-30,-71.96066622582053,42.57242207174391,707500
