ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_245289_943212,245289.35000000,943211.55060000,BMP,2290667,36,JACKMAN STREET,,,,,5,,,01833,,GEORGETOWN,GEORGETOWN,MA,,36,36,,,,,,,,,JACKMAN,STREET,ST,,,107832,,115,105,105,2014-02-18,-70.94692499184025,42.73818045028496,265102
M_241161_940769,241161.27680000,940769.12060000,BC,2288493,16,LONDONDERRY LANE,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,16,16,,,,,,,,,LONDONDERRY,LANE,LN,,,107863,,115,105,105,2014-02-18,-70.9975116424551,42.71642439565514,265101
M_246367_943200,246367.04120000,943199.78660000,PC,2288518,115,JACKMAN STREET,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,115,115,,,,,,,,,JACKMAN,STREET,ST,,,107832,,115,105,105,2014-02-18,-70.93376552786687,42.73801090291693,265102
M_241181_941666,241180.74300000,941665.79680000,BC,2288590,28,NELSON AVENUE,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,28,28,,,,,,,,,NELSON,AVENUE,AVE,,,107619,,115,105,105,2014-02-18,-70.99720948389528,42.72449499327279,265101
M_243428_941267,243427.78240000,941266.55140000,BC,2287771,3,WHITE PINE DRIVE,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,3,3,,,,,,,,,WHITE PINE,DRIVE,DR,,,107717,,115,105,105,2014-02-18,-70.96980555874984,42.72077861997339,265102
M_242159_940981,242159.49800000,940980.88440000,BMP,2290464,18,CHESTNUT STREET,,,,,R,,,01833,,GEORGETOWN,GEORGETOWN,MA,,18,18,,,,,,,,,CHESTNUT,STREET,ST,,,107783,,115,105,105,2014-02-18,-70.98531025757886,42.71827705660747,265101
M_242902_940865,242902.44760000,940864.95320000,BMP,2288097,211,EAST MAIN STREET,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,211,211,,,,,,,EAST,,MAIN,STREET,ST,,,107800,,115,105,105,2014-02-18,-70.97624912915524,42.71719276526369,265101
M_241540_940627,241540.13320000,940627.37920000,BC,2287242,143,CENTRAL STREET,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,143,143,,,,,,,,,CENTRAL,STREET,ST,,,107778,,115,105,105,2014-02-18,-70.99289703751082,42.71512829379027,265101
M_238551_941321,238550.96800000,941321.01880000,BC,2288819,103,WEST STREET,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,103,103,,,,,,,,,WEST,STREET,ST,,,107712,,115,105,105,2014-02-18,-71.02933990729527,42.72152648074912,265101
M_241133_941361,241133.27180000,941360.86160000,BMP,2288253,56,ANDOVER STREET,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,56,56,,,,,,,,,ANDOVER,STREET,ST,,,107732,,115,105,105,2014-02-18,-70.99781098312795,42.72175257110389,265101
M_241589_940390,241589.42080000,940390.04980000,BC,2289773,171,CENTRAL STREET,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,171,171,,,,,,,,,CENTRAL,STREET,ST,,,107778,,115,105,105,2014-02-18,-70.99231261538688,42.712989277280066,265101
M_240355_942895,240355.15400000,942894.60720000,BC,2288862,15,OLD JACOBS ROAD,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,15,15,,,,,,,,,OLD JACOBS,ROAD,RD,,,107626,,115,105,105,2014-02-18,-71.0072024918793,42.73559974399489,265101
M_244300_942760,244299.56900000,942760.38920000,ABC,2289696,11,HARRIS WAY,,,,,,,,01833,,GEORGETOWN,GEORGETOWN,MA,,11,11,,,,,,,,,HARRIS,WAY,WAY,,,107818,,115,105,105,2014-02-18,-70.95904684347305,42.734176394589646,265102
