ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_93327_910177,93327.37660000,910176.74760000,BMP,207862,8,BERKSHIRE TRAIL EAST,,,,,A,,,01096,,GOSHEN,GOSHEN,MA,,8,8,,,,,,,,,BERKSHIRE,TRAIL,TRL,EAST,,10885,,118,108,108,2013-12-06,-72.79647547518674,42.43481662474824,822606
M_93100_910605,93099.58880000,910605.23060000,BC,207377,25,MAIN STREET,,,,,,,,01032,,GOSHEN,GOSHEN,MA,,25,25,,,,,,,,,MAIN,STREET,ST,,,10930,,118,108,108,2013-12-06,-72.79932285305563,42.438642444941834,822606
M_93327_910177,93327.37660000,910176.74760000,BMP,207864,8,BERKSHIRE TRAIL EAST,,,,,D,,,01096,,GOSHEN,GOSHEN,MA,,8,8,,,,,,,,,BERKSHIRE,TRAIL,TRL,EAST,,10885,,118,108,108,2013-12-06,-72.79647547518674,42.43481662474824,822606
M_91561_909087,91561.08540000,909086.96660000,BMP,207615,143,WEST STREET,,,,,,,,01096,,GOSHEN,GOSHEN,MA,,143,143,,,,,,,,,WEST,STREET,ST,,,10983,,118,108,108,2013-12-06,-72.81773459505932,42.42476320860153,822606
M_92592_907698,92592.29020000,907698.03700000,BMP,207293,26,HAMMOND CIRCLE,,,,,,,,01096,,GOSHEN,GOSHEN,MA,,26,26,,,,,,,,,HAMMOND,CIRCLE,CIR,,,10914,,118,108,108,2013-12-06,-72.80494730462259,42.41240334564585,822606
M_93117_907125,93117.40900000,907124.91980000,BC,207372,206,SOUTH CHESTERFIELD ROAD,,,,,,,,01096,,GOSHEN,GOSHEN,MA,,206,206,,,,,,,SOUTH,,CHESTERFIELD,ROAD,RD,,,10961,,118,108,108,2013-12-06,-72.79846238413737,42.407316499739835,822606
M_93327_910177,93327.37660000,910176.74760000,BMP,207600,8C,BERKSHIRE TRAIL EAST,,,,,,,,01096,,GOSHEN,GOSHEN,MA,,8,8,C,,,,,,,,BERKSHIRE,TRAIL,TRL,EAST,,10885,,118,108,108,2014-11-25,-72.79647547518674,42.43481662474824,822606
M_93429_911829,93428.90220000,911828.91860000,BC,207593,111,ABERDEEN ROAD,,,,,,,,01096,,GOSHEN,GOSHEN,MA,,111,111,,,,,,,,,ABERDEEN,ROAD,RD,,,10877,,118,108,108,2013-12-06,-72.79554671541383,42.44970264218548,822606
M_93041_910989,93041.24020000,910988.81660000,BC,207575,48,MAIN STREET,,,,,,,,01032,,GOSHEN,GOSHEN,MA,,48,48,,,,,,,,,MAIN,STREET,ST,,,10930,,118,108,108,2013-12-06,-72.80010300076403,42.442087316075465,822606
M_93149_910446,93148.52260000,910446.20280000,BC,207277,13,MAIN STREET,,,,,,,,01032,,GOSHEN,GOSHEN,MA,,13,13,,,,,,,,,MAIN,STREET,ST,,,10930,,118,108,108,2013-12-06,-72.79869875055984,42.437217653329334,822606
