ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_185123_888175,185122.51990000,888174.95620000,BC,4228333,31,WILDLIFE DRIVE,,TUFTS UNIVERSITY,51,,,,,,,GRAFTON,GRAFTON,MA,,31,31,,,,,,,,,WILDLIFE,DRIVE,DR,,,71221,15789,120,110,110,2016-04-06,-71.68026607834086,42.24389563631136,761300
M_182622_880730,182622.35780000,880730.44610000,BC,1577677,180,MAIN STREET,,,,,2,,,01560,,GRAFTON,GRAFTON,MA,,180,180,,,,,,,,,MAIN,STREET,ST,,,71058,,120,110,110,2017-05-25,-71.71033726056197,42.17682095777573,738100
M_182622_880730,182622.35780000,880730.44610000,BC,1569189,180,MAIN STREET,,,,,,,,01560,,GRAFTON,GRAFTON,MA,,180,180,,,,,,,,,MAIN,STREET,ST,,,71058,,120,110,110,2017-05-25,-71.71033726056197,42.17682095777573,738100
M_187611_880034,187611.42160000,880034.16880000,BC,1575766,1,DAFFODIL COURT,,,,,,,,01560,,GRAFTON,GRAFTON,MA,,1,1,,,,,,,,,DAFFODIL,COURT,CT,,,70946,,120,110,110,2014-02-03,-71.64993546141531,42.17064717062208,738100
M_182718_887027,182717.52020000,887027.29300000,BC,1577390,12,HIGH STREET,,,,,15,,,01536,,GRAFTON,GRAFTON,MA,,12,12,,,,,,,,,HIGH,STREET,ST,,,70854,,120,110,110,2014-02-03,-71.70937251374875,42.23351378955367,761300
M_182718_887027,182717.52020000,887027.29300000,BC,1577392,12,HIGH STREET,,,,,17,,,01536,,GRAFTON,GRAFTON,MA,,12,12,,,,,,,,,HIGH,STREET,ST,,,70854,,120,110,110,2014-02-03,-71.70937251374875,42.23351378955367,761300
M_185418_880447,185418.43520000,880447.16360000,BC,1577454,13,HARDING STREET,,,,,3,,,01560,,GRAFTON,GRAFTON,MA,,13,13,,,,,,,,,HARDING,STREET,ST,,,71003,,120,110,110,2014-02-03,-71.67648682781997,42.1743276232215,738100
M_184214_882998,184214.49900000,882998.04020000,BC,1577472,13,PULLARD ROAD,,PULLARD ROAD,,,12,,,01519,,GRAFTON,GRAFTON,MA,,13,13,,,,,,,,,PULLARD,ROAD,RD,,,71129,16034,120,110,110,2014-02-03,-71.69112771023991,42.1972699873807,738201
M_183244_884464,183243.71800000,884464.43300000,BC,1572615,72,BRIGHAM HILL ROAD,,,,,,,,01519,,GRAFTON,GRAFTON,MA,,72,72,,,,,,,,,BRIGHAM HILL,ROAD,RD,,,70903,,120,110,110,2014-02-03,-71.70292393023243,42.210451790699565,738201
M_184519_883132,184518.85560000,883131.64680000,BC,1569161,17,BRUCE STREET,,,,,,,,01519,,GRAFTON,GRAFTON,MA,,17,17,,,,,,,,,BRUCE,STREET,ST,,,70907,,120,110,110,2014-02-03,-71.68744618797626,42.19847893520866,738202
M_183726_883400,183726.32800000,883399.76620000,BC,1572587,52,HUDSON AVENUE,,,,,,,,01519,,GRAFTON,GRAFTON,MA,,52,52,,,,,,,,,HUDSON,AVENUE,AVE,,,71023,,120,110,110,2014-02-03,-71.6970496037813,42.20087674485904,738201
M_181968_880848,181967.88400000,880848.31560000,BC,1579515,4,MAYO COURT,,,,,A,,,01560,,GRAFTON,GRAFTON,MA,,4,4,,,,,,,,,MAYO,COURT,CT,,,71067,,120,110,110,2014-02-03,-71.71826256338495,42.17786734188629,738100
M_187034_885106,187033.74640000,885105.64560000,BC,1575623,7,ADAMS ROAD,,,,,,,,01519,,GRAFTON,GRAFTON,MA,,7,7,,,,,,,,,ADAMS,ROAD,RD,,,70867,,120,110,110,2014-02-03,-71.65703989069196,42.21629664578925,738202
M_183819_885291,183818.69580000,885291.38700000,BMP,1575576,88,WORCESTER STREET,,,,,,,,01536,,GRAFTON,GRAFTON,MA,,88,88,,,,,,,,,WORCESTER,STREET,ST,,,71228,,120,110,110,2014-02-03,-71.69598380083782,42.21790898056018,738202
M_184394_882153,184394.58660000,882153.25080000,BC,1577643,18,BLACKBERRY LANE,,,,,1,,,01519,,GRAFTON,GRAFTON,MA,,18,18,,,,,,,,,BLACKBERRY,LANE,LN,,,70894,,120,110,110,2014-09-03,-71.68892459707268,42.18966791218479,738202
M_182718_887027,182717.52020000,887027.29300000,BC,1571924,12,HIGH STREET,,,,,,,,01536,,GRAFTON,GRAFTON,MA,,12,12,,,,,,,,,HIGH,STREET,ST,,,70854,,120,110,110,2014-02-03,-71.70937251374875,42.23351378955367,761300
M_182718_887027,182717.52020000,887027.29300000,BC,1575828,12B,HIGH STREET,,,,,,,,01536,,GRAFTON,GRAFTON,MA,,12,12,B,,,,,,,,HIGH,STREET,ST,,,70854,,120,110,110,2014-09-04,-71.70937251374875,42.23351378955367,761300
M_184394_882153,184394.58660000,882153.25080000,BC,1571760,20,BLACKBERRY LANE,,,,,,,,01519,,GRAFTON,GRAFTON,MA,,20,20,,,,,,,,,BLACKBERRY,LANE,LN,,,70894,,120,110,110,2014-09-03,-71.68892459707268,42.18966791218479,738202
M_184394_882153,184394.58660000,882153.25080000,BC,1572288,30,BLACKBERRY LANE,,,,,,,,01519,,GRAFTON,GRAFTON,MA,,30,30,,,,,,,,,BLACKBERRY,LANE,LN,,,70894,,120,110,110,2014-09-03,-71.68892459707268,42.18966791218479,738202
M_184394_882153,184394.58660000,882153.25080000,BC,1576066,22,BLACKBERRY LANE,,,,,,,,01519,,GRAFTON,GRAFTON,MA,,22,22,,,,,,,,,BLACKBERRY,LANE,LN,,,70894,,120,110,110,2014-09-03,-71.68892459707268,42.18966791218479,738202
M_183993_883529,183992.54940000,883528.73380000,PC,1576767,86,PROVIDENCE ROAD,REAR,,,,,,,01519,,GRAFTON,GRAFTON,MA,,86,86,,,,,,,,,PROVIDENCE,ROAD,RD,,,71128,,120,110,110,2014-02-03,-71.69382962429682,42.20204333758688,738201
M_184214_882998,184214.49900000,882998.04020000,BC,1577474,13,PULLARD ROAD,,PULLARD ROAD,,,14,,,01519,,GRAFTON,GRAFTON,MA,,13,13,,,,,,,,,PULLARD,ROAD,RD,,,71129,16034,120,110,110,2014-02-03,-71.69112771023991,42.1972699873807,738201
M_187252_883444,187252.28920000,883443.78620000,BMP,1575103,20,STOWE ROAD,,,,,,,,01519,,GRAFTON,GRAFTON,MA,,20,20,,,,,,,,,STOWE,ROAD,RD,,,71180,,120,110,110,2014-02-03,-71.65435660655444,42.2013384501349,738202
M_186512_887009,186511.55360000,887008.96340000,BC,1575181,2,APPALOOSA DRIVE,,,,,,,,01536,,GRAFTON,GRAFTON,MA,,2,2,,,,,,,,,APPALOOSA,DRIVE,DR,,,70875,,120,110,110,2014-02-03,-71.66340854014166,42.23342341038257,738202
