ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_85765_866457,85765.04700000,866456.50360000,BMP,207916,502,SOUTH LANE,,,,,,,,01034,,GRANVILLE,GRANVILLE,MA,,502,502,,,,,,,,,SOUTH,LANE,LN,,,11066,,122,112,112,2013-12-06,-72.87977596097747,42.040184013770286,813000
M_87861_869445,87860.69100000,869444.93720000,BMP,207995,418,MAIN ROAD,,,,,,,,01034,,GRANVILLE,GRANVILLE,MA,,418,418,,,,,,,,,MAIN,ROAD,RD,,,11039,,122,112,112,2013-12-06,-72.85504159910077,42.06738869203998,813000
M_83491_870621,83491.13200000,870620.98380000,BC,208202,1048,MAIN ROAD,,,,,,,,01034,,GRANVILLE,GRANVILLE,MA,,1048,1048,,,,,,,,,MAIN,ROAD,RD,,,11039,,122,112,112,2013-12-06,-72.90806656958266,42.077338370255404,813000
M_80404_875434,80403.52200000,875433.66820000,PC,208598,709,BEECH HILL ROAD,,,,,,,,01008,,GRANVILLE,GRANVILLE,MA,,709,709,,,,,,,,,BEECH HILL,ROAD,RD,,,10994,,122,112,112,2013-12-06,-72.94636097278719,42.12019682056378,813000
M_87859_868034,87859.26120000,868033.95360000,BC,208238,156,GRANBY ROAD,,,,,,,,01034,,GRANVILLE,GRANVILLE,MA,,156,156,,,,,,,,,GRANBY,ROAD,RD,,,11022,,122,112,112,2013-12-06,-72.85478808937815,42.05468663587493,813000
M_82220_872055,82219.98700000,872054.98520000,BMP,207883,202,NORTH LANE,,,,,,,,01034,,GRANVILLE,GRANVILLE,MA,,202,202,,,,,,,,,NORTH,LANE,LN,,,11044,,122,112,112,2013-12-06,-72.92371538681748,42.090057275942264,813000
M_85242_869684,85241.56080000,869683.73680000,BMP,208517,779,MAIN ROAD,,,,,,,,01034,,GRANVILLE,GRANVILLE,MA,,779,779,,,,,,,,,MAIN,ROAD,RD,,,11039,,122,112,112,2013-12-06,-72.88673140105017,42.0691594125464,813000
M_87270_869002,87269.89800000,869002.35460000,BC,208400,10,RIPLEY ROAD,,,,,,,,01034,,GRANVILLE,GRANVILLE,MA,,10,10,,,,,,,,,RIPLEY,ROAD,RD,,,11060,,122,112,112,2013-12-06,-72.8620938741889,42.06331979612549,813000
M_88393_867361,88392.80820000,867360.91300000,BC,208545,23,CROSS ROAD,,,,,,,,01034,,GRANVILLE,GRANVILLE,MA,,23,23,,,,,,,,,CROSS,ROAD,RD,,,11014,,122,112,112,2013-12-06,-72.84821479710237,42.0487039386947,813000
M_85467_869413,85467.09060000,869412.62960000,BMP,208025,8,SOUTH LANE,,,,,,,,01034,,GRANVILLE,GRANVILLE,MA,,8,8,,,,,,,,,SOUTH,LANE,LN,,,11066,,122,112,112,2013-12-06,-72.8839534465256,42.066751864815295,813000
