ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_46642_884960,46642.33260000,884959.93180000,BMP,211368,32,EAST STREET,,,,,,,,01230,,GREAT BARRINGTON,GREAT BARRINGTON,MA,,32,32,,,,,,,,,EAST,STREET,ST,,,11167,,123,113,113,2013-12-07,-73.35705105666392,42.20006158988277,925100
M_47435_885940,47435.44480000,885940.07580000,BC,211396,259,STOCKBRIDGE ROAD,,,,,,,,01230,,GREAT BARRINGTON,GREAT BARRINGTON,MA,,259,259,,,,,,,,,STOCKBRIDGE,ROAD,RD,,,11382,,123,113,113,2013-12-07,-73.34770711595876,42.20903886357934,925100
M_46638_884782,46638.30400000,884781.68940000,BMP,213518,82,EAST STREET,,,,,A,,,01230,,GREAT BARRINGTON,GREAT BARRINGTON,MA,,82,82,,,,,,,,,EAST,STREET,ST,,,11167,,123,113,113,2013-12-07,-73.35705284001881,42.198456451709,925100
M_46642_881696,46642.32100000,881695.97800000,BMP,211407,51,EAST SHEFFIELD ROAD,,,,,,,,01230,,GREAT BARRINGTON,GREAT BARRINGTON,MA,,51,51,,,,,,,EAST,,SHEFFIELD,ROAD,RD,,,11166,,123,113,113,2013-12-07,-73.35619121831408,42.170682872505566,925100
M_45907_890982,45906.72480000,890981.92800000,BMP,211709,224,HIGHLAND STREET,,,,,,,,01236,,GREAT BARRINGTON,GREAT BARRINGTON,MA,,224,224,,,,,,,,,HIGHLAND,STREET,ST,,,11295,,123,113,113,2013-12-07,-73.36755227054655,42.25412026826096,925100
M_46638_884782,46638.30400000,884781.68940000,BMP,213519,82,EAST STREET,,,,,REAR,,,01230,,GREAT BARRINGTON,GREAT BARRINGTON,MA,,82,82,,,,,,,,,EAST,STREET,ST,,,11167,,123,113,113,2013-12-07,-73.35705284001881,42.198456451709,925100
M_45974_883699,45973.71580000,883699.13960000,BC,211933,490,MAIN STREET,,,,,,,,01230,,GREAT BARRINGTON,GREAT BARRINGTON,MA,,490,490,,,,,,,,,MAIN,STREET,ST,,,11242,,123,113,113,2013-12-07,-73.36481121792438,42.18858195912977,925100
M_45262_891209,45261.66100000,891209.47620000,BC,210478,404,NORTH PLAIN ROAD,,,,,,,,01236,,GREAT BARRINGTON,GREAT BARRINGTON,MA,,404,404,,,,,,,NORTH,,PLAIN,ROAD,RD,,,11280,,123,113,113,2013-12-07,-73.37542831270513,42.25604097397973,925100
M_43873_883227,43872.89900000,883227.45020000,BMP,211045,135B,HURLBURT ROAD,,,,,,,,01230,,GREAT BARRINGTON,GREAT BARRINGTON,MA,,135,135,B,,,,,,,,HURLBURT,ROAD,RD,,,11215,,123,113,113,2015-06-23,-73.39011121421842,42.183920043954465,925100
M_46033_883664,46032.78140000,883664.12400000,BC,213298,497,MAIN STREET,,,,,2,,,01230,,GREAT BARRINGTON,GREAT BARRINGTON,MA,,497,497,,,,,,,,,MAIN,STREET,ST,,,11242,,123,113,113,2013-12-07,-73.3640870692862,42.18827840880144,925100
