ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_194318_929131,194317.87200000,929131.41660000,BC,1099135,74,WILLOWDALE ROAD,,,,,205,,,01450,,GROTON,GROTON,MA,,74,74,,,,,,,,,WILLOWDALE,ROAD,RD,,,49733,,125,115,115,2013-12-30,-71.56925168286443,42.61273197845673,326102
M_198338_927962,198338.22620000,927961.93620000,BC,1098797,5,BALSAM WALK,,,,,A,,,01450,,GROTON,GROTON,MA,,5,5,,,,,,,,,BALSAM,WALK,WALK,,,49388,,125,115,115,2013-12-30,-71.52024970719287,42.60222307068091,326102
M_192113_929337,192113.22420000,929336.68400000,BC,1096922,242,RIVERBEND DRIVE,,,,,,,,01450,,GROTON,GROTON,MA,,242,242,,,,,,,,,RIVERBEND,DRIVE,DR,,,49674,,125,115,115,2013-12-30,-71.59612391783021,42.61456059271435,326101
M_199265_931651,199264.93980000,931651.20320000,BMP,1097017,515,OLD DUNSTABLE ROAD,,,,,,,,01450,,GROTON,GROTON,MA,,515,515,,,,,,,,,OLD DUNSTABLE,ROAD,RD,,,49577,,125,115,115,2013-12-30,-71.50896187152892,42.63543590606897,326102
M_194318_929131,194317.87200000,929131.41660000,BC,1099121,74,WILLOWDALE ROAD,,,,,101,,,01450,,GROTON,GROTON,MA,,74,74,,,,,,,,,WILLOWDALE,ROAD,RD,,,49733,,125,115,115,2013-12-30,-71.56925168286443,42.61273197845673,326102
M_194318_929131,194317.87200000,929131.41660000,BC,1099123,74,WILLOWDALE ROAD,,,,,103,,,01450,,GROTON,GROTON,MA,,74,74,,,,,,,,,WILLOWDALE,ROAD,RD,,,49733,,125,115,115,2013-12-30,-71.56925168286443,42.61273197845673,326102
M_194318_929131,194317.87200000,929131.41660000,BC,1099129,74,WILLOWDALE ROAD,,,,,109,,,01450,,GROTON,GROTON,MA,,74,74,,,,,,,,,WILLOWDALE,ROAD,RD,,,49733,,125,115,115,2013-12-30,-71.56925168286443,42.61273197845673,326102
M_194318_929131,194317.87200000,929131.41660000,BC,1099137,74,WILLOWDALE ROAD,,,,,207,,,01450,,GROTON,GROTON,MA,,74,74,,,,,,,,,WILLOWDALE,ROAD,RD,,,49733,,125,115,115,2013-12-30,-71.56925168286443,42.61273197845673,326102
M_194318_929131,194317.87200000,929131.41660000,BC,1099141,74,WILLOWDALE ROAD,,,,,211,,,01450,,GROTON,GROTON,MA,,74,74,,,,,,,,,WILLOWDALE,ROAD,RD,,,49733,,125,115,115,2013-12-30,-71.56925168286443,42.61273197845673,326102
M_194318_929131,194317.87200000,929131.41660000,BC,1099147,74,WILLOWDALE ROAD,,,,,304,,,01450,,GROTON,GROTON,MA,,74,74,,,,,,,,,WILLOWDALE,ROAD,RD,,,49733,,125,115,115,2013-12-30,-71.56925168286443,42.61273197845673,326102
