ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_236981_943715,236980.57180000,943715.48760000,BMP,2303616,679-681,SALEM STREET,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,679,679,,,681,681,,,,,SALEM,STREET,ST,,,108521,,126,116,116,2014-02-19,-71.04835736507297,42.743157225654,264100
M_236981_943715,236980.57180000,943715.48760000,BMP,2303615,679,SALEM STREET,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,679,679,,,,,,,,,SALEM,STREET,ST,,,108521,,126,116,116,2014-02-19,-71.04835736507297,42.743157225654,264100
M_238603_945305,238602.58040000,945305.49280000,BC,2304303,14,HIGHLAND AVENUE,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,14,14,,,,,,,,,HIGHLAND,AVENUE,AVE,,,108447,,126,116,116,2014-02-19,-71.02844086171157,42.75739088925216,264100
M_239005_946522,239005.90400000,946522.26090000,BC,2304515,40,GROVELAND COMMONS WAY,,GROVELAND COMMONS,,,,,,01834,,GROVELAND,GROVELAND,MA,,40,40,,,,,,,,,GROVELAND COMMONS,WAY,WAY,,,108574,20895,126,116,116,2016-10-13,-71.02343102064013,42.76832358255492,264100
M_239815_946477,239815.08420000,946477.41980000,BC,2304944,37,SEVEN STAR ROAD,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,37,37,,,,,,,,,SEVEN STAR,ROAD,RD,,,108527,,126,116,116,2014-02-19,-71.01354790059176,42.76787882206369,264100
M_239867_946395,239866.97860000,946395.39700000,BC,2303862,4,GOVERNORS ROAD,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,4,4,,,,,,,,,GOVERNORS,ROAD,RD,,,108435,,126,116,116,2014-02-19,-71.01291960240654,42.767137820779965,264100
M_239233_945284,239233.11140000,945284.16300000,BC,2304601,90,KING STREET,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,90,90,,,,,,,,,KING,STREET,ST,,,108453,,126,116,116,2014-02-19,-71.02074008291302,42.75716725112593,264100
M_239480_947366,239480.19760000,947366.00720000,BMP,2306453,65,MAIN STREET,,,,,1,,,01834,,GROVELAND,GROVELAND,MA,,65,65,,,,,,,,,MAIN,STREET,ST,,,108466,,126,116,116,2014-02-19,-71.01757798258625,42.77589462956044,264100
M_238284_945209,238283.85460000,945208.97380000,BC,2304146,22,SYLVAN STREET,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,22,22,,,,,,,,,SYLVAN,STREET,ST,,,108539,,126,116,116,2014-02-19,-71.03234071971181,42.756537856978646,264100
M_240218_945101,240218.46500000,945101.20800000,BMP,2305537,3,AMBER LANE,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,3,3,,,,,,,,,AMBER,LANE,LN,,,108372,,126,116,116,2014-02-19,-71.00871643439643,42.75546989599058,264100
M_238301_945385,238300.81000000,945384.74640000,BC,2304277,8B,PHILBRICK STREET,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,8,8,B,,,,,,,,PHILBRICK,STREET,ST,,,108505,,126,116,116,2014-09-04,-71.03212182609664,42.75811925999484,264100
M_238841_944681,238840.97740000,944681.40700000,BC,2305082,2,CARLIDA ROAD,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,2,2,,,,,,,,,CARLIDA,ROAD,RD,,,108398,,126,116,116,2014-02-19,-71.02557112903177,42.75176119573029,264100
M_239956_944630,239956.15840000,944630.19220000,BMP,2305121,245,CENTER STREET,,,,,,,,01834,,GROVELAND,GROVELAND,MA,,245,245,,,,,,,,,CENTER,STREET,ST,,,108402,,126,116,116,2014-02-19,-71.01195345804939,42.75124354119047,264100
