ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_113708_902958,113708.00840000,902958.44580000,BMP,249735,199,ROCKY HILL ROAD,,,,,,,,01035,,HADLEY,HADLEY,MA,,199,199,,,,,,,,,ROCKY HILL,ROAD,RD,,,12613,,127,117,117,2013-12-07,-72.54772410551737,42.37235977597892,821400
M_110585_899023,110584.81500000,899022.97200000,BC,248954,1,SCOTT LANE,,,,,,,,01035,,HADLEY,HADLEY,MA,,1,1,,,,,,,,,SCOTT,LANE,LN,,,12618,,127,117,117,2013-12-07,-72.58503288970293,42.336580768288854,821400
M_108801_898687,108801.18540000,898687.28540000,PC,247818,59,AQUA VITAE ROAD,,,,,,,,01035,,HADLEY,HADLEY,MA,,59,59,,,,,,,,,AQUA VITAE,ROAD,RD,,,12461,,127,117,117,2013-12-07,-72.60662157736172,42.33335259425062,821400
M_111680_898323,111679.59800000,898323.14680000,BC,249046,162,BAY ROAD,,,,,,,,01035,,HADLEY,HADLEY,MA,,162,162,,,,,,,,,BAY,ROAD,RD,,,12470,,127,117,117,2013-12-07,-72.57164266531251,42.33040546211963,821400
M_110940_905100,110939.55240000,905100.10940000,BC,249052,19,MEADOW STREET,,,,,,,,01035,,HADLEY,HADLEY,MA,,19,19,,,,,,,,,MEADOW,STREET,ST,,,12557,,127,117,117,2013-12-07,-72.58166382203659,42.39132801247914,821400
M_109542_899212,109542.02880000,899212.14680000,BMP,249584,123,WEST STREET,,,,,,,,01035,,HADLEY,HADLEY,MA,,123,123,,,,,,,,,WEST,STREET,ST,,,12652,,127,117,117,2013-12-07,-72.59771501494717,42.33816361919559,821400
M_113465_902499,113465.18280000,902499.05700000,BC,249594,13,LAURANA LANE,,,,,,,,01035,,HADLEY,HADLEY,MA,,13,13,,,,,,,,,LAURANA,LANE,LN,,,12545,,127,117,117,2013-12-07,-72.55060340444808,42.36819743199907,821400
M_113427_904279,113427.06700000,904279.18380000,BC,249854,4,MILL SITE ROAD,,,,,,,,01035,,HADLEY,HADLEY,MA,,4,4,,,,,,,,,MILL SITE,ROAD,RD,,,12560,,127,117,117,2013-12-07,-72.55133248634672,42.384218023246575,821400
M_112982_905172,112981.53740000,905171.78440000,BC,250099,57,STOCKBRIDGE STREET,,,,,,,,01035,,HADLEY,HADLEY,MA,,57,57,,,,,,,,,STOCKBRIDGE,STREET,ST,,,12637,,127,117,117,2013-12-07,-72.55687670198631,42.3922036798525,821400
M_109779_900395,109779.28260000,900395.11440000,BMP,250129,7,NORTH LANE,,,,,,,,01035,,HADLEY,HADLEY,MA,,7,7,,,,,,,,,NORTH,LANE,LN,,,12584,,127,117,117,2013-12-07,-72.59502052001129,42.34884023235697,821400
M_112744_901183,112744.19880000,901182.77660000,PC,248343,318,RUSSELL STREET,,,,,,,,01035,,HADLEY,HADLEY,MA,,318,318,,,,,,,,,RUSSELL,STREET,ST,,,12615,,127,117,117,2013-12-07,-72.55915741394536,42.35626788570303,821400
M_113176_905712,113175.84700000,905712.33020000,BMP,249877,49,KNIGHTLY ROAD,,,,,,,,01035,,HADLEY,HADLEY,MA,,49,49,,,,,,,,,KNIGHTLY,ROAD,RD,,,12541,,127,117,117,2013-12-07,-72.55459813635203,42.39709133608837,821400
M_111142_904428,111141.83580000,904428.09280000,BMP,249494,6,MOUNT WARNER ROAD,,,,,,,,01035,,HADLEY,HADLEY,MA,,6,6,,,,,,,,,MOUNT WARNER,ROAD,RD,,,12567,,127,117,117,2013-12-07,-72.5791040444508,42.38530158349344,821400
M_112579_907524,112578.81000000,907523.73300000,BC,248180,7,ALOHA DRIVE,,,,,,,,01035,,HADLEY,HADLEY,MA,,7,7,,,,,,,,,ALOHA,DRIVE,DR,,,12460,,127,117,117,2013-12-07,-72.56212317951434,42.41333088531796,821400
M_109420_898520,109419.91500000,898519.96540000,PC,247995,113,AQUA VITAE ROAD,,,,,,,,01035,,HADLEY,HADLEY,MA,,113,113,,,,,,,,,AQUA VITAE,ROAD,RD,,,12461,,127,117,117,2013-12-07,-72.59908848342154,42.331918386334294,821400
M_109832_899487,109832.14220000,899486.78920000,PC,249947,108,WEST STREET,,,,,,,,01035,,HADLEY,HADLEY,MA,,108,108,,,,,,,,,WEST,STREET,ST,,,12652,,127,117,117,2013-12-07,-72.59423760480975,42.34066953094606,821400
M_111142_904428,111141.83580000,904428.09280000,BMP,250661,6,MOUNT WARNER ROAD,,,,,A,,,01035,,HADLEY,HADLEY,MA,,6,6,,,,,,,,,MOUNT WARNER,ROAD,RD,,,12567,,127,117,117,2013-12-07,-72.5791040444508,42.38530158349344,821400
M_107876_900253,107876.49160000,900253.45680000,PC,249565,14,HONEY POT ROAD,,,,,,,,01035,,HADLEY,HADLEY,MA,,14,14,,,,,,,,,HONEY POT,ROAD,RD,,,12531,,127,117,117,2013-12-07,-72.61808978628653,42.34734279452454,821400
M_109574_899004,109573.86560000,899004.23200000,BMP,249599,135,WEST STREET,,,,,,,,01035,,HADLEY,HADLEY,MA,,135,135,,,,,,,,,WEST,STREET,ST,,,12652,,127,117,117,2013-12-07,-72.59729625903421,42.33629564089824,821400
M_110960_903838,110959.76200000,903838.39140000,BC,250209,27,STOCKWELL ROAD,,,,,,,,01035,,HADLEY,HADLEY,MA,,27,27,,,,,,,,,STOCKWELL,ROAD,RD,,,12638,,127,117,117,2013-12-07,-72.58122415947304,42.379972325675624,821400
M_110644_901503,110643.75900000,901503.30840000,BMP,249132,59,RIVER DRIVE,,,,,,,,01035,,HADLEY,HADLEY,MA,,59,59,,,,,,,,,RIVER,DRIVE,DR,,,12611,,127,117,117,2013-12-07,-72.58470043130359,42.358915701056205,821400
M_113393_902487,113393.11560000,902487.20460000,BMP,248216,9,LAURANA LANE,,,,,,,,01035,,HADLEY,HADLEY,MA,,9,9,,,,,,,,,LAURANA,LANE,LN,,,12545,,127,117,117,2013-12-07,-72.5514764967603,42.36808274118245,821400
M_107637_900270,107637.18880000,900269.79980000,PC,248256,24,HONEY POT ROAD,,,,,,,,01035,,HADLEY,HADLEY,MA,,24,24,,,,,,,,,HONEY POT,ROAD,RD,,,12531,,127,117,117,2013-12-07,-72.62099644268356,42.34746163825551,821400
M_113837_903653,113837.16240000,903652.87960000,BMP,248313,111,NORTH MAPLE STREET,,,,,,,,01035,,HADLEY,HADLEY,MA,,111,111,,,,,,,NORTH,,MAPLE,STREET,ST,,,12585,,127,117,117,2013-12-07,-72.54625954283317,42.37862539166388,821400
M_110477_899628,110476.89300000,899627.73840000,ABC,250007,155,RUSSELL STREET,,,,,,,,01035,,HADLEY,HADLEY,MA,,155,155,,,,,,,,,RUSSELL,STREET,ST,,,12615,,127,117,117,2013-12-07,-72.58643582679147,42.342012565201514,821400
