ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_255397_862455,255397.01000000,862454.55980000,BC,3402833,96,CHESTNUT ROAD,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,96,96,,,,,,,,,CHESTNUT,ROAD,RD,,,156956,,128,118,118,2014-03-12,-70.83122687901354,42.010516806878414,526100
M_255273_862594,255273.11560000,862594.69380000,BC,3401068,426,TWIN LAKES DRIVE,,TWIN LAKES CONDOMINIUMS,,,,,,02338,,HALIFAX,HALIFAX,MA,,426,426,,,,,,,,,TWIN LAKES,DRIVE,DR,,,156904,15862,128,118,118,2014-03-12,-70.83270928209588,42.011787175218736,526100
M_255382_862725,255382.41160000,862725.34940000,BC,3401142,369,TWIN LAKES DRIVE,,TWIN LAKES CONDOMINIUMS,,,,,,02338,,HALIFAX,HALIFAX,MA,,369,369,,,,,,,,,TWIN LAKES,DRIVE,DR,,,156904,15862,128,118,118,2014-03-12,-70.83137748382529,42.012955766982465,526100
M_255273_862594,255273.11560000,862594.69380000,BC,3400190,432,TWIN LAKES DRIVE,,TWIN LAKES CONDOMINIUMS,,,,,,02338,,HALIFAX,HALIFAX,MA,,432,432,,,,,,,,,TWIN LAKES,DRIVE,DR,,,156904,15862,128,118,118,2014-03-12,-70.83270928209588,42.011787175218736,526100
M_255382_862725,255382.41160000,862725.34940000,BC,3401942,372,TWIN LAKES DRIVE,,TWIN LAKES CONDOMINIUMS,,,,,,02338,,HALIFAX,HALIFAX,MA,,372,372,,,,,,,,,TWIN LAKES,DRIVE,DR,,,156904,15862,128,118,118,2014-03-12,-70.83137748382529,42.012955766982465,526100
M_255273_862594,255273.11560000,862594.69380000,BC,3403142,435,TWIN LAKES DRIVE,,TWIN LAKES CONDOMINIUMS,,,,,,02338,,HALIFAX,HALIFAX,MA,,435,435,,,,,,,,,TWIN LAKES,DRIVE,DR,,,156904,15862,128,118,118,2014-03-12,-70.83270928209588,42.011787175218736,526100
M_255382_862725,255382.41160000,862725.34940000,BC,3403214,366,TWIN LAKES DRIVE,,TWIN LAKES CONDOMINIUMS,,,,,,02338,,HALIFAX,HALIFAX,MA,,366,366,,,,,,,,,TWIN LAKES,DRIVE,DR,,,156904,15862,128,118,118,2014-03-12,-70.83137748382529,42.012955766982465,526100
M_252589_858432,252588.88440000,858432.14980000,BC,3403020,265,SOUTH STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,265,265,,,,,,,,,SOUTH,STREET,ST,,,156885,,128,118,118,2014-03-12,-70.86548755007298,41.97449590198615,526100
M_253073_860338,253073.36080000,860337.55840000,BMP,3400220,481,PLYMOUTH STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,481,481,,,,,,,,,PLYMOUTH,STREET,ST,,,156859,,128,118,118,2014-03-12,-70.85946966882769,41.991617874679726,526100
M_250033_858985,250033.35660000,858984.95560000,BC,3400305,54,HIGHLAND CIRCLE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,54,54,,,,,,,,,HIGHLAND,CIRCLE,CIR,,,156924,,128,118,118,2014-03-12,-70.89627306736512,41.97963988024965,526100
M_255513_861928,255512.99360000,861927.90380000,BMP,3402950,9,BEECH ROAD,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,9,9,,,,,,,,,BEECH,ROAD,RD,,,156942,,128,118,118,2014-03-12,-70.82987668993279,42.00576710432553,526100
M_249965_858976,249964.73740000,858975.66340000,BMP,3402078,2,ARROWHEAD PATH,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,2,2,,,,,,,,,ARROWHEAD,PATH,PATH,,,156937,,128,118,118,2014-03-12,-70.89710182508536,41.97956059119841,526100
M_252789_857326,252789.34400000,857325.63660000,BMP,3401677,106,SOUTH STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,106,106,,,,,,,,,SOUTH,STREET,ST,,,156885,,128,118,118,2014-03-12,-70.86316866562416,41.96452039240131,526100
M_252279_860729,252278.75360000,860728.74660000,BMP,3401215,7,DEER RUN ROAD,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,7,7,,,,,,,,,DEER RUN,ROAD,RD,,,156974,,128,118,118,2014-03-12,-70.86902432599895,41.995193098301165,526100
M_254099_861271,254098.60760000,861271.46340000,BC,3402395,9,THIRD AVENUE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,9,9,,,,,,,,,THIRD,AVENUE,AVE,,,156899,,128,118,118,2014-03-12,-70.84701039206836,41.99995590028896,526100
M_254230_861178,254230.04080000,861177.90880000,BC,3402980,12,LINGAN STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,12,12,,,,,,,,,LINGAN,STREET,ST,,,157031,,128,118,118,2014-03-12,-70.84543267406194,41.99910455214384,526100
M_249930_858544,249930.25760000,858543.77420000,BC,3401796,198,THOMPSON STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,198,198,,,,,,,,,THOMPSON,STREET,ST,,,147072,,128,118,118,2014-03-12,-70.89755466816838,41.9756744313371,526100
M_254141_862962,254140.80560000,862962.37620000,BC,3402220,16,OCEAN AVENUE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,16,16,,,,,,,,,OCEAN,AVENUE,AVE,,,157056,,128,118,118,2014-03-12,-70.84634466115483,42.01517637520423,526100
M_254141_862962,254140.80560000,862962.37620000,BC,3402639,16B,OCEAN AVENUE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,16,16,B,,,,,,,,OCEAN,AVENUE,AVE,,,157056,,128,118,118,2014-03-12,-70.84634466115483,42.01517637520423,526100
M_255273_862594,255273.11560000,862594.69380000,BC,3402296,429,TWIN LAKES DRIVE,,TWIN LAKES CONDOMINIUMS,,,,,,02338,,HALIFAX,HALIFAX,MA,,429,429,,,,,,,,,TWIN LAKES,DRIVE,DR,,,156904,15862,128,118,118,2014-03-12,-70.83270928209588,42.011787175218736,526100
M_255516_861843,255515.54560000,861842.96940000,BC,3402119,1,ASH ROAD,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,1,1,,,,,,,,,ASH,ROAD,RD,,,156938,,128,118,118,2014-03-12,-70.8298539399994,42.00500225551141,526100
M_249991_862755,249991.30580000,862754.84500000,BC,3400071,3,LAMPPOST DRIVE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,3,3,,,,,,,,,LAMPPOST,DRIVE,DR,,,157025,,128,118,118,2014-03-12,-70.8964585858551,42.0135832778799,526100
M_251066_859719,251065.90980000,859718.69020000,BMP,3401874,424,THOMPSON STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,424,424,,,,,,,,,THOMPSON,STREET,ST,,,147072,,128,118,118,2014-03-12,-70.88375024026884,41.98617929593209,526100
M_254286_863008,254286.36380000,863008.01460000,BC,3402736,5,TRINITY AVENUE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,5,5,,,,,,,,,TRINITY,AVENUE,AVE,,,156903,,128,118,118,2014-03-12,-70.84458313623642,42.01557720358278,526100
M_256396_862784,256395.97860000,862784.46800000,BMP,3401498,303,HOLMES STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,303,303,,,,,,,,,HOLMES,STREET,ST,,,157014,,128,118,118,2014-03-12,-70.81913567833988,42.013415826519754,526100
M_254141_862962,254140.80560000,862962.37620000,BC,3402222,16-16B,OCEAN AVENUE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,16,16,,,16,16,B,,,,OCEAN,AVENUE,AVE,,,157056,,128,118,118,2014-03-12,-70.84634466115483,42.01517637520423,526100
M_256479_862889,256478.86440000,862889.13040000,BC,3400829,84,COLBY DRIVE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,84,84,,,,,,,,,COLBY,DRIVE,DR,,,156963,,128,118,118,2014-03-12,-70.81812494590926,42.01435214381136,526100
M_252684_860348,252684.31920000,860347.61720000,BC,3400858,539,PLYMOUTH STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,539,539,,,,,,,,,PLYMOUTH,STREET,ST,,,156859,,128,118,118,2014-03-12,-70.86416384397648,41.99173464160961,526100
M_251517_857730,251517.46080000,857729.92420000,BMP,3400511,261,RIVER STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,261,261,,,,,,,,,RIVER,STREET,ST,,,156874,,128,118,118,2014-03-12,-70.87847611172667,41.96824470918002,526100
M_256960_862908,256960.24480000,862907.74340000,BC,3400781,61,BRANDEIS CIRCLE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,61,61,,,,,,,,,BRANDEIS,CIRCLE,CIR,,,156949,,128,118,118,2014-03-12,-70.81231163062326,42.01448492268239,526100
M_255769_860070,255769.46700000,860070.40120000,BC,3402469,80,REDWOOD DRIVE,,HALIFAX MOBILE HOME ESTATES,,,,,,02338,,HALIFAX,HALIFAX,MA,,80,80,,,,,,,,,REDWOOD,DRIVE,DR,,,156869,17750,128,118,118,2014-11-06,-70.82695773479976,41.98902572945166,526100
M_255316_861899,255316.05700000,861898.54280000,BC,3402850,54,CEDAR LANE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,54,54,,,,,,,,,CEDAR,LANE,LN,,,156952,,128,118,118,2014-03-12,-70.83225668105482,42.00551667112799,526100
M_252748_856769,252747.91120000,856768.72220000,BC,3401367,138,FULLER STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,138,138,,,,,,,,,FULLER,STREET,ST,,,147574,,128,118,118,2014-03-12,-70.86371859351922,41.95950921156818,526100
M_250276_859159,250275.77900000,859158.61580000,BC,3401191,6,BAYBERRY LANE,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,6,6,,,,,,,,,BAYBERRY,LANE,LN,,,156941,,128,118,118,2014-03-12,-70.89333307487608,41.98118787819596,526100
M_250203_863983,250202.54500000,863982.75800000,ABC,3401029,212,HUDSON STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,212,212,,,,,,,,,HUDSON,STREET,ST,,,157016,,128,118,118,2014-03-12,-70.89380304030703,42.024624793595706,526100
M_255273_862594,255273.11560000,862594.69380000,BC,3403355,423,TWIN LAKES DRIVE,,TWIN LAKES CONDOMINIUMS,,,,,,02338,,HALIFAX,HALIFAX,MA,,423,423,,,,,,,,,TWIN LAKES,DRIVE,DR,,,156904,15862,128,118,118,2014-03-12,-70.83270928209588,42.011787175218736,526100
M_255382_862725,255382.41160000,862725.34940000,BC,3400268,363,TWIN LAKES DRIVE,,TWIN LAKES CONDOMINIUMS,,,,,,02338,,HALIFAX,HALIFAX,MA,,363,363,,,,,,,,,TWIN LAKES,DRIVE,DR,,,156904,15862,128,118,118,2014-03-12,-70.83137748382529,42.012955766982465,526100
M_257200_862225,257199.61200000,862224.66660000,BMP,3402936,41,OAK STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,41,41,,,,,,,,,OAK,STREET,ST,,,157053,,128,118,118,2014-03-12,-70.80948860647696,42.00831775544019,526100
M_255806_861923,255805.50620000,861923.21640000,BC,3402225,169,HOLMES STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,169,169,,,,,,,,,HOLMES,STREET,ST,,,157014,,128,118,118,2014-03-12,-70.82634622685393,42.00570415855304,526100
M_255052_861932,255052.05140000,861932.48300000,BC,3400023,12,BAKER COURT,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,12,12,,,,,,,,,BAKER,COURT,CT,,,156918,,128,118,118,2014-03-12,-70.83544028202995,42.0058407997356,526100
M_255382_862725,255382.41160000,862725.34940000,BC,3402809,375,TWIN LAKES DRIVE,,TWIN LAKES CONDOMINIUMS,,,,,,02338,,HALIFAX,HALIFAX,MA,,375,375,,,,,,,,,TWIN LAKES,DRIVE,DR,,,156904,15862,128,118,118,2014-03-12,-70.83137748382529,42.012955766982465,526100
M_250148_858651,250147.73220000,858650.71660000,BC,3401830,228,THOMPSON STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,228,228,,,,,,,,,THOMPSON,STREET,ST,,,147072,,128,118,118,2014-03-12,-70.8949216114511,41.976623387942105,526100
M_255669_860616,255669.38580000,860616.93020000,BC,3402769,3,PARKWOOD DRIVE,,HALIFAX MOBILE HOME ESTATES,,,,,,02338,,HALIFAX,HALIFAX,MA,,3,3,,,,,,,,,PARKWOOD,DRIVE,DR,,,156849,17750,128,118,118,2016-07-11,-70.82811354024928,41.99395326563721,526100
M_252656_859746,252655.83700000,859745.63260000,BC,3401074,444,SOUTH STREET,,,,,,,,02338,,HALIFAX,HALIFAX,MA,,444,444,,,,,,,,,SOUTH,STREET,ST,,,156885,,128,118,118,2014-03-12,-70.86456170053215,41.986316830798465,526100
