ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_250620_932563,250620.12740000,932563.21200000,BMP,2505606,551,HIGHLAND STREET,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,551,551,,,,,,,,,HIGHLAND,STREET,ST,,,119767,,129,119,119,2014-03-02,-70.88276850438511,42.64199749580453,215102
M_250605_930052,250605.12420000,930051.63840000,BC,2505975,63,LINCOLN AVENUE,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,63,63,,,,,,,,,LINCOLN,AVENUE,AVE,,,119788,,129,119,119,2014-03-02,-70.88317289935199,42.61938953433743,215102
M_254397_929327,254396.60920000,929327.14720000,BC,2507474,74,GREENBROOK ROAD,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,74,74,,,,,,,,,GREENBROOK,ROAD,RD,,,119754,,129,119,119,2014-03-02,-70.83702882940707,42.612611662908535,215101
M_250220_930111,250219.92820000,930111.11680000,BC,2506855,1,ANTHONY ROAD,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,1,1,,,,,,,,,ANTHONY,ROAD,RD,,,119680,,129,119,119,2014-03-02,-70.8878626981753,42.619949935720555,215102
M_253773_932231,253772.89000000,932230.93080000,BMP,2505363,965,BAY ROAD,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,965,965,,,,,,,,,BAY,ROAD,RD,,,119693,,129,119,119,2014-03-02,-70.84435821965754,42.63879458009602,215101
M_255009_929283,255008.56660000,929283.28560000,BC,2506954,28,PROSPECT STREET,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,28,28,,,,,,,,,PROSPECT,STREET,ST,,,119843,,129,119,119,2014-03-02,-70.82957496513697,42.61217376550183,215101
M_255535_928901,255534.67640000,928900.86540000,BC,2507484,81,OLD CART ROAD,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,81,81,,,,,,,,,OLD CART,ROAD,RD,,,119821,,129,119,119,2014-03-02,-70.8232001734474,42.608693850018895,215101
M_251033_929232,251032.53380000,929232.45960000,BC,2504725,29,HOME STREET,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,29,29,,,,,,,,,HOME,STREET,ST,,,119671,,129,119,119,2014-03-02,-70.87803618470087,42.61198739511378,215102
M_250562_929575,250562.43560000,929575.29020000,BMP,2504807,222,LINDEN STREET,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,222,222,,,,,,,,,LINDEN,STREET,ST,,,119789,,129,119,119,2014-03-02,-70.8837351629137,42.61510425470515,215102
M_251175_929625,251175.24100000,929624.69000000,BMP,2505772,132,ASBURY STREET,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,132,132,,,,,,,,,ASBURY,STREET,ST,,,119687,,129,119,119,2014-03-02,-70.876262032907,42.61550885011035,215102
M_251715_928951,251714.84480000,928951.46060000,BC,2505042,10,PINE STREET,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,10,10,,,,,,,,,PINE,STREET,ST,,,119833,,129,119,119,2014-03-02,-70.86974606050319,42.60941276973268,215101
M_255469_929027,255469.07760000,929026.79960000,BC,2506671,60,OLD CART ROAD,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,60,60,,,,,,,,,OLD CART,ROAD,RD,,,119821,,129,119,119,2014-03-02,-70.82398742757542,42.60983218162216,215101
M_251001_929561,251000.86200000,929561.08460000,BC,2506277,4,COTTAGE STREET,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,4,4,,,,,,,,,COTTAGE,STREET,ST,,,119718,,129,119,119,2014-03-02,-70.87839298649975,42.6149477377237,215102
M_254424_929554,254424.46080000,929553.85160000,BC,2505799,140,SCHOOL STREET,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,140,140,,,,,,,,,SCHOOL,STREET,ST,,,119861,,129,119,119,2014-03-02,-70.83666790829206,42.614650486623006,215101
M_254103_928504,254102.77700000,928503.57720000,BMP,2506730,163,ESSEX STREET,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,163,163,,,,,,,,,ESSEX,STREET,ST,,,119736,,129,119,119,2014-03-02,-70.84068741871336,42.60521844919314,215101
M_251907_929305,251906.79200000,929304.96480000,BC,2506885,16,PATTON DRIVE,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,16,16,,,,,,,,,PATTON,DRIVE,DR,,,119829,,129,119,119,2014-03-02,-70.8673749140915,42.61258220313152,215101
M_251888_928856,251888.44880000,928855.62140000,BMP,2505191,26,CHESTNUT STREET,,,,,,,,01982,,HAMILTON,HAMILTON,MA,,26,26,,,,,,,,,CHESTNUT,STREET,ST,,,119715,,129,119,119,2014-03-02,-70.86763906782527,42.60853846317379,215101
