ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_45777_912635,45777.48200000,912635.01200000,BC,251028,54,BIRCH GROVE ROAD,,,,,,,,01201,,HANCOCK,HANCOCK,MA,,54,54,,,,,,,,,BIRCH GROVE,ROAD,RD,,,12690,,131,121,121,2013-12-07,-73.37488560901247,42.4489861152542,
M_53058_929438,53058.10020000,929438.37760000,BC,250699,2589,HANCOCK ROAD,,,,,,,,01267,,HANCOCK,HANCOCK,MA,,2589,2589,,,,,,,,,HANCOCK,ROAD,RD,,,12724,,131,121,121,2013-12-07,-73.29068956654095,42.601630236899666,935100
M_50675_923097,50674.85840000,923096.61500000,BMP,250960,77,MAIN STREET,,,,,,,,01237,,HANCOCK,HANCOCK,MA,,77,77,,,,,,,,,MAIN,STREET,ST,,,12739,,131,121,121,2013-12-07,-73.31807688586562,42.54409878801694,935100
M_50085_923009,50085.47420000,923008.76380000,BMP,251345,185,MAIN STREET,,,,,,,,01237,,HANCOCK,HANCOCK,MA,,185,185,,,,,,,,,MAIN,STREET,ST,,,12739,,131,121,121,2013-12-07,-73.32522773832903,42.54319479208513,935100
M_49375_920345,49375.49640000,920345.45660000,PC,250996,240,GOODRICH HOLLOW ROAD,,,,,,,,01237,,HANCOCK,HANCOCK,MA,,240,240,,,,,,,,,GOODRICH HOLLOW,ROAD,RD,,,12720,,131,121,121,2013-12-07,-73.33317235824657,42.51908709672126,935100
M_51265_923875,51264.50760000,923874.83840000,BMP,251111,3611,HANCOCK ROAD,,,,,,,,01237,,HANCOCK,HANCOCK,MA,,3611,3611,,,,,,,,,HANCOCK,ROAD,RD,,,12724,,131,121,121,2013-12-07,-73.311101053226,42.55121596618975,935100
M_52903_927719,52902.84960000,927718.81660000,BMP,251203,2898,HANCOCK ROAD,,,,,,,,01267,,HANCOCK,HANCOCK,MA,,2898,2898,,,,,,,,,HANCOCK,ROAD,RD,,,12724,,131,121,121,2013-12-07,-73.29214073053399,42.58612440475912,935100
M_54144_932764,54143.95980000,932763.60700000,BC,250955,2004,HANCOCK ROAD,,,,,,,,01267,,HANCOCK,HANCOCK,MA,,2004,2004,,,,,,,,,HANCOCK,ROAD,RD,,,40380,,131,341,121,2016-05-24,-73.27830543390729,42.63176247671604,935100
M_52903_927719,52902.84960000,927718.81660000,BMP,251517,2898,HANCOCK ROAD,,,,,RIGHT,,,01267,,HANCOCK,HANCOCK,MA,,2898,2898,,,,,,,,,HANCOCK,ROAD,RD,,,12724,,131,121,121,2013-12-07,-73.29214073053399,42.58612440475912,935100
M_50406_923063,50405.58540000,923062.56160000,BMP,250758,9,ESTES ROAD,,,,,,,,01237,,HANCOCK,HANCOCK,MA,,9,9,,,,,,,,,ESTES,ROAD,RD,,,12716,,131,121,121,2013-12-07,-73.32134551519242,42.543740584735914,935100
