ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_251887_874909,251887.05920000,874909.34100000,BC,3439970,276,OLD FARM ROAD,,,,,,,,02339,,HANOVER,HANOVER,MA,,276,276,,,,,,,,,OLD FARM,ROAD,RD,,,159046,,132,122,122,2014-03-13,-70.87249257881426,42.12288724756799,503101
M_250832_874024,250832.36480000,874024.45320000,BMP,3437728,34,EVERGREEN LANE,,,,,,,,02339,,HANOVER,HANOVER,MA,,34,34,,,,,,,,,EVERGREEN,LANE,LN,,,158951,,132,122,122,2014-03-13,-70.88532442675152,42.11498979027986,503101
M_252416_877548,252416.08420000,877548.00420000,BC,3437314,534,WEBSTER STREET,,,,,,,,02339,,HANOVER,HANOVER,MA,,534,534,,,,,,,,,WEBSTER,STREET,ST,,,158815,,132,122,122,2014-03-13,-70.8658576913482,42.146607696267175,503101
M_252068_874522,252068.07400000,874521.88180000,BC,3439730,137,OLD FARM ROAD,,,,,,,,02339,,HANOVER,HANOVER,MA,,137,137,,,,,,,,,OLD FARM,ROAD,RD,,,159046,,132,122,122,2014-03-13,-70.8703381068858,42.11938696551792,503101
M_253945_876194,253944.99180000,876193.73800000,BC,3436338,84,DEBORAH ROAD,,,,,,,,02339,,HANOVER,HANOVER,MA,,84,84,,,,,,,,,DEBORAH,ROAD,RD,,,158939,,132,122,122,2014-03-13,-70.84748665025215,42.134311551523446,503101
M_257048_873773,257047.55980000,873772.99520000,BC,3440367,128,WASHINGTON STREET,,,,,1,,,02339,,HANOVER,HANOVER,MA,,128,128,,,,,,,,,WASHINGTON,STREET,ST,,,158811,,132,122,122,2014-03-13,-70.81019667900269,42.11229804733969,503102
M_253389_874808,253388.59880000,874807.59240000,BC,3438549,43,MAYFLOWER CIRCLE,,,,,,,,02339,,HANOVER,HANOVER,MA,,43,43,,,,,,,,,MAYFLOWER,CIRCLE,CIR,,,159023,,132,122,122,2014-03-13,-70.85434338177242,42.121870320311906,503101
M_254519_872748,254519.44100000,872748.39680000,BC,3439559,854,BROADWAY,,,,,,,,02339,,HANOVER,HANOVER,MA,,854,854,,,,,,,,,BROADWAY,,,,,158900,,132,122,122,2014-03-13,-70.84086048463841,42.10325364864084,503102
M_252240_875275,252240.35840000,875275.22560000,BC,3439186,430,OLD FARM ROAD,,,,,,,,02339,,HANOVER,HANOVER,MA,,430,430,,,,,,,,,OLD FARM,ROAD,RD,,,159046,,132,122,122,2014-03-13,-70.86818725797193,42.12615780207659,503101
M_251425_873383,251424.85040000,873382.62360000,BC,3436811,25,RUSSELL ROAD,,,,,,,,02339,,HANOVER,HANOVER,MA,,25,25,,,,,,,,,RUSSELL,ROAD,RD,,,159091,,132,122,122,2014-03-13,-70.87821679492468,42.10917276102393,503102
