ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_252972_870927,252971.81440000,870927.10760000,BC,3444982,807,EAST WASHINGTON STREET,,,,,,,,02341,,HANSON,HANSON,MA,,807,807,,,,,,,EAST,,WASHINGTON,STREET,ST,,,159487,,133,123,123,2014-03-13,-70.85973584460625,42.08696278988466,522102
M_250693_867805,250692.57980000,867804.64060000,BMP,3443167,131,HOLMES STREET,,,,,,,,02341,,HANSON,HANSON,MA,,131,131,,,,,,,,,HOLMES,STREET,ST,,,159534,,133,123,123,2014-03-13,-70.88755470314636,42.05900189280489,522102
M_254615_864958,254615.29240000,864958.21720000,BC,3442120,469,SOUTH STREET,,,,,,,,02341,,HANSON,HANSON,MA,,469,469,,,,,,,,,SOUTH,STREET,ST,,,159640,,133,123,123,2014-03-13,-70.84042996590514,42.03311212009483,522101
M_252049_870486,252048.57620000,870485.50680000,BMP,3445419,454,EAST WASHINGTON STREET,,,,,,,,02341,,HANSON,HANSON,MA,,454,454,,,,,,,EAST,,WASHINGTON,STREET,ST,,,159487,,133,123,123,2014-03-13,-70.87093387344504,42.08304891318631,522102
M_253173_867603,253172.99000000,867603.07300000,BMP,3443580,552,INDIAN HEAD STREET,,,,,,,,02341,,HANSON,HANSON,MA,,552,552,,,,,,,,,INDIAN HEAD,STREET,ST,,,159539,,133,123,123,2014-03-13,-70.85760693282782,42.057022908943466,522101
M_252180_866147,252180.06340000,866147.49020000,BC,3445302,144,PIERCE AVENUE,,,,,,,,02341,,HANSON,HANSON,MA,,144,144,,,,,,,,,PIERCE,AVENUE,AVE,,,159607,,133,123,123,2014-03-13,-70.86973216589863,42.04398495392376,522102
M_250903_870343,250902.73320000,870342.56340000,BC,3443964,624,WHITMAN STREET,,,,,,,,02341,,HANSON,HANSON,MA,,624,624,,,,,,,,,WHITMAN,STREET,ST,,,159710,,133,123,123,2014-03-13,-70.88479466160544,42.081837239099514,522102
M_254237_863978,254237.18980000,863977.75060000,BC,3443202,20,SANTOS COURT,,,,,,,,02341,,HANSON,HANSON,MA,,20,20,,,,,,,,,SANTOS,COURT,CT,,,159634,,133,123,123,2014-03-13,-70.84508691334959,42.024311178787244,522101
M_253115_870579,253115.29380000,870579.23120000,BMP,3441905,131,BROOK BEND ROAD,,,,,,,,02341,,HANSON,HANSON,MA,,131,131,,,,,,,,,BROOK BEND,ROAD,RD,,,159445,,133,123,123,2014-03-13,-70.85803333691206,42.08382115715326,522101
M_253637_863786,253637.30060000,863785.57260000,BMP,3442087,719,PLEASANT STREET,,,,,,,,02341,,HANSON,HANSON,MA,,719,719,,,,,,,,,PLEASANT,STREET,ST,,,159611,,133,123,123,2014-03-13,-70.8523479041735,42.022622231307025,522101
M_253981_863631,253980.99920000,863631.37160000,BC,3443363,151,WOODBINE AVENUE,,,,,,,,02341,,HANSON,HANSON,MA,,151,151,,,,,,,,,WOODBINE,AVENUE,AVE,,,159688,,133,123,123,2014-03-13,-70.84821224952009,42.02121038204173,522101
M_254189_863162,254188.71740000,863161.71740000,BMP,3443395,28,UPTON STREET,,,,,,,,02341,,HANSON,HANSON,MA,,28,28,,,,,,,,,UPTON,STREET,ST,,,159665,,133,123,123,2014-03-13,-70.84574777292893,42.016967746377496,522101
M_253660_868813,253659.73920000,868812.63160000,BC,3443193,90,CRESCENT PLACE,,,,,,,,02341,,HANSON,HANSON,MA,,90,90,,,,,,,,,CRESCENT,PLACE,PL,,,159698,,133,123,123,2014-03-13,-70.8516155690172,42.06787940920752,522101
M_249398_866857,249397.55060000,866857.28020000,BC,3445840,162,INDUSTRIAL BOULEVARD,,,,,7B,,,02341,,HANSON,HANSON,MA,,162,162,,,,,,,,,INDUSTRIAL,BOULEVARD,BLVD,,,159542,,133,123,123,2014-03-13,-70.90328022564015,42.050555408954025,522102
M_250756_870148,250755.91060000,870147.73080000,BC,3443303,227,SPRING STREET,,,,,,,,02341,,HANSON,HANSON,MA,,227,227,,,,,,,,,SPRING,STREET,ST,,,159645,,133,123,123,2014-03-13,-70.88658601752208,42.08009268068189,522102
