ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_141667_896168,141666.74700000,896167.99040000,BMP,4202287,73,NORTH STREET,,,,,,,,01031,,HARDWICK,HARDWICK,MA,,73,73,,,,,,,,,NORTH,STREET,ST,,,48803,,134,124,124,2015-01-22,-72.207595255916,42.31381959293623,723100
M_142434_900012,142433.80940000,900012.15920000,BC,4196013,26,BARRE ROAD,,,,,,,,01037,,HARDWICK,HARDWICK,MA,,26,26,,,,,,,,,BARRE,ROAD,RD,,,48733,,134,124,124,2015-01-22,-72.19867298828102,42.34848377749894,723100
M_141764_903007,141764.10060000,903007.16120000,BMP,1085835,1007,PETERSHAM ROAD,,,,,,,,01037,,HARDWICK,HARDWICK,MA,,1007,1007,,,,,,,,,PETERSHAM,ROAD,RD,,,48819,,134,124,124,2013-12-30,-72.20710211559837,42.37539651794365,723100
M_141306_895224,141306.00940000,895224.20460000,BMPC,1086222,266,MAIN STREET,,,,,,,,01031,,HARDWICK,HARDWICK,MA,,266,266,,,,,,,,,MAIN,STREET,ST,,,48788,,134,124,124,2016-06-09,-72.2118753353149,42.305296073169835,723100
M_141847_903329,141846.72260000,903329.16860000,BC,1086462,1133,PETERSHAM ROAD,,,,,,,,01037,,HARDWICK,HARDWICK,MA,,1133,1133,,,,,,,,,PETERSHAM,ROAD,RD,,,48819,,134,124,124,2013-12-30,-72.20613132966801,42.378301532008635,723100
M_142434_900012,142433.80940000,900012.15920000,BC,1086950,28,BARRE ROAD,,,,,,,,01037,,HARDWICK,HARDWICK,MA,,28,28,,,,,,,,,BARRE,ROAD,RD,,,48733,,134,124,124,2013-12-30,-72.19867298828102,42.34848377749894,723100
M_141667_896168,141666.74700000,896167.99040000,BMP,1086522,67,NORTH STREET,,,,,,,,01031,,HARDWICK,HARDWICK,MA,,67,67,,,,,,,,,NORTH,STREET,ST,,,48803,,134,124,124,2013-12-30,-72.207595255916,42.31381959293623,723100
M_141889_896034,141888.80020000,896034.02220000,BC,1085941,12A,DUHAMEL COURT,,,,,,,,01031,,HARDWICK,HARDWICK,MA,,12,12,A,,,,,,,,DUHAMEL,COURT,CT,,,48760,,134,124,124,2014-11-24,-72.20488839511403,42.31263008778767,723100
M_146297_899868,146297.09380000,899867.89600000,BC,1086182,8,SHUNPIKE ROAD,,,,,,,,01031,,HARDWICK,HARDWICK,MA,,8,8,,,,,,,,,SHUNPIKE,ROAD,RD,,,48837,,134,124,124,2013-12-30,-72.15177334539634,42.347460371380876,723100
M_141667_896168,141666.74700000,896167.99040000,BMP,1086170,71,NORTH STREET,,,,,,,,01031,,HARDWICK,HARDWICK,MA,,71,71,,,,,,,,,NORTH,STREET,ST,,,48803,,134,124,124,2014-11-24,-72.207595255916,42.31381959293623,723100
