ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_315253_823821,315252.75800000,823820.92490000,BC,2167121,1,BELMONT ROAD,,BELMONT CONDOMINIUMS,,,C19,,,02671,,HARWICH,HARWICH,MA,,1,1,,,,,,,,,BELMONT,ROAD,RD,,,101465,16885,136,126,126,2016-01-20,-70.11628609422341,41.65621919242137,011002
M_318296_825205,318296.45400000,825204.53480000,BMP,2168439,494,ROUTE 28,,,,,A,,,02646,,HARWICH,HARWICH,MA,,494,494,,,,,,,,ROUTE,28,,,,,101695,,136,126,126,2014-02-17,-70.0794738076576,41.66822441581963,011200
M_317636_824917,317635.55460000,824916.90520000,BC,2165971,10,FIDDLERS LANDING,,,,,,,,02646,,HARWICH,HARWICH,MA,,10,10,,,,,,,,,FIDDLERS,LANDING,LNDG,,,100986,,136,126,126,2014-02-17,-70.08746575044513,41.66573390948682,011002
M_314994_825738,314993.87100000,825738.13120000,BMP,2161732,1,ARBUTUS AVENUE,,,,,,,,02671,,HARWICH,HARWICH,MA,,1,1,,,,,,,,,ARBUTUS,AVENUE,AVE,,,101427,,136,126,126,2014-02-17,-70.11902108842693,41.67351630535003,011002
M_315051_824940,315051.49000000,824940.32980000,BMP,2167399,150,BELMONT ROAD,,,,,2,,,02671,,HARWICH,HARWICH,MA,,150,150,,,,,,,,,BELMONT,ROAD,RD,,,101465,,136,126,126,2014-02-17,-70.11848441994482,41.66632582606072,011002
M_321854_826034,321853.53280000,826033.70120000,BMP,2156658,29,SUNRISE LANE,,,,,,,,02645,,HARWICH,HARWICH,MA,,29,29,,,,,,,,,SUNRISE,LANE,LN,,,101711,,136,126,126,2014-02-17,-70.03659718159622,41.67514737425225,011200
M_316594_824694,316593.81200000,824693.81800000,BC,2163871,31,SHORE ROAD EXTENSION,,,,,,,,02671,,HARWICH,HARWICH,MA,,31,31,,,,,,,,,SHORE,ROAD EXTENSION,,,,101644,,136,126,126,2014-02-17,-70.10001640576142,41.663880240846616,011002
M_323739_831472,323739.38480000,831472.08960000,BMP,2164043,8,KIMBERLY WAY,,,,,,,,02645,,HARWICH,HARWICH,MA,,8,8,,,,,,,,,KIMBERLY,WAY,WAY,,,101279,,136,126,126,2014-02-17,-70.01281490485566,41.72381099759156,011100
M_317071_830839,317071.46940000,830838.54240000,PC,2164014,75,PUNKHORN ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,75,75,,,,,,,,,PUNKHORN,ROAD,RD,,,101250,,136,126,126,2014-02-17,-70.0930651373893,41.7191261176852,011002
M_318776_830349,318776.19000000,830348.68540000,BC,2159372,22,COTTONWOOD ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,22,22,,,,,,,,,COTTONWOOD,ROAD,RD,,,100895,,136,126,126,2014-02-17,-70.07268054174781,41.71446130238274,011100
M_316800_825316,316799.91980000,825315.95100000,BC,2163721,279,ROUTE 28,,,,,,,,02671,,HARWICH,HARWICH,MA,,279,279,,,,,,,,ROUTE,28,,,,,101695,,136,126,126,2014-02-17,-70.0974192152582,41.669450387110665,011002
M_321887_828678,321887.34300000,828677.93500000,BC,2165791,5,KERI WAY,,,,,,,,02645,,HARWICH,HARWICH,MA,,5,5,,,,,,,,,KERI,WAY,WAY,,,101276,,136,126,126,2014-02-17,-70.03564608672255,41.69894604819677,011200
M_314738_827493,314738.35420000,827492.68520000,BC,2165946,1,HERRING RUN ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,1,1,,,,,,,,,HERRING RUN,ROAD,RD,,,101080,,136,126,126,2014-02-17,-70.12174865372492,41.68934860612562,011002
M_324088_831899,324087.74120000,831898.69840000,BC,2164851,16,GRIST MILL ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,16,16,,,,,,,,,GRIST MILL,ROAD,RD,,,101039,,136,126,126,2014-02-17,-70.00853932505545,41.72759662671932,011100
M_318115_824932,318115.12600000,824931.77360000,BC,2158140,36,OCEAN AVENUE,,,,,,,,02646,,HARWICH,HARWICH,MA,,36,36,,,,,,,,,OCEAN,AVENUE,AVE,,,101156,,136,126,126,2014-02-17,-70.08170528443634,41.665796111572604,011200
M_318557_827721,318556.50620000,827721.13920000,BC,2158186,3,WESTON WOODS ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,3,3,,,,,,,,,WESTON WOODS,ROAD,RD,,,101778,,136,126,126,2014-02-17,-70.07584710927878,41.69084051789473,011002
M_321739_827744,321739.48640000,827743.64440000,PC,2156403,175,DEPOT ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,175,175,,,,,,,,,DEPOT,ROAD,RD,,,100930,,136,126,126,2014-02-17,-70.03761451115167,41.690558223988695,011200
M_318744_828669,318743.84180000,828668.54840000,BC,2157497,1,BETTYS LANE,,,,,,,,02645,,HARWICH,HARWICH,MA,,1,1,,,,,,,,,BETTYS,LANE,LN,,,101471,,136,126,126,2014-02-17,-70.07340684421918,41.69934115584797,011100
M_318746_827335,318746.47960000,827334.91020000,BMP,2166408,21,OLD COLONY ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,21,21,,,,,,,,,OLD COLONY,ROAD,RD,,,101169,,136,126,126,2014-02-17,-70.07364306772186,41.68733500496059,011100
M_318972_830598,318971.84840000,830597.65980000,BC,2165132,26,LAKEWOOD DRIVE,,,,,,,,02645,,HARWICH,HARWICH,MA,,26,26,,,,,,,,,LAKEWOOD,DRIVE,DR,,,101290,,136,126,126,2014-02-17,-70.07027963277665,41.716673130036384,011100
M_318822_828807,318821.70260000,828807.02720000,BMP,2156536,20,WISDOM WAY,,,,,,,,02645,,HARWICH,HARWICH,MA,,20,20,,,,,,,,,WISDOM,WAY,WAY,,,101803,,136,126,126,2014-02-17,-70.07244375440271,41.70057604912993,011100
M_318180_824901,318179.79120000,824900.81520000,BC,2160241,7,GROVE STREET,,,,,,,,02646,,HARWICH,HARWICH,MA,,7,7,,,,,,,,,GROVE,STREET,ST,,,101040,,136,126,126,2014-02-17,-70.08093512936225,41.66550773235161,011200
M_315314_824265,315314.05340000,824265.40200000,BC,2160952,35,RIVERSIDE DRIVE,,,,,,,,02671,,HARWICH,HARWICH,MA,,35,35,,,,,,,,,RIVERSIDE,DRIVE,DR,,,101561,,136,126,126,2014-02-17,-70.11546370381141,41.66021156941337,011002
M_321204_826523,321204.11240000,826522.67060000,BC,2156417,18,SANDPIPER ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,18,18,,,,,,,,,SANDPIPER,ROAD,RD,,,101592,,136,126,126,2014-02-17,-70.04429468284785,41.67964922288059,011200
M_322010_828885,322010.05780000,828885.06360000,BC,2163890,328,DEPOT ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,328,328,,,,,,,,,DEPOT,ROAD,RD,,,100930,,136,126,126,2014-02-17,-70.03412932048435,41.7007916813857,011100
M_319524_826918,319524.23780000,826918.25000000,BC,2166494,28,DALE ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,28,28,,,,,,,,,DALE,ROAD,RD,,,101823,,136,126,126,2014-02-17,-70.06438679180263,41.683466651221686,011200
M_321690_825789,321690.36140000,825788.96100000,BC,2159753,8,QUAIL HOLLOW,,,,,,,,02645,,HARWICH,HARWICH,MA,,8,8,,,,,,,,,QUAIL,HOLLOW,HOLW,,,101254,,136,126,126,2014-02-17,-70.03860676173932,41.6729693617593,011200
M_323870_831586,323870.09120000,831585.82300000,BC,2159211,18,KIMBERLY WAY,,,,,,,,02645,,HARWICH,HARWICH,MA,,18,18,,,,,,,,,KIMBERLY,WAY,WAY,,,101279,,136,126,126,2014-02-17,-70.0112204479635,41.72481431301836,011100
M_317813_826583,317812.90320000,826582.51540000,BC,2164924,20,ALLEN STREET,,,,,,,,02645,,HARWICH,HARWICH,MA,,20,20,,,,,,,,,ALLEN,STREET,ST,,,101420,,136,126,126,2014-02-17,-70.08500483221397,41.68070173834138,011002
M_321522_827101,321521.62920000,827101.22500000,BC,2159697,9,MARTHAS LANE,,,,,,,,02645,,HARWICH,HARWICH,MA,,9,9,,,,,,,,,MARTHAS,LANE,LN,,,101351,,136,126,126,2014-02-17,-70.0403630365682,41.6848086344653,011200
M_324640_831267,324639.72200000,831267.11160000,BC,2163758,3,EAGLES NEST ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,3,3,,,,,,,,,EAGLES NEST,ROAD,RD,,,100953,,136,126,126,2014-02-17,-70.00203950998113,41.72182391788778,011100
M_318896_827657,318896.07160000,827657.10420000,BC,2159061,11,GREEN LANE,,,,,,,,02645,,HARWICH,HARWICH,MA,,11,11,,,,,,,,,GREEN,LANE,LN,,,101034,,136,126,126,2014-02-17,-70.07178174041371,41.69021294162278,011100
M_315914_824340,315913.68000000,824339.98720000,BC,2166679,34,PINE LANE,,,,,,,,02671,,HARWICH,HARWICH,MA,,34,34,,,,,,,,,PINE,LANE,LN,,,101223,,136,126,126,2014-02-17,-70.10825085668704,41.66079515226055,011002
M_321761_825939,321760.55780000,825939.19920000,BMP,2161775,10,TROUT BROOK ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,10,10,,,,,,,,,TROUT BROOK,ROAD,RD,,,101734,,136,126,126,2014-02-17,-70.03773300275243,41.674311004496666,011200
M_323095_828870,323095.26420000,828869.77680000,BMP,2164545,1070,QUEEN ANNE ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,1070,1070,,,,,,,,,QUEEN ANNE,ROAD,RD,,,101259,,136,126,126,2014-02-17,-70.02109706404397,41.70048541320791,011200
M_315154_825751,315153.57000000,825751.19520000,PC,2165709,41,BELLS NECK ROAD,,,,,,,,02671,,HARWICH,HARWICH,MA,,41,41,,,,,,,,,BELLS NECK,ROAD,RD,,,101461,,136,126,126,2014-02-17,-70.11710103125858,41.6736106172697,011002
M_314921_824998,314921.02620000,824997.72100000,BMP,2163318,11,ELWOOD ROAD,,,,,,,,02671,,HARWICH,HARWICH,MA,,11,11,,,,,,,,,ELWOOD,ROAD,RD,,,101828,,136,126,126,2014-02-17,-70.12003958169548,41.66686149485586,011002
M_319922_828902,319922.19400000,828901.73520000,BC,2157179,40,HILLCREST DRIVE,,,,,,,,02645,,HARWICH,HARWICH,MA,,40,40,,,,,,,,,HILLCREST,DRIVE,DR,,,101090,,136,126,126,2014-02-17,-70.05920543641689,41.70126204235258,011100
M_320039_826594,320038.77380000,826594.28940000,BC,2157200,44,ANCHORAGE COURT,,,,,,,,02646,,HARWICH,HARWICH,MA,,44,44,,,,,,,,,ANCHORAGE,COURT,CT,,,101422,,136,126,126,2014-02-17,-70.05827360553236,41.680472147062325,011200
M_320039_827355,320038.75600000,827354.96380000,BC,2162287,27,PRINCES STREET,,,,,,,,02645,,HARWICH,HARWICH,MA,,27,27,,,,,,,,,PRINCES,STREET,ST,,,101248,,136,126,126,2014-02-17,-70.05811939368095,41.68731991675618,011200
M_321643_829037,321643.03480000,829037.29700000,BC,2155845,46,RAINBOW WAY,,,,,,,,02645,,HARWICH,HARWICH,MA,,46,46,,,,,,,,,RAINBOW,WAY,WAY,,,101854,,136,126,126,2014-02-17,-70.03850666097196,41.7022188176627,011100
M_324400_831829,324399.86700000,831828.79320000,BC,2159500,25,MCGUERTY ROAD,,,,,,,,02645,,HARWICH,HARWICH,MA,,25,25,,,,,,,,,MCGUERTY,ROAD,RD,,,101360,,136,126,126,2014-02-17,-70.00480325364751,41.726918133328276,011100
M_319370_826515,319369.80060000,826515.42660000,BC,2161580,50,CORNERWOOD DRIVE,,,,,,,,02645,,HARWICH,HARWICH,MA,,50,50,,,,,,,,,CORNERWOOD,DRIVE,DR,,,100891,,136,126,126,2014-02-17,-70.0663227135754,41.679863722662276,011200
M_315102_825050,315102.02660000,825049.60520000,BC,2162960,39,WILLOW STREET,,,,,,,,02671,,HARWICH,HARWICH,MA,,39,39,,,,,,,,,WILLOW,STREET,ST,,,101794,,136,126,126,2014-02-17,-70.11785643217806,41.667302189239024,011002
M_320600_830709,320600.05980000,830708.78740000,PC,2157507,1,LONG VIEW LANE,,,,,,,,02645,,HARWICH,HARWICH,MA,,1,1,,,,,,,,,LONG VIEW,LANE,LN,,,101323,,136,126,126,2014-02-17,-70.05069397951132,41.71742613220444,011100
M_320496_825083,320496.02320000,825082.54020000,BC,2166517,29,NEEL ROAD,,,,,,,,02646,,HARWICH,HARWICH,MA,,29,29,,,,,,,,,NEEL,ROAD,RD,,,101867,,136,126,126,2014-02-17,-70.05309083311374,41.66679332799167,011200
M_320470_825643,320469.79160000,825643.00260000,BC,2166828,8,SCHOONER DRIVE,,,,,,,,02646,,HARWICH,HARWICH,MA,,8,8,,,,,,,,,SCHOONER,DRIVE,DR,,,101608,,136,126,126,2014-02-17,-70.05329162342977,41.671842742286685,011200
M_318732_828800,318731.56360000,828800.49460000,BMP,2157965,217,PLEASANT LAKE AVENUE,,,,,,,,02645,,HARWICH,HARWICH,MA,,217,217,,,,,,,,,PLEASANT LAKE,AVENUE,AVE,,,101237,,136,126,126,2014-02-17,-70.07352781930452,41.700530818010776,011100
M_320950_828307,320950.00980000,828307.31220000,BC,2166769,9,GLENWOOD DRIVE,,,,,,,,02645,,HARWICH,HARWICH,MA,,9,9,,,,,,,,,GLENWOOD,DRIVE,DR,,,101021,,136,126,126,2014-02-17,-70.04698085977329,41.69575394534157,011100
