ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_109895_903974,109895.22340000,903973.73840000,BMP,252305,2,KING STREET,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,2,2,,,,,,,,,KING,STREET,ST,,,12823,,137,127,127,2013-12-07,-72.59417062617807,42.381068511397174,821500
M_109695_904029,109695.07880000,904029.36720000,BMP,252353,11,KING STREET,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,11,11,,,,,,,,,KING,STREET,ST,,,12823,,137,127,127,2013-12-07,-72.59660946179048,42.38154614255939,821500
M_108929_906031,108929.46820000,906030.90520000,BMP,252783,62,CRONIN HILL ROAD,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,62,62,,,,,,,,,CRONIN HILL,ROAD,RD,,,12804,,137,127,127,2013-12-07,-72.60622075054302,42.39947492576546,821500
M_106713_904042,106712.60620000,904041.93900000,BMP,252688,108,WEST STREET,,,,,,,,01088,,HATFIELD,HATFIELD,MA,,108,108,,,,,,,,,WEST,STREET,ST,,,12883,,137,127,127,2013-12-07,-72.6328246788674,42.38130842055977,821500
M_105176_903816,105175.91120000,903815.68800000,BC,252563,27,OLD STAGE ROAD,,,,,,,,01088,,HATFIELD,HATFIELD,MA,,27,27,,,,,,,,,OLD STAGE,ROAD,RD,,,12848,,137,127,127,2013-12-07,-72.65144602145389,42.379086482416696,821500
M_104125_904016,104124.66540000,904016.41840000,BMP,252978,151,OLD STAGE ROAD,,,,,,,,01088,,HATFIELD,HATFIELD,MA,,151,151,,,,,,,,,OLD STAGE,ROAD,RD,,,12848,,137,127,127,2013-12-07,-72.6642429584099,42.38076497419859,821500
M_109895_903974,109895.22340000,903973.73840000,BMP,253979,2,KING STREET,,,,,A,,,01038,,HATFIELD,HATFIELD,MA,,2,2,,,,,,,,,KING,STREET,ST,,,12823,,137,127,127,2013-12-07,-72.59417062617807,42.381068511397174,821500
M_109305_902286,109305.17660000,902285.99260000,BC,252877,11,MAPLE STREET,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,11,11,,,,,,,,,MAPLE,STREET,ST,,,12832,,137,127,127,2013-12-07,-72.60107040716494,42.36580705163905,821500
M_107602_902942,107602.26220000,902941.84020000,BMP,252452,74,BRIDGE STREET,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,74,74,,,,,,,,,BRIDGE,STREET,ST,,,12794,,137,127,127,2013-12-07,-72.62184680447209,42.37151122649402,821500
M_107419_906194,107418.85120000,906193.88080000,BMP,253191,206,PLAIN ROAD,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,206,206,,,,,,,,,PLAIN,ROAD,RD,,,12852,,137,127,127,2013-12-07,-72.62459398987856,42.400764184760284,821500
M_109725_903430,109725.32540000,903429.69220000,BMP,253217,83,MAIN STREET,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,83,83,,,,,,,,,MAIN,STREET,ST,,,12831,,137,127,127,2013-12-07,-72.59614862754631,42.37615136799798,821500
M_106478_903119,106478.18920000,903118.95940000,BMP,253269,33,WEST STREET,,,,,,,,01088,,HATFIELD,HATFIELD,MA,,33,33,,,,,,,,,WEST,STREET,ST,,,12883,,137,127,127,2013-12-07,-72.63552175725391,42.3729717417972,821500
M_106478_903119,106478.18920000,903118.95940000,BMP,253526,33,WEST STREET,,,,,2,,,01088,,HATFIELD,HATFIELD,MA,,33,33,,,,,,,,,WEST,STREET,ST,,,12883,,137,127,127,2013-12-07,-72.63552175725391,42.3729717417972,821500
M_109519_904078,109518.70920000,904077.57340000,PC,252854,21,KING STREET,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,21,21,,,,,,,,,KING,STREET,ST,,,12823,,137,127,127,2013-12-07,-72.59875849340786,42.381959661284455,821500
M_108739_902822,108738.90480000,902822.13120000,BC,253472,7,PROSPECT COURT,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,7,7,,,,,,,,,PROSPECT,COURT,CT,,,12857,,137,127,127,2013-12-07,-72.60802894481577,42.37056736188006,821500
M_107652_902993,107652.00740000,902992.72020000,BC,253156,13,PLANTATION ROAD,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,13,13,,,,,,,,,PLANTATION,ROAD,RD,,,12853,,137,127,127,2013-12-07,-72.62125101313002,42.37197513574701,821500
M_108633_902243,108632.59240000,902243.39600000,BC,252129,21,ELM STREET,,,,,,,,01038,,HATFIELD,HATFIELD,MA,,21,21,,,,,,,,,ELM,STREET,ST,,,12811,,137,127,127,2013-12-07,-72.60922819884672,42.36534514457673,821500
