ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_93984_936879,93984.09760000,936878.92120000,PC,254607,5,TEEPEE LANE,,,,,,,,01340,,HEATH,HEATH,MA,,5,5,,,,,,,,,TEEPEE,LANE,LN,,,13025,,140,130,130,2013-12-07,-72.79341583899,42.675260486066385,040100
M_90232_933357,90231.85780000,933356.61160000,BMP,255011,48,TOWN FARM ROAD,,,,,,,,01346,,HEATH,HEATH,MA,,48,48,,,,,,,,,TOWN FARM,ROAD,RD,,,13027,,140,130,130,2013-12-07,-72.83851224763872,42.64303511357614,040100
M_93985_936350,93984.94360000,936349.84880000,BC,254744,12,DEER RUN PATH,,,,,,,,01340,,HEATH,HEATH,MA,,12,12,,,,,,,,,DEER RUN,PATH,PATH,,,12968,,140,130,130,2013-12-07,-72.7933076553955,42.67049842952625,040100
M_89802_937632,89801.72620000,937631.64640000,BC,254754,139,ROUTE 8A SOUTH,,,,,,,,01339,,HEATH,HEATH,MA,,139,139,,,,,,,,ROUTE,8A,,,,SOUTH,13019,,140,130,130,2013-12-07,-72.84457809201174,42.68145352754765,040100
M_93886_936239,93886.07020000,936238.92780000,BMP,255077,10,SHAWNEE DRIVE,,,,,,,,01340,,HEATH,HEATH,MA,,10,10,,,,,,,,,SHAWNEE,DRIVE,DR,,,13008,,140,130,130,2013-12-07,-72.79449312027079,42.66948652930898,040100
M_89700_934000,89700.36500000,934000.22600000,BMP,254566,250,SOUTH ROAD,,,,,,,,01346,,HEATH,HEATH,MA,,250,250,,,,,,,,,SOUTH,ROAD,RD,,,13011,,140,130,130,2013-12-07,-72.84511595289024,42.648753010770484,040100
M_93516_937130,93516.06260000,937129.60220000,PC,255138,6,PAPOOSE LAKE DRIVE,,,,,,,,01340,,HEATH,HEATH,MA,,6,6,,,,,,,,,PAPOOSE LAKE,DRIVE,DR,,,13001,,140,130,130,2013-12-07,-72.79917166051717,42.677452829109846,040100
M_93687_937307,93686.89480000,937307.16520000,PC,254478,5,SIOUX CIRCLE,,,,,,,,01340,,HEATH,HEATH,MA,,5,5,,,,,,,,,SIOUX,CIRCLE,CIR,,,13010,,140,130,130,2013-12-07,-72.79712066299759,42.679074470484494,040100
M_92123_936088,92123.48300000,936088.06300000,BC,254417,36,AVERY BROOK ROAD,,,,,,,,01346,,HEATH,HEATH,MA,,36,36,,,,,,,,,AVERY BROOK,ROAD,RD,,,7557,,140,130,130,2013-12-07,-72.81596329974857,42.66788580817464,040100
M_94112_936569,94112.40480000,936568.63000000,PC,254668,24,NAVAHO LANE,,,,,,,,01340,,HEATH,HEATH,MA,,24,24,,,,,,,,,NAVAHO,LANE,LN,,,12997,,140,130,130,2017-06-06,-72.79179337611421,42.67248506350695,040100
M_93569_936519,93568.51720000,936518.76700000,PC,254770,19,FLAGG HILL ROAD,,,,,,,,01340,,HEATH,HEATH,MA,,19,19,,,,,,,,,FLAGG HILL,ROAD,RD,,,12973,,140,130,130,2013-12-07,-72.7984183419063,42.67196190982783,040100
M_93997_936283,93996.63620000,936282.81940000,BC,254883,21,SHAWNEE DRIVE,,,,,,,,01340,,HEATH,HEATH,MA,,21,21,,,,,,,,,SHAWNEE,DRIVE,DR,,,13008,,140,130,130,2013-12-07,-72.79315263975238,42.6698966942761,040100
M_91577_940533,91577.22880000,940533.01600000,PC,254510,28,BRUNELLE ROAD,,,,,,,,01340,,HEATH,HEATH,MA,,28,28,,,,,,,,,BRUNELLE,ROAD,RD,,,12955,,140,130,130,2013-12-07,-72.82346714211174,42.707818295395775,040100
M_90039_936590,90039.46000000,936590.48720000,BC,254588,76,DELL ROAD,,,,,,,,01339,,HEATH,HEATH,MA,,76,76,,,,,,,,,DELL,ROAD,RD,,,12969,,140,130,130,2013-12-07,-72.84147809731249,42.67211586192218,040100
M_93848_937407,93848.47900000,937406.55440000,BC,254743,12,CHIPPEWA DRIVE,,,,,,,,01340,,HEATH,HEATH,MA,,12,12,,,,,,,,,CHIPPEWA,DRIVE,DR,,,12962,,140,130,130,2013-12-07,-72.79516789765307,42.67999117142093,040100
M_89997_940084,89996.70080000,940084.30960000,BC,254775,20,NUMBER NINE ROAD,,,,,,,,01339,,HEATH,HEATH,MA,,20,20,,,,,,,,,NUMBER NINE,ROAD,RD,,,13000,,140,130,130,2013-12-07,-72.84267054938802,42.703557214975405,040100
M_91466_938186,91466.38340000,938185.81360000,BMP,254924,76,BRANCH HILL ROAD,,,,,,,,01340,,HEATH,HEATH,MA,,76,76,,,,,,,,,BRANCH HILL,ROAD,RD,,,12950,,140,130,130,2013-12-07,-72.82437513735262,42.68667596035652,040100
M_90767_936857,90767.18980000,936856.95380000,PC,254824,6,LONG HILL ROAD,,,,,,,,01346,,HEATH,HEATH,MA,,6,6,,,,,,,,,LONG HILL,ROAD,RD,,,12990,,140,130,130,2013-12-07,-72.83265229698681,42.67461699124595,040100
M_92259_935638,92258.69680000,935637.55940000,BC,255023,63,AVERY BROOK ROAD,,,,,,,,01346,,HEATH,HEATH,MA,,63,63,,,,,,,,,AVERY BROOK,ROAD,RD,,,7557,,140,130,130,2013-12-07,-72.81422944705409,42.66384960547907,040100
M_94142_936518,94142.20620000,936518.06920000,PC,255004,25,CHEYENNE STREET,,,,,,,,01340,,HEATH,HEATH,MA,,25,25,,,,,,,,,CHEYENNE,STREET,ST,,,12960,,140,130,130,2013-12-07,-72.79142052623529,42.67203402854516,040100
M_92372_934047,92372.37440000,934047.21660000,BC,255066,0,AVERY BROOK ROAD,,,,,,,,01346,,HEATH,HEATH,MA,,0,0,,,,,,,,,AVERY BROOK,ROAD,RD,,,7557,,140,130,130,2013-12-07,-72.81254453500539,42.64955069067006,040100
M_93282_941376,93282.23740000,941375.66720000,BMP,255135,55,A L STETSON ROAD,,,,,,,,01340,,HEATH,HEATH,MA,,55,55,,,,,,,,,A L STETSON,ROAD,RD,,,12940,,140,130,130,2013-12-07,-72.8028152392257,42.71563914221401,040100
M_92372_934047,92372.37440000,934047.21660000,BC,255163,0,AVERY BROOK ROAD,,,,,29&30,,,01346,,HEATH,HEATH,MA,,0,0,,,,,,,,,AVERY BROOK,ROAD,RD,,,7557,,140,130,130,2013-12-07,-72.81254453500539,42.64955069067006,040100
