ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_247645_889158,247644.77940000,889157.68430000,BC,3455378,15,SHIPYARD DRIVE,,,,,1C,,,02043,,HINGHAM,HINGHAM,MA,,15,15,,,,,,,,,SHIPYARD,DRIVE,DR,,,159989,,141,131,131,2017-01-20,-70.92262948844575,42.25143289013491,501102
M_247645_889158,247644.77940000,889157.68430000,BC,3455379,15,SHIPYARD DRIVE,,,,,1E,,,02043,,HINGHAM,HINGHAM,MA,,15,15,,,,,,,,,SHIPYARD,DRIVE,DR,,,159989,,141,131,131,2017-01-20,-70.92262948844575,42.25143289013491,501102
M_250860_883461,250860.47520000,883461.07440000,BC,4167064,847,MAIN STREET,,,HINGHAM FIRE DEPARTMENT STATION 3,,,,,02043,,HINGHAM,HINGHAM,MA,,847,847,,,,,,,,,MAIN,STREET,ST,,,159848,,141,131,131,2017-01-20,-70.88416066192369,42.199944909846224,501202
M_247645_889158,247644.77940000,889157.68430000,BC,3454396,15,SHIPYARD DRIVE,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,15,15,,,,,,,,,SHIPYARD,DRIVE,DR,,,159989,,141,131,131,2017-01-20,-70.92262948844575,42.25143289013491,501102
M_249815_889781,249815.06030000,889781.19540000,DBMP,3448551,16,CAUSEWAY ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,16,16,,,,,,,,,CAUSEWAY,ROAD,RD,,,160221,,141,131,131,2017-01-20,-70.89627689994563,42.25691093655229,501102
M_251919_889572,251918.56680000,889572.42780000,BC,3449160,4,PORTERS COVE ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,4,4,,,,,,,,,PORTERS COVE,ROAD,RD,,,159930,,141,131,131,2014-03-13,-70.87080346671878,42.25489458759217,501101
M_252856_888977,252855.51400000,888976.86900000,BMP,3449255,4,FOUNDRY FALLS ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,4,4,,,,,,,,,FOUNDRY FALLS,ROAD,RD,,,159741,,141,131,131,2014-03-13,-70.85950330542885,42.24947014768517,501101
M_251132_887165,251131.90460000,887164.83440000,BMP,3450233,289,MAIN STREET,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,289,289,,,,,,,,,MAIN,STREET,ST,,,159848,,141,131,131,2014-03-13,-70.88054851218358,42.233271449955886,501101
M_250299_885552,250298.78920000,885552.14680000,BC,3453428,24,TOWER BROOK ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,24,24,,,,,,,,,TOWER BROOK,ROAD,RD,,,160123,,141,131,131,2014-03-13,-70.89078071251596,42.21880677736189,501201
M_249124_888951,249123.74920000,888951.19520000,BMP,3455719,185,LINCOLN STREET,,,,,B-1,,,02043,,HINGHAM,HINGHAM,MA,,185,185,,,,,,,,,LINCOLN,STREET,ST,,,159839,,141,131,131,2014-03-13,-70.90472502480617,42.249482388210495,501102
M_249122_884359,249121.80700000,884359.23040000,BC,3447698,142,WARD STREET,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,142,142,,,,,,,,,WARD,STREET,ST,,,160058,,141,131,131,2014-03-13,-70.90513662582136,42.20814195309514,501201
M_250044_886573,250044.36580000,886572.88960000,BC,3449282,42,SMITH ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,42,42,,,,,,,,,SMITH,ROAD,RD,,,159995,,141,131,131,2014-03-13,-70.89377431850387,42.22801264388301,501102
M_250371_884347,250371.48640000,884346.51840000,BC,3448059,30,HOWLAND LANE,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,30,30,,,,,,,,,HOWLAND,LANE,LN,,,159801,,141,131,131,2014-03-13,-70.89000466224341,42.207948046568454,501201
M_252237_888372,252236.64020000,888372.17460000,BMP,3458580,70,CHIEF JUSTICE CUSHING HIGHWAY,,,,,3,,,02043,,HINGHAM,HINGHAM,MA,,70,70,,,,,,,,,CHIEF JUSTICE CUSHING,HIGHWAY,HWY,,,160233,,141,131,131,2014-03-13,-70.86705683987172,42.24406783156997,501101
M_252237_888372,252236.64020000,888372.17460000,BMP,3458581,70,CHIEF JUSTICE CUSHING HIGHWAY,,,,,4,,,02043,,HINGHAM,HINGHAM,MA,,70,70,,,,,,,,,CHIEF JUSTICE CUSHING,HIGHWAY,HWY,,,160233,,141,131,131,2014-03-13,-70.86705683987172,42.24406783156997,501101
M_249134_888498,249134.26660000,888497.56720000,BC,3454640,24,BRADLEY PARK DRIVE,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,24,24,,,,,,,,,BRADLEY PARK,DRIVE,DR,,,160189,,141,131,131,2014-03-13,-70.90463594882908,42.245397817739544,501102
M_253694_888476,253693.79880000,888475.63920000,BMP,3447033,342,EAST STREET,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,342,342,,,,,,,,,EAST,STREET,ST,,,159713,,141,131,131,2014-03-13,-70.84939179131153,42.244900590476995,501101
M_251446_887377,251446.14800000,887376.59300000,BMP,3449287,44,LEAVITT STREET,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,44,44,,,,,,,,,LEAVITT,STREET,ST,,,159829,,141,131,131,2014-03-13,-70.87672291371581,42.23515725547288,501101
M_251860_885340,251860.14840000,885340.12460000,BC,3448148,35,LAZELL STREET,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,35,35,,,,,,,,,LAZELL,STREET,ST,,,159828,,141,131,131,2014-03-13,-70.87188910256971,42.21679602647925,501201
M_249124_888951,249123.74920000,888951.19520000,BMP,3455713,185,LINCOLN STREET,,,,,110,,,02043,,HINGHAM,HINGHAM,MA,,185,185,,,,,,,,,LINCOLN,STREET,ST,,,159839,,141,131,131,2014-03-13,-70.90472502480617,42.249482388210495,501102
M_249124_888951,249123.74920000,888951.19520000,BMP,3455714,185,LINCOLN STREET,,,,,205,,,02043,,HINGHAM,HINGHAM,MA,,185,185,,,,,,,,,LINCOLN,STREET,ST,,,159839,,141,131,131,2014-03-13,-70.90472502480617,42.249482388210495,501102
M_248621_888950,248621.09120000,888949.64280000,BC,3446883,255,LINCOLN STREET,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,255,255,,,,,,,,,LINCOLN,STREET,ST,,,159839,,141,131,131,2014-03-13,-70.91081610192204,42.249499833093644,501102
M_248860_888261,248859.56700000,888260.66080000,BC,3453509,23,BAKER HILL DRIVE,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,23,23,,,,,,,,,BAKER HILL,DRIVE,DR,,,160159,,141,131,131,2014-03-13,-70.90798432365246,42.24328221545657,501102
M_250853_882589,250853.32820000,882589.45020000,BC,3453106,10,GRENADIER ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,10,10,,,,,,,,,GRENADIER,ROAD,RD,,,159761,,141,131,131,2014-03-13,-70.88432337624691,42.19209828029837,501202
M_249884_889400,249883.72700000,889399.90740000,BMP,3449307,48,OTIS HILL ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,48,48,,,,,,,,,OTIS HILL,ROAD,RD,,,159901,,141,131,131,2014-03-13,-70.89547748588554,42.25347391655497,501102
M_251699_882201,251698.59900000,882201.09300000,BMP,3452163,14,ELAINE ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,14,14,,,,,,,,,ELAINE,ROAD,RD,,,159716,,141,131,131,2014-03-13,-70.87412462357136,42.18854657556585,501202
M_251664_886484,251664.29480000,886484.06680000,BMP,3450718,9,MEADOWVIEW ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,9,9,,,,,,,,,MEADOWVIEW,ROAD,RD,,,159864,,141,131,131,2014-03-13,-70.87415946732052,42.227107659909116,501201
M_249236_887728,249236.26740000,887728.15380000,BC,3446660,16,WEST STREET,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,16,16,,,,,,,,,WEST,STREET,ST,,,160066,,141,131,131,2017-01-18,-70.90346523833207,42.2384645411921,501102
M_251420_887964,251420.03800000,887963.95280000,BC,3452732,5,ANDREWS ISLE ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,5,5,,,,,,,,,ANDREWS ISLE,ROAD,RD,,,160154,,141,131,131,2014-03-13,-70.87698725384904,42.24044683659105,501101
M_249483_890084,249483.33540000,890083.89740000,BMP,3450389,38,WHITON AVENUE,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,38,38,,,,,,,,,WHITON,AVENUE,AVE,,,160076,,141,131,131,2014-03-13,-70.9002712432919,42.25965715501034,501102
M_248895_880594,248894.50760000,880593.68760000,BC,3448986,200,RECREATION PARK DRIVE,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,200,200,,,,,,,,,RECREATION PARK,DRIVE,DR,,,159949,,141,131,131,2014-03-13,-70.90820550263442,42.17425551398697,501202
M_248895_880594,248894.50760000,880593.68760000,BC,3455845,200,RECREATION PARK DRIVE,,,,,2,,,02043,,HINGHAM,HINGHAM,MA,,200,200,,,,,,,,,RECREATION PARK,DRIVE,DR,,,159949,,141,131,131,2014-03-13,-70.90820550263442,42.17425551398697,501202
M_250642_885748,250641.70840000,885748.01620000,PC,3454746,3,TOWER BROOK ROAD,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,3,3,,,,,,,,,TOWER BROOK,ROAD,RD,,,160123,,141,131,131,2014-03-13,-70.88661035531437,42.22054802553806,501201
M_250311_880915,250311.42340000,880914.57400000,BMP,3446244,69,WHITING STREET,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,69,69,,,,,,,,,WHITING,STREET,ST,,,160075,,141,131,131,2014-03-13,-70.89102871359205,42.17705462605145,501202
M_250063_889307,250063.03700000,889307.29440000,BC,3446656,154,OTIS STREET,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,154,154,,,,,,,,,OTIS,STREET,ST,,,159902,,141,131,131,2014-03-13,-70.89331254998373,42.252628682727035,501102
M_250707_888362,250707.43560000,888361.86340000,BC,3448079,31,NORTH STREET,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,31,31,,,,,,,,,NORTH,STREET,ST,,,159883,,141,131,131,2014-03-13,-70.88558622103585,42.2440756678916,501101
M_249702_889853,249702.36500000,889853.19460000,BMP,3448762,131,DOWNER AVENUE,,,,,,,,02043,,HINGHAM,HINGHAM,MA,,131,131,,,,,,,,,DOWNER,AVENUE,AVE,,,160273,,141,131,131,2014-03-13,-70.89763647928451,42.257566300452474,501102
