ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_69387_911704,69387.17980000,911703.97780000,BC,639750,547,PERU ROAD,,,,,12,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_69387_911704,69387.17980000,911703.97780000,BC,639756,547,PERU ROAD,,,,,8,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_66203_910815,66202.97620000,910815.16040000,BC,639495,88,COMMONWEALTH AVENUE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,88,88,,,,,,,,,COMMONWEALTH,AVENUE,AVE,,,24133,,142,132,132,2013-12-09,-73.12621557288905,42.436379747466674,932300
M_65404_907971,65403.73800000,907970.89320000,BMP,638153,485,PLUNKETT RESERVOIR ROAD,,,,,,,,01223,,HINSDALE,HINSDALE,MA,,485,485,,,,,,,,,PLUNKETT RESERVOIR,ROAD,RD,,,24201,,142,132,132,2013-12-09,-73.1352647314299,42.41064093248662,932300
M_69005_907602,69004.94560000,907601.70240000,BMP,639586,650,EAST WASHINGTON ROAD,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,650,650,,,,,,,EAST,,WASHINGTON,ROAD,RD,,,24142,,142,132,132,2013-12-09,-73.09143880980422,42.40793100935989,932300
M_69387_911704,69387.17980000,911703.97780000,BC,639752,547,PERU ROAD,,,,,4,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_69387_911704,69387.17980000,911703.97780000,BC,639754,547,PERU ROAD,,,,,6,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_69994_911892,69994.30200000,911891.93220000,BC,638828,39,ASHMERE DRIVE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,39,39,,,,,,,,,ASHMERE,DRIVE,DR,,,24106,,142,132,132,2013-12-09,-73.08038763809095,42.44671332630147,932300
M_65994_911118,65993.75420000,911118.20700000,BMP,639109,67,CURTIS STREET,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,67,67,,,,,,,,,CURTIS,STREET,ST,,,24138,,142,132,132,2013-12-09,-73.12882824126262,42.43907152606535,932300
M_69387_911704,69387.17980000,911703.97780000,BC,638531,547,PERU ROAD,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_69387_911704,69387.17980000,911703.97780000,BC,639747,547,PERU ROAD,,,,,1,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_69387_911704,69387.17980000,911703.97780000,BC,639753,547,PERU ROAD,,,,,5,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_69387_911704,69387.17980000,911703.97780000,BC,639755,547,PERU ROAD,,,,,7,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_69387_911704,69387.17980000,911703.97780000,BC,639748,547,PERU ROAD,,,,,10,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_66383_909401,66382.98720000,909401.00780000,PC,638976,301,SOUTH SHORE ROAD,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,301,301,,,,,,,SOUTH,,SHORE,ROAD,RD,,,24218,,142,132,132,2013-12-09,-73.12370103113763,42.423681829520994,932300
M_69387_911704,69387.17980000,911703.97780000,BC,639749,547,PERU ROAD,,,,,11,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_69810_912099,69810.43360000,912099.36500000,BC,639589,36,COVE LANE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,36,36,,,,,,,,,COVE,LANE,LN,,,24136,,142,132,132,2013-12-09,-73.08266906724823,42.44854974884093,932300
M_66206_911362,66206.04580000,911361.64620000,BMP,638919,68,JORDAN AVENUE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,68,68,,,,,,,,,JORDAN,AVENUE,AVE,,,24161,,142,132,132,2013-12-09,-73.12630490135146,42.441299181591546,932300
M_69536_911552,69535.71260000,911551.86960000,BC,639036,22,LINDEN ROAD,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,22,22,,,,,,,,,LINDEN,ROAD,RD,,,24170,,142,132,132,2013-12-09,-73.08588425214803,42.443575783072006,932300
M_69404_913036,69404.25740000,913035.93360000,BC,639166,28,LAKEVIEW ROAD,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,28,28,,,,,,,,,LAKEVIEW,ROAD,RD,,,24166,,142,132,132,2013-12-09,-73.08781759226667,42.456911874964696,932300
M_66279_910729,66279.06200000,910728.67240000,BC,639064,125,COMMONWEALTH AVENUE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,125,125,,,,,,,,,COMMONWEALTH,AVENUE,AVE,,,24133,,142,132,132,2013-12-09,-73.12527099575497,42.435614324926846,932300
M_69387_911704,69387.17980000,911703.97780000,BC,639751,547,PERU ROAD,,,,,3,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_69387_911704,69387.17980000,911703.97780000,BC,639757,547,PERU ROAD,,,,,9,,,01235,,HINSDALE,HINSDALE,MA,,547,547,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.08772376843528,42.44492004107459,932300
M_65406_908108,65406.46660000,908108.03200000,BMP,638251,441,PLUNKETT RESERVOIR ROAD,,,,,,,,01223,,HINSDALE,HINSDALE,MA,,441,441,,,,,,,,,PLUNKETT RESERVOIR,ROAD,RD,,,24201,,142,132,132,2013-12-09,-73.13526352767369,42.411875792671815,932300
M_66256_910698,66255.51620000,910697.57720000,BC,638695,126,COMMONWEALTH AVENUE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,126,126,,,,,,,,,COMMONWEALTH,AVENUE,AVE,,,24133,,142,132,132,2014-11-07,-73.12554990506864,42.43533039823969,932300
M_65846_910029,65846.12520000,910028.98980000,BC,639553,351,LONGVIEW AVENUE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,351,351,,,,,,,,,LONGVIEW,AVENUE,AVE,,,24248,,142,132,132,2013-12-09,-73.13036918714928,42.42924211057504,932300
M_69385_913051,69384.89700000,913050.88200000,BC,638650,18,LAKEVIEW ROAD,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,18,18,,,,,,,,,LAKEVIEW,ROAD,RD,,,24166,,142,132,132,2013-12-09,-73.08805631014344,42.45704318113452,932300
M_65953_911717,65953.01960000,911716.70100000,BC,639164,270,MAIN STREET,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,270,270,,,,,,,,,MAIN,STREET,ST,,,24175,,142,132,132,2013-12-09,-73.12946219907553,42.444451546838955,932300
M_68208_911426,68208.19960000,911425.94480000,BC,639452,161,PERU ROAD,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,161,161,,,,,,,,,PERU,ROAD,RD,,,24250,,142,132,132,2013-12-09,-73.10198857592417,42.44221901145719,932300
M_65904_911011,65904.48560000,911010.93580000,BC,638938,88,CHURCH STREET,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,88,88,,,,,,,,,CHURCH,STREET,ST,,,24131,,142,132,132,2013-12-09,-73.12988811323841,42.438090630117316,932300
M_68478_906073,68478.01680000,906072.98660000,BMP,639337,256,BILODEAU BROOK ROAD,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,256,256,,,,,,,,,BILODEAU BROOK,ROAD,RD,,,24115,,142,132,132,2013-12-09,-73.09749109981925,42.394082175872605,932300
M_67760_915225,67759.64120000,915225.10020000,BC,639355,30,FOREST HILLS DRIVE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,30,30,,,,,,,,,FOREST HILLS,DRIVE,DR,,,24147,,142,132,132,2013-12-09,-73.10831037386535,42.476339126300104,932300
M_65922_910091,65921.72560000,910091.25500000,BC,638944,20,ROSE DRIVE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,20,20,,,,,,,,,ROSE,DRIVE,DR,,,24208,,142,132,132,2013-12-09,-73.12946509479563,42.42981556397973,932300
M_66005_910818,66004.66700000,910817.85220000,BC,638924,71,GOODRICH STREET,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,71,71,,,,,,,,,GOODRICH,STREET,ST,,,24153,,142,132,132,2013-12-09,-73.12862593116223,42.436369915374854,932300
M_66262_907610,66262.04100000,907609.51100000,BMP,638554,742,WASHINGTON ROAD,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,742,742,,,,,,,,,WASHINGTON,ROAD,RD,,,24237,,142,132,132,2013-12-09,-73.12475576611821,42.40753577287527,932300
M_65673_910955,65672.84100000,910955.33660000,BC,638730,49,ROBINSON ROAD,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,49,49,,,,,,,,,ROBINSON,ROAD,RD,,,24207,,142,132,132,2013-12-09,-73.13269005816709,42.437550302255715,932300
M_65863_910982,65863.02600000,910982.47440000,BMP,639342,26,LONGVIEW AVENUE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,26,26,,,,,,,,,LONGVIEW,AVENUE,AVE,,,24248,,142,132,132,2013-12-09,-73.13038530707897,42.4378273169722,932300
M_66256_910698,66255.51620000,910697.57720000,BC,638880,124,COMMONWEALTH AVENUE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,124,124,,,,,,,,,COMMONWEALTH,AVENUE,AVE,,,24133,,142,132,132,2013-12-09,-73.12554990506864,42.43533039823969,932300
M_65889_910904,65889.01980000,910903.61040000,BC,639279,48,LONGVIEW AVENUE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,48,48,,,,,,,,,LONGVIEW,AVENUE,AVE,,,24248,,142,132,132,2013-12-09,-73.1300511225797,42.43712193642561,932300
M_66256_910698,66255.51620000,910697.57720000,BC,639622,124,COMMONWEALTH AVENUE,,,,,1,,,01235,,HINSDALE,HINSDALE,MA,,124,124,,,,,,,,,COMMONWEALTH,AVENUE,AVE,,,24133,,142,132,132,2013-12-09,-73.12554990506864,42.43533039823969,932300
M_65821_910141,65821.32180000,910140.99800000,BC,638227,316,LONGVIEW AVENUE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,316,316,,,,,,,,,LONGVIEW,AVENUE,AVE,,,24248,,142,132,132,2013-12-09,-73.1306965699098,42.43024602703488,932300
M_66256_910698,66255.51620000,910697.57720000,BC,638505,124-126,COMMONWEALTH AVENUE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,124,124,,,126,126,,,,,COMMONWEALTH,AVENUE,AVE,,,24133,,142,132,132,2014-11-07,-73.12554990506864,42.43533039823969,932300
M_69750_911637,69750.22920000,911637.31000000,BC,639201,44,LAKEVIEW CIRCLE,,,,,,,,01235,,HINSDALE,HINSDALE,MA,,44,44,,,,,,,,,LAKEVIEW,CIRCLE,CIR,,,24165,,142,132,132,2013-12-09,-73.08329652937941,42.44438071145528,932300
