ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_241033_879406,241033.34380000,879405.59760000,BC,2510621,7,BRIARWOOD ROAD,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,7,7,,,,,,,,,BRIARWOOD,ROAD,RD,,,119926,,143,133,133,2014-03-02,-71.00343442934067,42.16401075148251,421200
M_242071_878252,242071.21160000,878251.73960000,BMP,2513059,5,GIOIOSO DRIVE,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,5,5,,,,,,,,,GIOIOSO,DRIVE,DR,,,119997,,143,133,133,2014-03-02,-70.99095828451554,42.15356751512626,421200
M_240860_878348,240859.81740000,878347.71300000,BMP,2514161,75,PLYMOUTH STREET,,,,,2R,,,02343,,HOLBROOK,HOLBROOK,MA,,75,75,,,,,,,,,PLYMOUTH,STREET,ST,,,120091,,143,133,133,2014-03-02,-71.00560851625958,42.15449571349629,421200
M_240774_876163,240774.09600000,876162.88440000,BC,2511973,627,SOUTH FRANKLIN STREET,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,627,627,,,,,,,SOUTH,,FRANKLIN,STREET,ST,,,120122,,143,133,133,2014-03-02,-71.00679855230005,42.13483016665422,421100
M_240457_878581,240457.03180000,878581.48900000,BMP,2511534,56,LINFIELD STREET,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,56,56,,,,,,,,,LINFIELD,STREET,ST,,,120049,,143,133,133,2014-03-02,-71.0104657592096,42.15662131127266,421200
M_240355_877310,240354.50260000,877309.94320000,PC,2511424,39,KING ROAD,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,39,39,,,,,,,,,KING,ROAD,RD,,,120033,,143,133,133,2014-03-02,-71.01179440828889,42.14517888087617,421100
M_239818_875772,239818.40680000,875771.55320000,BC,2512990,221,SOUTH STREET,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,221,221,,,,,,,,,SOUTH,STREET,ST,,,120124,,143,133,133,2014-03-02,-71.01838499996896,42.13135617045565,421100
M_241826_877718,241825.96260000,877718.14900000,BC,2508594,25,KINGSLEY STREET,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,25,25,,,,,,,,,KINGSLEY,STREET,ST,,,120034,,143,133,133,2014-03-02,-70.99396391355135,42.1487767460612,421200
M_240464_878538,240464.25780000,878538.22020000,BC,2513862,39,LINFIELD STREET,,,,,1,,,02343,,HOLBROOK,HOLBROOK,MA,,39,39,,,,,,,,,LINFIELD,STREET,ST,,,120049,,143,133,133,2014-03-02,-71.01038133109151,42.156231389423326,421200
M_239824_877180,239824.23080000,877179.91980000,BC,2512707,45,EAST SHORE ROAD,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,45,45,,,,,,,EAST,,SHORE,ROAD,RD,,,119970,,143,133,133,2014-03-02,-71.018218342204,42.14403542484192,421100
M_240860_878348,240859.81740000,878347.71300000,BMP,2510009,75,PLYMOUTH STREET,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,75,75,,,,,,,,,PLYMOUTH,STREET,ST,,,120091,,143,133,133,2014-03-02,-71.00560851625958,42.15449571349629,421200
M_239947_877394,239946.50200000,877393.84340000,BC,2508625,28,CLOVER ROAD,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,28,28,,,,,,,,,CLOVER,ROAD,RD,,,119942,,143,133,133,2014-03-02,-71.01672451032466,42.14595515319725,421100
M_242043_877903,242043.16240000,877902.59860000,BC,2510325,14,WHITE ROAD,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,14,14,,,,,,,,,WHITE,ROAD,RD,,,120170,,143,133,133,2014-03-02,-70.99132285135217,42.150425711707015,421200
M_239809_877078,239808.52080000,877077.81440000,PC,2510446,21,ELL ROAD,,,,,,,,02343,,HOLBROOK,HOLBROOK,MA,,21,21,,,,,,,,,ELL,ROAD,RD,,,119973,,143,133,133,2014-03-02,-71.01841536719799,42.14311696761729,421100
