ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_171626_899090,171625.70860000,899090.19340000,BC,1206828,787,MAIN STREET,,,,,B,,,01520,,HOLDEN,HOLDEN,MA,,787,787,,,,,,,,,MAIN,STREET,ST,,,54624,,144,134,134,2014-01-16,-71.84433555489406,42.34179045231763,728300
M_173580_898034,173579.93980000,898034.48460000,BC,1205320,22,DOYLE ROAD,,,,,,,,01520,,HOLDEN,HOLDEN,MA,,22,22,,,,,,,,,DOYLE,ROAD,RD,,,54533,,144,134,134,2014-01-16,-71.82057210916946,42.33235473327352,728200
M_170954_897847,170953.69040000,897847.19580000,BC,1199994,50,WYNDHURST DRIVE,,,,,,,,01520,,HOLDEN,HOLDEN,MA,,50,50,,,,,,,,,WYNDHURST,DRIVE,DR,,,54818,,144,134,134,2014-01-16,-71.85242839875725,42.33057533925978,728100
M_170881_902000,170881.35040000,901999.91260000,BMP,1205125,13,BULL RUN,,,,,,,,01520,,HOLDEN,HOLDEN,MA,,13,13,,,,,,,,,BULL,RUN,RUN,,,54485,,144,134,134,2014-01-16,-71.85351494169576,42.36795841867869,728300
M_174005_899524,174004.73640000,899523.55060000,BMP,1202564,21,MARK BRADFORD DRIVE,,,,,,,,01520,,HOLDEN,HOLDEN,MA,,21,21,,,,,,,,,MARK BRADFORD,DRIVE,DR,,,54628,,144,134,134,2014-01-16,-71.8154846449458,42.34577469847226,728400
M_171118_900832,171117.56700000,900831.75040000,PC,1200624,16,ROAD B,,,,,,,,,,HOLDEN,HOLDEN,MA,,16,16,,,,,,,,ROAD,B,,,,,54710,,144,134,134,2014-01-16,-71.85058889500162,42.35745058175767,728300
M_171252_899509,171252.40760000,899508.64300000,BC,1200035,40,MALDEN STREET,,,,,,,,01520,,HOLDEN,HOLDEN,MA,,40,40,,,,,,,,,MALDEN,STREET,ST,,,54625,,144,134,134,2014-01-16,-71.84888646110733,42.345543988726526,728300
M_172718_897129,172717.56640000,897128.85520000,BMP,1202846,5,OAKWOOD STREET,,,,,,,,01520,,HOLDEN,HOLDEN,MA,,5,5,,,,,,,,,OAKWOOD,STREET,ST,,,54666,,144,134,134,2014-01-16,-71.8309931127571,42.32417189831464,728200
M_168755_894126,168754.61440000,894125.98860000,BC,1204110,68,HOWARD STREET,,,,,,,,01612,,HOLDEN,HOLDEN,MA,,68,68,,,,,,,,,HOWARD,STREET,ST,,,54589,,144,134,134,2014-01-16,-71.87890959925625,42.296989218014346,728100
M_172588_907361,172587.99440000,907360.68640000,BC,1203812,390,STERLING ROAD,,,,,,,,01522,,HOLDEN,HOLDEN,MA,,390,390,,,,,,,,,STERLING,ROAD,RD,,,54754,,144,134,134,2014-01-16,-71.83304977056262,42.416281388911415,728400
M_168614_900836,168613.84020000,900836.33920000,BC,1206406,1576,MAIN STREET,,,,,2,,,01522,,HOLDEN,HOLDEN,MA,,1576,1576,,,,,,,,,MAIN,STREET,ST,,,54624,,144,134,134,2014-01-16,-71.8809801985666,42.3573952306017,728400
