ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_145371_865155,145370.91240000,865154.80500000,BMP,1084957,79,MAYBROOK ROAD,,,,,,,,01521,,HOLLAND,HOLLAND,MA,,79,79,,,,,,,,,MAYBROOK,ROAD,RD,,,48637,,145,135,135,2013-12-30,-72.15975499052503,42.0348810441476,813801
M_145332_866900,145332.04420000,866899.90280000,BC,1083271,4,OLD COUNTY ROAD,,,,,,,,01521,,HOLLAND,HOLLAND,MA,,4,4,,,,,,,,,OLD COUNTY,ROAD,RD,,,48653,,145,135,135,2013-12-30,-72.16038755254263,42.05058947487597,813801
M_143948_870194,143948.04040000,870193.92500000,BMP,1083530,57,WALES ROAD,,,,,,,,01521,,HOLLAND,HOLLAND,MA,,57,57,,,,,,,,,WALES,ROAD,RD,,,48708,,145,135,135,2013-12-30,-72.17742160956082,42.08014777260216,813801
M_145493_866981,145493.12280000,866980.85540000,BC,1083978,19,LEE AVENUE,,,,,,,,01521,,HOLLAND,HOLLAND,MA,,19,19,,,,,,,,,LEE,AVENUE,AVE,,,48619,,145,135,135,2013-12-30,-72.15844935332716,42.05132950305654,813801
M_146050_865463,146049.64840000,865463.37300000,BC,1083990,21,LAKE RIDGE DRIVE,,,,,,,,01521,,HOLLAND,HOLLAND,MA,,21,21,,,,,,,,,LAKE RIDGE,DRIVE,DR,,,48612,,145,135,135,2013-12-30,-72.15158669015138,42.03770606306008,813801
M_145052_865323,145052.32480000,865323.27780000,BC,1084946,34,MAYBROOK ROAD,,,,,,,,01521,,HOLLAND,HOLLAND,MA,,34,34,,,,,,,,,MAYBROOK,ROAD,RD,,,48637,,145,135,135,2013-12-30,-72.16361824481996,42.03637555715814,813801
M_145964_868205,145963.89000000,868205.37880000,BC,1084754,42,OVER THE TOP ROAD,,,,,,,,01521,,HOLLAND,HOLLAND,MA,,42,42,,,,,,,,,OVER THE TOP,ROAD,RD,,,48659,,145,135,135,2013-12-30,-72.15287587657947,42.06238646805913,813801
M_145440_867822,145439.95900000,867822.25280000,BMP,1083377,38,LAKE SHORE DRIVE,,,,,,,,01521,,HOLLAND,HOLLAND,MA,,38,38,,,,,,,,,LAKE SHORE,DRIVE,DR,,,48615,,145,135,135,2013-12-30,-72.1591701000958,42.058900906917266,813801
M_146439_867129,146438.64380000,867128.68160000,BC,1083400,80,VINTON ROAD,,,,,,,,01521,,HOLLAND,HOLLAND,MA,,80,80,,,,,,,,,VINTON,ROAD,RD,,,48706,,145,135,135,2013-12-30,-72.14704133900229,42.05272552879537,813801
M_145659_868371,145658.72140000,868371.09020000,BMP,1084469,33,CRAIG ROAD,,,,,,,,01521,,HOLLAND,HOLLAND,MA,,33,33,,,,,,,,,CRAIG,ROAD,RD,,,48723,,145,135,135,2013-12-30,-72.15657825546788,42.063857277242334,813801
