ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_206075_884245,206074.53380000,884244.56930000,BC,2520505,492,WASHINGTON STREET,,COLE COURT,,,40,,,01746,,HOLLISTON,HOLLISTON,MA,,492,492,,,,,,,,,WASHINGTON,STREET,ST,,,120358,19867,146,136,136,2016-03-23,-71.42643763008876,42.208628212351826,387201
M_207216_884560,207215.64380000,884560.04550000,DBMP,2514532,106,LOWLAND STREET,,,,,,,,01746,,HOLLISTON,HOLLISTON,MA,,106,106,,,,,,,,,LOWLAND,STREET,ST,,,120232,,146,136,136,2016-03-23,-71.41261492695473,42.21145876751725,387100
M_206196_884608,206195.90140000,884607.63900000,BC,2519902,403,WASHINGTON STREET,,,,,1,,,01746,,HOLLISTON,HOLLISTON,MA,,403,403,,,,,,,,,WASHINGTON,STREET,ST,,,120358,,146,136,136,2014-03-02,-71.42496400600199,42.21189599507359,387201
M_206193_887062,206192.82600000,887061.54220000,BC,2517645,28,PRAYING INDIAN WAY,,,,,,,,01746,,HOLLISTON,HOLLISTON,MA,,28,28,,,,,,,,,PRAYING INDIAN,WAY,WAY,,,120292,,146,136,136,2014-03-02,-71.42497511126953,42.23398858104147,387201
M_208547_883730,208547.29960000,883730.16520000,BC,2518332,470,FISKE STREET,,,,,,,,01746,,HOLLISTON,HOLLISTON,MA,,470,470,,,,,,,,,FISKE,STREET,ST,,,120496,,146,136,136,2014-03-02,-71.39650011570579,42.20397389730221,387100
M_204253_886798,204252.87300000,886797.99620000,BC,2518373,84,ORCHARD LANE,,,,,,,,01746,,HOLLISTON,HOLLISTON,MA,,84,84,,,,,,,,,ORCHARD,LANE,LN,,,120273,,146,136,136,2014-03-02,-71.44847918801132,42.23162882866275,387201
M_205691_883114,205690.94260000,883113.85160000,BC,2518381,859,WASHINGTON STREET,,,,,,,,01746,,HOLLISTON,HOLLISTON,MA,,859,859,,,,,,,,,WASHINGTON,STREET,ST,,,120358,,146,136,136,2014-03-02,-71.4310939644182,42.198451176536274,387201
M_206218_882955,206217.97240000,882955.04020000,BMP,2520371,92,WINTHROP STREET,,,,,2,,,01746,,HOLLISTON,HOLLISTON,MA,,92,92,,,,,,,,,WINTHROP,STREET,ST,,,120379,,146,136,136,2014-03-02,-71.42471437849281,42.19701737585528,387100
M_205853_883739,205853.38000000,883738.74160000,BMP,2518001,15,CHURCH PLACE,,,,,,,,01746,,HOLLISTON,HOLLISTON,MA,,15,15,,,,,,,,,CHURCH,PLACE,PL,,,120454,,146,136,136,2014-03-02,-71.42912088301614,42.20407590306025,387201
M_205674_885706,205674.18240000,885705.78700000,BC,2518558,16,BROOKVIEW ROAD,,,,,,,,01746,,HOLLISTON,HOLLISTON,MA,,16,16,,,,,,,,,BROOKVIEW,ROAD,RD,,,120438,,146,136,136,2014-03-02,-71.43127160971136,42.22178662300193,387201
M_202263_881903,202262.64100000,881903.37940000,BMP,2514564,577,GORWIN DRIVE,,,,,,,,01746,,HOLLISTON,HOLLISTON,MA,,577,577,,,,,,,,,GORWIN,DRIVE,DR,,,120505,,146,136,136,2014-03-02,-71.47260860363541,42.187570622722184,387202
