ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_196054_875070,196054.18080000,875070.43080000,BC,1975004,38,HAMMOND ROAD,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,38,38,,,,,,,,,HAMMOND,ROAD,RD,,,94084,,148,138,138,2014-02-11,-71.54772156752796,42.126046001941276,745100
M_198836_873577,198835.59880000,873577.23780000,BMP,1973953,46,PLAIN STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,46,46,,,,,,,,,PLAIN,STREET,ST,,,94139,,148,138,138,2014-02-11,-71.51407953348286,42.11261157819511,745100
M_197299_875142,197299.40100000,875142.02920000,PC,1975260,19,VILLAGE WAY,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,19,19,,,,,,,,,VILLAGE,WAY,WAY,,,94170,,148,138,138,2014-02-11,-71.53266194585517,42.12669589762503,745100
M_196184_875795,196183.62560000,875795.47220000,BC,1974008,98,FREEDOM STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,98,98,,,,,,,,,FREEDOM,STREET,ST,,,94184,,148,138,138,2014-02-11,-71.54616078072443,42.13257431599044,745100
M_197452_874688,197451.50600000,874687.91040000,PC,1973969,8,BOYD ROAD,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,8,8,,,,,,,,,BOYD,ROAD,RD,,,94036,,148,138,138,2014-02-11,-71.53082035283052,42.122607894163416,745100
M_197007_875443,197006.65860000,875443.04060000,BMP,1974645,37,ADIN STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,37,37,,,,,,,,,ADIN,STREET,ST,,,94026,,148,138,138,2014-02-11,-71.53620401499242,42.12940489188731,745100
M_199612_872568,199612.21040000,872567.55820000,PC,1974651,399,SOUTH MAIN STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,399,399,,,,,,,SOUTH,,MAIN,STREET,ST,,,94152,,148,138,138,2014-02-11,-71.50468834566713,42.103521997665624,745100
M_195719_877295,195719.49160000,877295.01820000,BMP,1974842,221,DUTCHER STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,221,221,,,,,,,,,DUTCHER,STREET,ST,,,94067,,148,138,138,2014-02-11,-71.5517857027529,42.146072566737715,745100
M_196939_875235,196938.65360000,875234.79020000,BC,1974401,109,HOPEDALE STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,109,109,,,,,,,,,HOPEDALE,STREET,ST,,,94097,,148,138,138,2014-02-11,-71.53702543181292,42.127529714467286,745100
M_195317_875775,195317.26400000,875774.86720000,BMP,1975427,8,WHITNEY ROAD,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,8,8,,,,,,,,,WHITNEY,ROAD,RD,,,94177,,148,138,138,2014-02-11,-71.55663964925053,42.13238410536345,745100
M_196233_876324,196233.46840000,876323.75440000,BC,1973024,108,DUTCHER STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,108,108,,,,,,,,,DUTCHER,STREET,ST,,,94067,,148,138,138,2014-02-11,-71.54556132270132,42.137330768858426,745100
M_196186_875560,196185.58540000,875559.92280000,BC,1976211,20,BANCROFT PARK,,,,,1,,,01747,,HOPEDALE,HOPEDALE,MA,,20,20,,,,,,,,,BANCROFT,PARK,PARK,,,94032,,148,138,138,2014-02-11,-71.54613553502901,42.13045363439815,745100
M_197149_873634,197149.14380000,873633.96460000,BMP,1974793,129,MILL STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,129,129,,,,,,,,,MILL,STREET,ST,,,94188,,148,138,138,2014-02-11,-71.53447183521133,42.11311797938144,745100
M_196186_875560,196185.58540000,875559.92280000,BC,1973501,20,BANCROFT PARK,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,20,20,,,,,,,,,BANCROFT,PARK,PARK,,,94032,,148,138,138,2014-02-11,-71.54613553502901,42.13045363439815,745100
M_196613_875735,196612.57300000,875735.43160000,BC,1973368,10,UNION STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,10,10,,,,,,,,,UNION,STREET,ST,,,94167,,148,138,138,2014-02-11,-71.54097211921874,42.13203573288441,745100
M_196353_876594,196352.51960000,876593.85120000,BC,1975554,14,TAMMIE ROAD,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,14,14,,,,,,,,,TAMMIE,ROAD,RD,,,94160,,148,138,138,2014-02-11,-71.5441229268619,42.13976305694859,745100
M_196183_875847,196183.15120000,875846.52100000,BC,1973839,2,SOWARD STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,2,2,,,,,,,,,SOWARD,STREET,ST,,,94154,,148,138,138,2014-02-11,-71.54616685300884,42.13303391457897,745100
M_198900_874565,198900.30480000,874564.66040000,BMP,1975288,210A,SOUTH MAIN STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,210,210,A,,,,,,SOUTH,,MAIN,STREET,ST,,,94152,,148,138,138,2014-02-11,-71.51329899266295,42.121501625260805,745100
M_198050_874248,198050.28640000,874247.59880000,BC,1974813,12,LARKIN LANE,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,12,12,,,,,,,,,LARKIN,LANE,LN,,,94108,,148,138,138,2014-02-11,-71.52357749752814,42.11864540635043,745100
M_195837_877186,195837.48440000,877185.51120000,BC,1974013,3,SANDY HILL ROAD,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,3,3,,,,,,,,,SANDY HILL,ROAD,RD,,,94148,,148,138,138,2014-02-11,-71.55035744095188,42.145087294932054,745100
M_197110_874775,197110.35160000,874775.08180000,BMP,1974519,19,NELSON STREET,,,,,,,,01747,,HOPEDALE,HOPEDALE,MA,,19,19,,,,,,,,,NELSON,STREET,ST,,,94125,,148,138,138,2014-02-11,-71.53494655387972,42.12339152999704,745100
