ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_199637_888208,199637.13850000,888208.45310000,ABC,4253807,6,ASPEN WAY,,,,,,,,01748,,HOPKINTON,HOPKINTON,MA,,6,6,,,,,,,,,ASPEN,WAY,WAY,,,192642,,149,139,139,2017-01-19,-71.50439671421057,42.244338662245575,320103
M_198325_886897,198325.88540000,886897.57450000,BC,2083639,50,WALCOTT VALLEY DRIVE,,WALCOTT VALLEY TOWNHOUSES,,,,,,01748,,HOPKINTON,HOPKINTON,MA,,50,50,,,,,,,,,WALCOTT VALLEY,DRIVE,DR,,,98323,17722,149,139,139,2016-02-25,-71.52028110697859,42.23253510560381,320103
M_198325_886897,198325.88540000,886897.57450000,BC,2084388,52,WALCOTT VALLEY DRIVE,,WALCOTT VALLEY TOWNHOUSES,,,,,,01748,,HOPKINTON,HOPKINTON,MA,,52,52,,,,,,,,,WALCOTT VALLEY,DRIVE,DR,,,98323,17722,149,139,139,2016-02-25,-71.52028110697859,42.23253510560381,320103
M_198325_886897,198325.88540000,886897.57450000,BC,2086523,54,WALCOTT VALLEY DRIVE,,WALCOTT VALLEY TOWNHOUSES,,,,,,01748,,HOPKINTON,HOPKINTON,MA,,54,54,,,,,,,,,WALCOTT VALLEY,DRIVE,DR,,,98323,17722,149,139,139,2016-02-25,-71.52028110697859,42.23253510560381,320103
M_198325_886897,198325.88540000,886897.57450000,BC,2083506,56,WALCOTT VALLEY DRIVE,,WALCOTT VALLEY TOWNHOUSES,,,,,,01748,,HOPKINTON,HOPKINTON,MA,,56,56,,,,,,,,,WALCOTT VALLEY,DRIVE,DR,,,98323,17722,149,139,139,2016-02-25,-71.52028110697859,42.23253510560381,320103
M_198325_886897,198325.88540000,886897.57450000,BC,2086535,58,WALCOTT VALLEY DRIVE,,WALCOTT VALLEY TOWNHOUSES,,,,,,01748,,HOPKINTON,HOPKINTON,MA,,58,58,,,,,,,,,WALCOTT VALLEY,DRIVE,DR,,,98323,17722,149,139,139,2016-02-25,-71.52028110697859,42.23253510560381,320103
M_198325_886897,198325.88540000,886897.57450000,BC,2087156,60,WALCOTT VALLEY DRIVE,,WALCOTT VALLEY TOWNHOUSES,,,,,,01748,,HOPKINTON,HOPKINTON,MA,,60,60,,,,,,,,,WALCOTT VALLEY,DRIVE,DR,,,98323,17722,149,139,139,2016-02-25,-71.52028110697859,42.23253510560381,320103
M_196532_884800,196532.41780000,884800.39320000,BC,2083297,24,LUMBER STREET,,,,,,,,01748,,HOPKINTON,HOPKINTON,MA,,24,24,,,,,,,,,LUMBER,STREET,ST,,,98149,,149,139,139,2014-02-13,-71.54199560767219,42.21364822134349,320104
M_193739_884611,193738.65320000,884610.77620000,BC,2085927,10,SCHOOL STREET,,,,,,,,01748,,HOPKINTON,HOPKINTON,MA,,10,10,,,,,,,,,SCHOOL,STREET,ST,,,74580,,149,139,139,2014-02-13,-71.57582860947477,42.21192371836072,320102
M_199122_886179,199121.74800000,886179.13020000,BC,2082827,9,HEARTHSTONE ROAD,,,,,,,,01748,,HOPKINTON,HOPKINTON,MA,,9,9,,,,,,,,,HEARTHSTONE,ROAD,RD,,,98094,,149,139,139,2014-02-13,-71.5106385223954,42.22606823450535,320104
