ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_157724_912166,157724.03860000,912166.18920000,BC,1082770,49,BARRE ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,49,49,,,,,,,,,BARRE,ROAD,RD,,,48365,,150,140,140,2013-12-30,-72.013991753513,42.4588785582236,706100
M_156367_911853,156367.19200000,911853.35060000,BC,1081577,23,NATTY POND DRIVE,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,23,23,,,,,,,,,NATTY POND,DRIVE,DR,,,48442,,150,140,140,2013-12-30,-72.0304642414367,42.45598747151758,706100
M_156042_917266,156041.87600000,917265.89860000,BMP,1081278,1,WOODVIEW DRIVE,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,1,1,,,,,,,,,WOODVIEW,DRIVE,DR,,,48519,,150,140,140,2013-12-30,-72.03483175374065,42.50469480592073,706100
M_161029_917963,161029.20040000,917963.31000000,BMP,1081483,125,OLD WESTMINSTER ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,125,125,,,,,,,,,OLD WESTMINSTER,ROAD,RD,,,48466,,150,140,140,2013-12-30,-71.97420024598247,42.51123867693339,706100
M_160558_914262,160557.74120000,914262.06640000,BMP,1082316,30,HEALDVILLE ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,30,30,,,,,,,,,HEALDVILLE,ROAD,RD,,,48412,,150,140,140,2013-12-30,-71.97968360963227,42.47789506882112,706100
M_157951_915748,157951.23120000,915747.91940000,BMP,1082351,60,GARDNER ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,60,60,,,,,,,,,GARDNER,ROAD,RD,,,48401,,150,140,140,2013-12-30,-72.01149074049698,42.491134914371,706100
M_157663_917098,157662.88440000,917098.06260000,BMP,1082884,8,LAUREL STREET,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,8,8,,,,,,,,,LAUREL,STREET,ST,,,48420,,150,140,140,2013-12-30,-72.01509735023947,42.50327371115154,706100
M_157741_915530,157740.86060000,915529.71660000,BC,1081157,52,GARDNER ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,52,52,,,,,,,,,GARDNER,ROAD,RD,,,48401,,150,140,140,2013-12-30,-72.0140336786139,42.48915919473084,706100
M_162687_914868,162686.77880000,914868.00560000,BC,1081947,9,CHICOPEE DRIVE,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,9,9,,,,,,,,,CHICOPEE,DRIVE,DR,,,48374,,150,140,140,2013-12-30,-71.95383067505047,42.4834548503897,706100
M_164267_913485,164267.15040000,913485.12340000,BC,1082177,86,LOMBARD ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,86,86,,,,,,,,,LOMBARD,ROAD,RD,,,48422,,150,140,140,2013-12-30,-71.93452369674596,42.47107967204289,706100
M_158009_913628,158008.60020000,913627.68120000,BMP,1082806,28,ELM STREET,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,28,28,,,,,,,,,ELM,STREET,ST,,,48394,,150,140,140,2013-12-30,-72.01063850716184,42.47205086986122,706100
M_156087_917653,156087.23200000,917652.66560000,BMP,1082344,97,NEW TEMPLETON ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,97,97,,,,,,,,,NEW TEMPLETON,ROAD,RD,,,48445,,150,140,140,2013-12-30,-72.0343094058603,42.508179150384,706100
M_161558_911803,161557.97020000,911802.94900000,BC,1082362,38,SIMOND HILL ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,38,38,,,,,,,,,SIMOND HILL,ROAD,RD,,,48492,,150,140,140,2013-12-30,-71.96735553934747,42.45580706681276,706100
M_152179_914016,152178.58480000,914016.30200000,BC,1082723,198,WILLIAMSVILLE ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,198,198,,,,,,,,,WILLIAMSVILLE,ROAD,RD,,,48516,,150,140,140,2013-12-30,-72.08156485766352,42.47521334253349,706100
M_156202_912900,156201.82340000,912900.31100000,BC,1081165,55,HALE ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,55,55,,,,,,,,,HALE,ROAD,RD,,,48408,,150,140,140,2013-12-30,-72.03255412178481,42.46540334181919,706100
M_162116_918259,162116.17940000,918259.04840000,BC,1081860,26,STREETER ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,26,26,,,,,,,,,STREETER,ROAD,RD,,,48497,,150,140,140,2013-12-30,-71.96099349632333,42.51395464931577,706100
M_158189_918034,158188.90660000,918034.46440000,BC,1081371,44,GEORDIE LANE,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,44,44,,,,,,,,,GEORDIE,LANE,LN,,,48403,,150,140,140,2013-12-30,-72.00876557252616,42.51173189661647,706100
M_160429_909843,160429.32660000,909842.65300000,BC,1082609,48,HALFREY ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,48,48,,,,,,,,,HALFREY,ROAD,RD,,,48410,,150,140,140,2013-12-30,-71.98094226002803,42.43810310243865,706100
M_154014_913773,154014.07680000,913772.55340000,BC,1081007,137,WILLIAMSVILLE ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,137,137,,,,,,,,,WILLIAMSVILLE,ROAD,RD,,,48516,,150,140,140,2013-12-30,-72.05922432645585,42.473129535902586,706100
M_153856_917412,153856.47800000,917412.11780000,BC,1081180,64,ROOT ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,64,64,,,,,,,,,ROOT,ROAD,RD,,,48485,,150,140,140,2013-12-30,-72.06143211596671,42.505884682879234,706100
M_158398_916799,158397.87580000,916799.06720000,BC,1081905,95,GARDNER ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,95,95,,,,,,,,,GARDNER,ROAD,RD,,,48401,,150,140,140,2013-12-30,-72.00613365436509,42.50062167263645,706100
M_158671_914035,158671.25020000,914035.11710000,BC,1083201,9,BRIGHAM STREET,,,,,C,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,9,9,,,,,,,,,BRIGHAM,STREET,ST,,,48371,,150,140,140,2016-07-25,-72.00260970194603,42.47575419398375,706100
M_161931_914299,161931.02980000,914299.35660000,BMP,1081711,9,BEMIS ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,9,9,,,,,,,,,BEMIS,ROAD,RD,,,48367,,150,140,140,2013-12-30,-71.96298492683613,42.4782990859703,706100
M_159202_913641,159202.11700000,913641.00340000,BMP,1081570,21,EVERGREEN ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,21,21,,,,,,,,,EVERGREEN,ROAD,RD,,,48395,,150,140,140,2013-12-30,-71.9961259611495,42.472234211763556,706100
M_159650_919750,159650.00860000,919750.44260000,BC,1081342,39,UNDERWOOD ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,39,39,,,,,,,,,UNDERWOOD,ROAD,RD,,,48504,,150,140,140,2013-12-30,-71.99110721830515,42.52725669381379,706100
M_156532_919316,156532.10480000,919316.25900000,BC,1081486,134,RAGGED HILL ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,134,134,,,,,,,,,RAGGED HILL,ROAD,RD,,,48481,,150,140,140,2013-12-30,-72.02902208933811,42.52318021592745,706100
M_159176_921082,159176.44960000,921082.11360000,BC,1081847,241,GARDNER ROAD,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,241,241,,,,,,,,,GARDNER,ROAD,RD,,,48401,,150,140,140,2013-12-30,-71.9969652955998,42.53922002589173,706100
M_158159_913560,158159.29960000,913559.93200000,BC,1082023,21,ELM STREET,,,,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,21,21,,,,,,,,,ELM,STREET,ST,,,48394,,150,140,140,2013-12-30,-72.00880104874743,42.47144907314148,706100
M_159169_919916,159168.69200000,919916.42290000,BC,1082799,26,MADISON WAY,,MADISON GREENS,4,,,,,01452,,HUBBARDSTON,HUBBARDSTON,MA,,26,26,,,,,,,,,MADISON,WAY,WAY,,,48425,20517,150,140,140,2016-07-25,-71.99697705041145,42.52872579373772,706100
