ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_196214_904747,196213.63080000,904746.54150000,BC,1971535,425,MAIN STREET,,,,,22C,,,01749,,HUDSON,HUDSON,MA,,425,425,,,,,,,,,MAIN,STREET,ST,,,93940,,151,141,141,2017-03-29,-71.54598664896275,42.3932196615512,322100
M_193047_903034,193046.99700000,903034.02050000,BC,1965227,38,DEER PATH,,,,,,,,01749,,HUDSON,HUDSON,MA,,38,38,,,,,,,,,DEER,PATH,PATH,,,93825,,151,141,141,2017-03-31,-71.58442580958689,42.3777805072026,322200
M_193047_903034,193046.99700000,903034.02050000,BC,1964333,30,DEER PATH,,,,,,,,01749,,HUDSON,HUDSON,MA,,30,30,,,,,,,,,DEER,PATH,PATH,,,93825,,151,141,141,2017-03-31,-71.58442580958689,42.3777805072026,322200
M_193047_903034,193046.99700000,903034.02050000,BC,1963424,36,DEER PATH,,,,,,,,01749,,HUDSON,HUDSON,MA,,36,36,,,,,,,,,DEER,PATH,PATH,,,93825,,151,141,141,2017-03-31,-71.58442580958689,42.3777805072026,322200
M_194227_904232,194226.99140000,904231.69110000,BC,1972164,48,WASHINGTON STREET,,,,,5,,,01749,,HUDSON,HUDSON,MA,,48,48,,,,,,,,,WASHINGTON,STREET,ST,,,93700,,151,141,141,2017-03-28,-71.5701098627593,42.388572437322075,322200
M_195343_905663,195342.65480000,905662.74720000,BC,1963647,74,BENNETT STREET,,,,,,,,01749,,HUDSON,HUDSON,MA,,74,74,,,,,,,,,BENNETT,STREET,ST,,,93767,,151,141,141,2014-02-11,-71.55657230491101,42.401463276096074,322400
M_194118_904980,194118.26780000,904979.72220000,BC,1971172,37,LINCOLN STREET,,,,,1,,,01749,,HUDSON,HUDSON,MA,,37,37,,,,,,,,,LINCOLN,STREET,ST,,,93931,,151,141,141,2014-02-11,-71.57143785606678,42.39530593503731,322300
M_196626_903570,196625.81400000,903569.81520000,BC,1968893,8,RICHARDSON ROAD,,,,,,,,01749,,HUDSON,HUDSON,MA,,8,8,,,,,,,,,RICHARDSON,ROAD,RD,,,94014,,151,141,141,2014-02-11,-71.54097368940909,42.3826278109298,322100
M_196267_904859,196266.69400000,904858.73060000,BC,1963531,433,MAIN STREET,,,,,,,,01749,,HUDSON,HUDSON,MA,,433,433,,,,,,,,,MAIN,STREET,ST,,,93940,,151,141,141,2014-02-11,-71.54534290410952,42.39422992343986,322100
M_195106_905649,195105.99380000,905648.70020000,BC,1964504,5,SANTOS DRIVE,,,,,,,,01749,,HUDSON,HUDSON,MA,,5,5,,,,,,,,,SANTOS,DRIVE,DR,,,93644,,151,141,141,2014-02-11,-71.55944688250887,42.401335366235664,322400
M_193865_905049,193864.91160000,905048.99980000,BC,1966951,42,COTTAGE STREET,,,,,,,,01749,,HUDSON,HUDSON,MA,,42,42,,,,,,,,,COTTAGE,STREET,ST,,,93814,,151,141,141,2014-02-11,-71.57451578237605,42.39592766942506,322300
M_194275_906426,194275.32580000,906426.07960000,BMP,1963893,10,ALAN ROAD,,,,,,,,01749,,HUDSON,HUDSON,MA,,10,10,,,,,,,,,ALAN,ROAD,RD,,,93749,,151,141,141,2014-02-11,-71.56954459784714,42.4083282150532,322300
M_194523_904831,194522.94520000,904831.38440000,BC,1968740,43,CHURCH STREET,,,,,,,,01749,,HUDSON,HUDSON,MA,,43,43,,,,,,,,,CHURCH,STREET,ST,,,93806,,151,141,141,2014-02-11,-71.5665213557675,42.393973439383906,322300
M_193826_904511,193826.08400000,904511.41940000,BMP,1968100,69,RIVER STREET,,,,,,,,01749,,HUDSON,HUDSON,MA,,69,69,,,,,,,,,RIVER,STREET,ST,,,191525,,151,141,141,2014-02-11,-71.57498163602412,42.39108768259593,322300
M_194506_905390,194506.47180000,905390.03320000,BC,1964594,65,COX STREET,,,,,,,,01749,,HUDSON,HUDSON,MA,,65,65,,,,,,,,,COX,STREET,ST,,,93816,,151,141,141,2014-02-11,-71.56672674063913,42.39900267362814,322300
M_193700_905108,193700.07680000,905107.59600000,BC,1964686,52,BLAINE STREET,,,,,,,,01749,,HUDSON,HUDSON,MA,,52,52,,,,,,,,,BLAINE,STREET,ST,,,93723,,151,141,141,2014-02-11,-71.57651847635441,42.39645387986292,322300
