ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_249736_894630,249735.95460000,894630.03870000,BC,3459240,2,SPINNAKER HILL LANE,,SPINNAKER,,,,,,02045,,HULL,HULL,MA,,2,2,,,,,,,,,SPINNAKER HILL,LANE,LN,,,160425,15791,152,142,142,2017-03-28,-70.89682001999313,42.30056871204379,500101
M_250654_894585,250653.73840000,894584.59160000,BC,3461046,4,Q STREET,,,,,,,,02045,,HULL,HULL,MA,,4,4,,,,,,,,,Q,STREET,ST,,,160333,,152,142,142,2014-03-13,-70.88569381513115,42.300100597797496,500101
M_253649_890657,253649.17000000,890657.12920000,BC,3463469,8,SHORE GARDEN ROAD,,,,,,,,02045,,HULL,HULL,MA,,8,8,,,,,,,,,SHORE GARDEN,ROAD,RD,,,160366,,152,142,142,2014-03-13,-70.8497310242292,42.26454299219754,500103
M_250502_895168,250501.92860000,895167.67460000,BC,3463489,875,NANTASKET AVENUE,,,,,,,,02045,,HULL,HULL,MA,,875,875,,,,,,,,,NANTASKET,AVENUE,AVE,,,160298,,152,142,142,2014-03-13,-70.88748405491165,42.30535972486387,500101
M_253074_890437,253073.72060000,890437.23900000,PC,3463000,11,LOGAN AVENUE,,,,,,,,02045,,HULL,HULL,MA,,11,11,,,,,,,,,LOGAN,AVENUE,AVE,,,160586,,152,142,142,2014-03-13,-70.85672574515276,42.262602669149764,500103
M_254298_890927,254297.92840000,890927.01520000,BC,3461283,24,STONEY BEACH ROAD,,,,,,,,02045,,HULL,HULL,MA,,24,24,,,,,,,,,STONEY BEACH,ROAD,RD,,,160384,,152,142,142,2014-03-13,-70.84184264565874,42.26692789600694,500103
M_250881_893945,250880.60540000,893945.15940000,BC,3459732,40,CENTRAL AVENUE,,,,,,,,02045,,HULL,HULL,MA,,40,40,,,,,,,,,CENTRAL,AVENUE,AVE,,,160496,,152,142,142,2014-03-13,-70.88299866220969,42.29432925935363,500101
M_251327_892510,251326.51620000,892510.47880000,BC,3461740,180,NEWPORT ROAD,,,,,,,,02045,,HULL,HULL,MA,,180,180,,,,,,,,,NEWPORT,ROAD,RD,,,160302,,152,142,142,2014-03-13,-70.87771845909664,42.28138412129553,500104
M_251693_893162,251692.68800000,893162.00860000,BC,3464160,106,MANOMET AVENUE,,,,,1,,,02045,,HULL,HULL,MA,,106,106,,,,,,,,,MANOMET,AVENUE,AVE,,,160447,,152,142,142,2014-03-13,-70.87322111558318,42.28722550192136,500104
M_252538_891452,252538.30000000,891452.47880000,BMP,3465721,39,BAY STREET,,,,,5,,,02045,,HULL,HULL,MA,,39,39,,,,,,,,,BAY,STREET,ST,,,160434,,152,142,142,2014-03-13,-70.86312313348745,42.27177874501318,500104
M_251111_894057,251110.84620000,894056.87560000,BC,3463581,63,F STREET,,,,,,,,02045,,HULL,HULL,MA,,63,63,,,,,,,,,F,STREET,ST,,,160530,,152,142,142,2014-03-13,-70.88019691181809,42.29531997548866,500101
M_251612_892484,251611.77100000,892483.50560000,BC,3460826,8,STAFFORD ROAD,,,,,,,,02045,,HULL,HULL,MA,,8,8,,,,,,,,,STAFFORD,ROAD,RD,,,160379,,152,142,142,2014-03-13,-70.87426255900155,42.28112250211373,500104
M_248916_894899,248915.95240000,894899.41940000,BMP,3463023,117,SPRING STREET,,,,,,,,02045,,HULL,HULL,MA,,117,117,,,,,,,,,SPRING,STREET,ST,,,160376,,152,142,142,2014-03-13,-70.9067416695956,42.30304563415542,
M_250961_893344,250961.03380000,893343.86380000,BC,3463030,17,HALVORSEN AVENUE,,,,,,,,02045,,HULL,HULL,MA,,17,17,,,,,,,,,HALVORSEN,AVENUE,AVE,,,160552,,152,142,142,2014-03-13,-70.88207620767058,42.288910747130934,500104
M_251922_892235,251921.59980000,892234.69080000,BC,3463052,39,NANTASKET ROAD,,,,,,,,02045,,HULL,HULL,MA,,39,39,,,,,,,,,NANTASKET,ROAD,RD,,,160300,,152,142,142,2014-03-13,-70.87052861437935,42.27886197548359,500104
M_251668_892980,251667.57400000,892979.93720000,BC,3459774,120,SAMOSET AVENUE,,,,,,,,02045,,HULL,HULL,MA,,120,120,,,,,,,,,SAMOSET,AVENUE,AVE,,,160360,,152,142,142,2014-03-13,-70.87354182804317,42.28558803233222,500104
M_250777_894519,250777.12740000,894518.98500000,BC,3459312,23,O STREET,,,,,,,,02045,,HULL,HULL,MA,,23,23,,,,,,,,,O,STREET,ST,,,160309,,152,142,142,2014-03-13,-70.88420320382723,42.2995019534844,500101
M_251088_894373,251087.93000000,894373.14600000,BC,3460931,62,L STREET,,,,,,,,02045,,HULL,HULL,MA,,62,62,,,,,,,,,L,STREET,ST,,,160579,,152,142,142,2014-03-13,-70.88044694121598,42.298168751341905,500101
M_251079_893936,251079.24640000,893936.02960000,BMP,3460960,699,NANTASKET AVENUE,,,,,,,,02045,,HULL,HULL,MA,,699,699,,,,,,,,,NANTASKET,AVENUE,AVE,,,160298,,152,142,142,2014-03-13,-70.88059073967847,42.2942341053553,500101
