ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_86576_888043,86575.88600000,888042.85100000,BMP,640889,3,HAMBLIN COURT,,,,,B,,,01050,,HUNTINGTON,HUNTINGTON,MA,,3,3,,,,,,,,,HAMBLIN,COURT,CT,,,24292,,153,143,143,2013-12-09,-72.87418419089066,42.23462183394964,822601
M_86576_888043,86575.88600000,888042.85100000,BMP,640984,1,HAMBLIN COURT,,,,,E,,,01050,,HUNTINGTON,HUNTINGTON,MA,,1,1,,,,,,,,,HAMBLIN,COURT,CT,,,24292,,153,143,143,2013-12-09,-72.87418419089066,42.23462183394964,822601
M_86595_888060,86595.39580000,888060.16580000,BMP,640282,3,MILL STREET,,,,,,,,01050,,HUNTINGTON,HUNTINGTON,MA,,3,3,,,,,,,,,MILL,STREET,ST,,,24316,,153,143,143,2013-12-09,-72.87395124056766,42.23478052853925,822601
M_89437_894136,89437.41760000,894135.99180000,BMP,639877,50,SEARLE ROAD,,,,,,,,01050,,HUNTINGTON,HUNTINGTON,MA,,50,50,,,,,,,,,SEARLE,ROAD,RD,,,24344,,153,143,143,2013-12-09,-72.8406814503968,42.28988119946819,822601
M_86576_888043,86575.88600000,888042.85100000,BMP,641055,2,HAMBLIN COURT,,,,,E,,,01050,,HUNTINGTON,HUNTINGTON,MA,,2,2,,,,,,,,,HAMBLIN,COURT,CT,,,24292,,153,143,143,2013-12-09,-72.87418419089066,42.23462183394964,822601
M_86576_888043,86575.88600000,888042.85100000,BMP,640980,1,HAMBLIN COURT,,,,,A,,,01050,,HUNTINGTON,HUNTINGTON,MA,,1,1,,,,,,,,,HAMBLIN,COURT,CT,,,24292,,153,143,143,2013-12-09,-72.87418419089066,42.23462183394964,822601
M_87715_891675,87715.48000000,891675.23020000,BMP,640254,17,LOWELL LANE,,,,,,,,01050,,HUNTINGTON,HUNTINGTON,MA,,17,17,,,,,,,,,LOWELL,LANE,LN,,,24308,,153,143,143,2013-12-09,-72.86108203257047,42.267484384416285,822601
M_86628_891103,86627.73020000,891103.18480000,BC,640365,21,GOSS HILL ROAD,,,,,,,,01050,,HUNTINGTON,HUNTINGTON,MA,,21,21,,,,,,,,,GOSS HILL,ROAD,RD,,,24289,,153,143,143,2013-12-09,-72.87415346278414,42.26217793201848,822601
M_85955_888164,85954.58700000,888164.09600000,BC,639897,7,RUSSELL ROAD,,,,,,,,01050,,HUNTINGTON,HUNTINGTON,MA,,7,7,,,,,,,,,RUSSELL,ROAD,RD,,,24341,,153,143,143,2013-12-09,-72.88173398837604,42.235622901547025,822601
M_86576_888043,86575.88600000,888042.85100000,BMP,641052,2,HAMBLIN COURT,,,,,B,,,01050,,HUNTINGTON,HUNTINGTON,MA,,2,2,,,,,,,,,HAMBLIN,COURT,CT,,,24292,,153,143,143,2013-12-09,-72.87418419089066,42.23462183394964,822601
