ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_251918_937612,251918.03700000,937611.81660000,BC,2525982,154,LINEBROOK ROAD,,,,,,,,01938,,IPSWICH,IPSWICH,MA,,154,154,,,,,,,,,LINEBROOK,ROAD,RD,,,120876,,157,144,144,2014-03-02,-70.86648593689125,42.687358361087924,223300
M_253290_938021,253289.68880000,938021.40560000,BC,2524022,4,DORNELL ROAD,,,,,,,,01938,,IPSWICH,IPSWICH,MA,,4,4,,,,,,,,,DORNELL,ROAD,RD,,,120769,,157,144,144,2014-03-02,-70.84971131029137,42.69095244349302,223300
M_254219_936848,254219.07160000,936848.33560000,BC,2527812,22,CENTRAL STREET,,,,,1,,,01938,,IPSWICH,IPSWICH,MA,,22,22,,,,,,,,,CENTRAL,STREET,ST,,,120733,,157,144,144,2015-03-25,-70.83848161429391,42.68032846724294,223200
M_254219_936848,254219.07160000,936848.33560000,BC,2527814,22,CENTRAL STREET,,,,,3,,,01938,,IPSWICH,IPSWICH,MA,,22,22,,,,,,,,,CENTRAL,STREET,ST,,,120733,,157,144,144,2015-03-25,-70.83848161429391,42.68032846724294,223200
M_254219_936848,254219.07160000,936848.33560000,BC,2527816,22,CENTRAL STREET,,,,,5,,,01938,,IPSWICH,IPSWICH,MA,,22,22,,,,,,,,,CENTRAL,STREET,ST,,,120733,,157,144,144,2015-03-25,-70.83848161429391,42.68032846724294,223200
M_253568_937164,253567.55880000,937164.29120000,BMP,2520695,10,MAPLE AVENUE,,,,,,,,01938,,IPSWICH,IPSWICH,MA,,10,10,,,,,,,,,MAPLE,AVENUE,AVE,,,120888,,157,144,144,2014-03-02,-70.84640076808967,42.683217825763926,223200
M_257401_939891,257400.77840000,939891.31620000,BC,2520793,15,CLARK ROAD,,,,,,,,01938,,IPSWICH,IPSWICH,MA,,15,15,,,,,,,,,CLARK,ROAD,RD,,,120746,,157,144,144,2014-03-02,-70.79935884356668,42.70749167876055,
M_249309_937759,249308.58660000,937759.07540000,BC,2520813,2,ASHLEY LANE,,,,,,,,01938,,IPSWICH,IPSWICH,MA,,2,2,,,,,,,,,ASHLEY,LANE,LN,,,120687,,157,144,144,2014-03-02,-70.8983132027445,42.68885402969686,223300
M_258022_938633,258021.99080000,938632.90100000,BC,2521595,20,KINGS WAY,,,,,,,,01938,,IPSWICH,IPSWICH,MA,,20,20,,,,,,,,,KINGS,WAY,WAY,,,120864,,157,144,144,2014-03-02,-70.79190410627336,42.69611771536032,
M_252945_938060,252944.72880000,938059.52860000,BC,2526923,149,HIGH STREET,,,,,1,,,01938,,IPSWICH,IPSWICH,MA,,149,149,,,,,,,,,HIGH,STREET,ST,,,120829,,157,144,144,2014-03-02,-70.8539171370743,42.69131921338086,223300
