ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_264192_860167,264191.92580000,860167.19300000,BC,3468800,5,BROOK STREET,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,5,5,,,,,,,,,BROOK,STREET,ST,,,160657,,159,145,145,2014-03-13,-70.72530764864885,41.989253619449734,509101
M_262210_856398,262209.60580000,856398.16680000,BMP,3467666,149,BISHOPS HIGHWAY,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,149,149,,,,,,,,,BISHOPS,HIGHWAY,HWY,,,160639,,159,145,145,2014-03-13,-70.74962992030254,41.95548064019251,509101
M_260031_863410,260030.69780000,863409.68800000,BC,3469469,3,SURREY LANE,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,3,3,,,,,,,,,SURREY,LANE,LN,,,161039,,159,145,145,2014-03-13,-70.77519190061315,42.01877504079999,509102
M_265693_861142,265692.65240000,861142.06080000,BC,3470322,15,SPRUCE STREET,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,15,15,,,,,,,,,SPRUCE,STREET,ST,,,161018,,159,145,145,2014-03-13,-70.7070879808198,41.99790615257344,509102
M_266209_859413,266208.65620000,859413.03300000,BMP,3471148,20,CRESCENT STREET,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,20,20,,,,,,,,,CRESCENT,STREET,ST,,,160697,,159,145,145,2014-03-13,-70.70105563683514,41.982296455718405,509101
M_261537_863095,261536.85300000,863094.74620000,BC,3472137,38,NOTTINGHAM DRIVE,,,,,BASEMENT,,,02364,,KINGSTON,KINGSTON,MA,,38,38,,,,,,,,,NOTTINGHAM,DRIVE,DR,,,160845,,159,145,145,2014-03-13,-70.75704067632836,42.01582295512698,509102
M_262773_860780,262772.93880000,860780.38340000,BMP,3469888,2,WAPPING ROAD,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,2,2,,,,,,,,,WAPPING,ROAD,RD,,,160866,,159,145,145,2014-03-13,-70.74236587769856,41.99488891101885,509101
M_263165_857718,263164.85400000,857717.84380000,BC,3468828,39,POND VIEW DRIVE,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,39,39,,,,,,,,,POND VIEW,DRIVE,DR,,,160960,,159,145,145,2014-03-13,-70.73796615184423,41.96728546219747,509101
M_262742_860924,262741.86340000,860924.22920000,BMP,3468948,11,PEMBROKE STREET,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,11,11,,,,,,,,,PEMBROKE,STREET,ST,,,160946,,159,145,145,2014-03-13,-70.74272550725009,41.99618643623362,509102
M_266202_860309,266201.84740000,860309.13280000,BC,3468432,7,BLAIR DRIVE,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,7,7,,,,,,,,,BLAIR,DRIVE,DR,,,160640,,159,145,145,2014-03-13,-70.70103650963257,41.99036456992299,509102
M_261537_863095,261536.85300000,863094.74620000,BC,3472136,38,NOTTINGHAM DRIVE,,,,,2,,,02364,,KINGSTON,KINGSTON,MA,,38,38,,,,,,,,,NOTTINGHAM,DRIVE,DR,,,160845,,159,145,145,2014-03-13,-70.75704067632836,42.01582295512698,509102
M_262299_857336,262298.51800000,857335.80620000,BC,3468431,69,WOLF POND ROAD,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,69,69,,,,,,,,,WOLF POND,ROAD,RD,,,160887,,159,145,145,2014-03-13,-70.748457872233,41.96391517833353,509101
M_262993_859613,262993.04060000,859612.71520000,BMP,3466360,149,ELM STREET,,,,,,,,02364,,KINGSTON,KINGSTON,MA,,149,149,,,,,,,,,ELM,STREET,ST,,,160721,,159,145,145,2014-03-13,-70.73983510850461,41.984358782536624,509101
