ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_184795_910290,184794.91620000,910290.27520000,BMP,1580165,15,BOLTON ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,15,15,,,,,,,,,BOLTON,ROAD,RD,,,71245,,161,147,147,2014-02-03,-71.68481615952282,42.442988904072855,713100
M_185269_917887,185268.62840000,917886.73660000,BMP,1581203,30,SPECTACLE POND AVENUE,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,30,30,,,,,,,,,SPECTACLE POND,AVENUE,AVE,,,71537,,161,147,147,2014-02-03,-71.67925229877117,42.51138520125119,713100
M_184919_910116,184919.38760000,910115.84120000,BC,1582848,77,KILBOURN ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,77,77,,,,,,,,,KILBOURN,ROAD,RD,,,71528,,161,147,147,2014-02-03,-71.68329867141132,42.44142096486302,713100
M_186454_910236,186454.07080000,910236.26600000,BC,1580823,65,OLD COMMON ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,65,65,,,,,,,,,OLD COMMON,ROAD,RD,,,71402,,161,147,147,2014-02-03,-71.66464809962746,42.442533279918315,713100
M_182739_907810,182739.41560000,907809.72660000,BC,1581971,28,HEMLOCK LANE,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,28,28,,,,,,,,,HEMLOCK,LANE,LN,,,71342,,161,147,147,2014-02-03,-71.70972631886804,42.42061470219206,713100
M_183093_914960,183092.64980000,914959.83460000,BMP,1582838,2276,NORTH MAIN STREET,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,2276,2276,,,,,,,NORTH,,MAIN,STREET,ST,,,71399,,161,147,147,2014-02-03,-71.70564378857414,42.4849916987198,713100
M_185711_911342,185711.29380000,911342.46360000,BC,1581609,620,MAIN STREET,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,620,620,,,,,,,,,MAIN,STREET,ST,,,71377,,161,147,147,2014-02-03,-71.67370376506473,42.45247864755378,713100
M_186379_912895,186379.06080000,912894.87660000,BMP,1580010,472,HARVARD ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,472,472,,,,,,,,,HARVARD,ROAD,RD,,,71340,,161,147,147,2014-02-03,-71.66562257609907,42.46646628249841,713100
M_186379_918850,186378.89820000,918849.81200000,BC,1580637,1724,SHIRLEY ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,1724,1724,,,,,,,,,SHIRLEY,ROAD,RD,,,71466,,161,147,147,2014-02-03,-71.66576527255627,42.52007542295507,713100
M_182739_915270,182739.16260000,915270.31580000,BMP,1581460,2429,NORTH MAIN STREET,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,2429,2429,,,,,,,NORTH,,MAIN,STREET,ST,,,71399,,161,147,147,2014-02-03,-71.70995252505219,42.48777904674823,713100
M_185053_918227,185052.86660000,918227.13300000,BC,1582204,204,FIRE ROAD THREE,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,204,204,,,,,,,,FIRE ROAD,THREE,,,,,71320,,161,147,147,2014-02-03,-71.68188652702477,42.514445481519736,713100
M_184242_909858,184241.71800000,909857.67720000,BMP,1582592,154,STERLING ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,154,154,,,,,,,,,STERLING,ROAD,RD,,,71487,,161,147,147,2014-02-03,-71.69152839499215,42.439083415349586,713100
M_182425_915329,182425.31280000,915328.83880000,BMP,1580016,2532,NORTH MAIN STREET,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,2532,2532,,,,,,,NORTH,,MAIN,STREET,ST,,,71399,,161,147,147,2014-02-03,-71.71377181128824,42.488298880636826,713100
M_183152_910329,183152.23640000,910329.24720000,BMP,1581118,34,WINSOR ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,34,34,,,,,,,,,WINSOR,ROAD,RD,,,71512,,161,147,147,2014-02-03,-71.70478382025631,42.443305978831205,713100
M_183390_909316,183390.10060000,909315.68280000,BC,1582704,39,CONNOR LANE,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,39,39,,,,,,,,,CONNOR,LANE,LN,,,71270,,161,147,147,2014-02-03,-71.70186344598659,42.43418637864604,713100
M_184364_918886,184364.12300000,918886.15240000,BC,1581030,210,FORT POND ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,210,210,,,,,,,,,FORT POND,ROAD,RD,,,71327,,161,147,147,2014-02-03,-71.69028547416166,42.52036471759963,713100
M_184665_909719,184664.97060000,909718.81260000,BC,1582499,57,SOUTH MAIN STREET,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,57,57,,,,,,,SOUTH,,MAIN,STREET,ST,,,71469,,161,147,147,2014-02-03,-71.68638045148285,42.43784171476495,713100
M_185747_911525,185746.74920000,911524.92300000,BC,1583288,679,MAIN STREET,,,,,2,,,01523,,LANCASTER,LANCASTER,MA,,679,679,,,,,,,,,MAIN,STREET,ST,,,71377,,161,147,147,2014-02-03,-71.67327725100667,42.4541218992491,713100
M_182275_912353,182274.95700000,912353.10400000,BC,1580180,509,HILL TOP ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,509,509,,,,,,,,,HILL TOP,ROAD,RD,,,71527,,161,147,147,2014-02-03,-71.71550922229584,42.46150640813092,713100
M_185300_909502,185300.41000000,909502.00640000,BMP,1580364,34,HIGH STREET EXTENSION,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,34,34,,,,,,,,,HIGH,STREET EXTENSION,,,,71345,,161,147,147,2014-02-03,-71.6786518870075,42.43590213640903,713100
M_186239_910285,186238.62280000,910284.73880000,BC,1582723,419,HIGH STREET EXTENSION,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,419,419,,,,,,,,,HIGH,STREET EXTENSION,,,,71345,,161,147,147,2014-02-03,-71.66726797633558,42.44296588683344,713100
M_185519_917935,185518.50360000,917934.64860000,BMP,1582313,36,VINCENT AVENUE,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,36,36,,,,,,,,,VINCENT,AVENUE,AVE,,,71498,,161,147,147,2014-02-03,-71.67621301403481,42.51182121279538,713100
M_185649_912317,185649.44460000,912317.19180000,BC,1581253,942,MAIN STREET,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,942,942,,,,,,,,,MAIN,STREET,ST,,,71377,,161,147,147,2014-02-03,-71.67447988529106,42.46125255630339,713100
M_186383_912062,186382.99340000,912061.93080000,BMP,1582354,470,NECK ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,470,470,,,,,,,,,NECK,ROAD,RD,,,71396,,161,147,147,2014-02-03,-71.6655550999825,42.45896771967561,713100
M_184506_918259,184505.83300000,918259.48940000,BMP,1582580,107,FIRE ROAD 11,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,107,107,,,,,,,,FIRE ROAD,11,,,,,71296,,161,147,147,2014-02-03,-71.68854403984857,42.51472607379039,713100
M_182474_910735,182474.36300000,910735.33160000,BC,1579945,14,NICHOLAS DRIVE,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,14,14,,,,,,,,,NICHOLAS,DRIVE,DR,,,71397,,161,147,147,2014-02-03,-71.71303563579546,42.44694683709265,713100
M_186134_910014,186133.64840000,910013.90060000,BC,1580365,34,SQUIRE SHALER LANE,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,34,34,,,,,,,,,SQUIRE SHALER,LANE,LN,,,71474,,161,147,147,2014-02-03,-71.6685374202233,42.44052578088364,713100
M_183797_909838,183796.79280000,909838.25060000,BC,1581196,298,STERLING ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,298,298,,,,,,,,,STERLING,ROAD,RD,,,71487,,161,147,147,2014-02-03,-71.6969355148889,42.43889940450117,713100
M_182240_909536,182239.87380000,909536.09320000,BC,1580607,0,STERLING STREET,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,0,0,,,,,,,,,STERLING,STREET,ST,,,71488,,161,147,147,2014-02-03,-71.71584910438862,42.43614528913242,713100
M_184109_910112,184108.66320000,910111.77380000,BC,1581770,113,SYLVAN ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,113,113,,,,,,,,,SYLVAN,ROAD,RD,,,71491,,161,147,147,2014-02-03,-71.6931525498947,42.44136824160449,713100
M_184544_917669,184543.79880000,917669.40360000,BC,1581093,143,FIRE ROAD 12,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,143,143,,,,,,,,FIRE ROAD,12,,,,,71297,,161,147,147,2014-02-03,-71.68806621430817,42.509414626435024,713100
M_186371_912990,186371.36480000,912989.77660000,BC,1581585,3,BURBANK LANE,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,3,3,,,,,,,,,BURBANK,LANE,LN,,,71519,,161,147,147,2014-02-03,-71.66571839659846,42.467320488480574,713100
M_185783_913450,185782.79580000,913450.49780000,BC,1582152,100,SHIRLEY ROAD,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,100,100,,,,,,,,,SHIRLEY,ROAD,RD,,,71466,,161,147,147,2014-02-03,-71.67288648067193,42.47145762699198,713100
M_183562_918761,183562.74800000,918761.03930000,BC,1581296,500,OLD UNION TURNPIKE,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,500,500,,,,,,,,,OLD UNION,TURNPIKE,TPKE,,,71408,,161,147,147,2014-02-03,-71.70003444086814,42.51922189255199,713100
M_185682_909847,185682.25740000,909847.32480000,BMP,1580688,198,HIGH STREET EXTENSION,,,,,,,,01523,,LANCASTER,LANCASTER,MA,,198,198,,,,,,,,,HIGH,STREET EXTENSION,,,,71345,,161,147,147,2014-02-03,-71.67401966908461,42.43901800629648,713100
M_185682_909847,185682.25740000,909847.32480000,BMP,1583015,198,HIGH STREET EXTENSION,,,,,A,,,01523,,LANCASTER,LANCASTER,MA,,198,198,,,,,,,,,HIGH,STREET EXTENSION,,,,71345,,161,147,147,2014-02-03,-71.67401966908461,42.43901800629648,713100
