ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_57124_917733,57124.35080000,917733.25580000,BMP,642900,658,SOUTH MAIN STREET,,,,,1,,,01237,,LANESBOROUGH,LANESBOROUGH,MA,,658,658,,,,,,,SOUTH,,MAIN,STREET,ST,,,24515,,162,148,148,2013-12-09,-73.23824412184841,42.497036349282226,911100
M_57309_917426,57308.60800000,917425.67120000,BMP,641558,14,IRWIN STREET,,,,,,,,01237,,LANESBOROUGH,LANESBOROUGH,MA,,14,14,,,,,,,,,IRWIN,STREET,ST,,,24455,,162,148,148,2013-12-09,-73.23592689542139,42.494301677149856,911100
M_55998_918894,55997.53040000,918894.15600000,BC,641777,16,BALANCE ROCK ROAD,,,,,,,,01201,,LANESBOROUGH,LANESBOROUGH,MA,,16,16,,,,,,,,,BALANCE ROCK,ROAD,RD,,,24409,,162,148,148,2013-12-09,-73.25223942978056,42.50727758421899,911100
M_56546_918207,56545.67540000,918206.96520000,BC,641681,62,SUNRISE STREET,,,,,,,,01201,,LANESBOROUGH,LANESBOROUGH,MA,,62,62,,,,,,,,,SUNRISE,STREET,ST,,,24373,,162,148,148,2013-12-09,-73.24540031789421,42.501193642091316,911100
M_59802_918788,59802.46040000,918788.33020000,BMP,641861,460,SUMMER STREET,,,,,,,,01237,,LANESBOROUGH,LANESBOROUGH,MA,,460,460,,,,,,,,,SUMMER,STREET,ST,,,24372,,162,148,148,2013-12-09,-73.20592734474383,42.507019416536956,911100
M_57776_926216,57776.33740000,926215.59440000,BMP,641988,155,KESSLER ROAD,,,,,,,,01237,,LANESBOROUGH,LANESBOROUGH,MA,,155,155,,,,,,,,,KESSLER,ROAD,RD,,,24460,,162,148,148,2013-12-09,-73.23240985616927,42.57350124562398,911100
M_55810_918837,55810.08020000,918836.51520000,BC,642553,29,GROVE AVENUE,,,,,,,,01201,,LANESBOROUGH,LANESBOROUGH,MA,,29,29,,,,,,,,,GROVE,AVENUE,AVE,,,24447,,162,148,148,2013-12-09,-73.25450527844238,42.506724098417116,911100
M_59030_919813,59029.54460000,919812.80700000,BC,641766,137,PROSPECT STREET,,,,,,,,01237,,LANESBOROUGH,LANESBOROUGH,MA,,137,137,,,,,,,,,PROSPECT,STREET,ST,,,24501,,162,148,148,2013-12-09,-73.2155803707892,42.516100811098546,911100
M_55597_917748,55597.47880000,917747.91700000,BC,642249,233,NARRAGANSETT AVENUE,,,,,,,,01201,,LANESBOROUGH,LANESBOROUGH,MA,,233,233,,,,,,,,,NARRAGANSETT,AVENUE,AVE,,,24475,,162,148,148,2013-12-09,-73.25681869726458,42.496886710012696,911100
M_57124_917733,57124.35080000,917733.25580000,BMP,641249,658,SOUTH MAIN STREET,,,,,,,,01237,,LANESBOROUGH,LANESBOROUGH,MA,,658,658,,,,,,,SOUTH,,MAIN,STREET,ST,,,24515,,162,148,148,2013-12-09,-73.23824412184841,42.497036349282226,911100
