ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_55586_897031,55586.26200000,897031.30000000,BMP,643074,101,CENTER STREET,,,,,,,,01238,,LEE,LEE,MA,,101,101,,,,,,,,,CENTER,STREET,ST,,,24536,,164,150,150,2013-12-09,-73.25177952659129,42.310418837166296,914100
M_56879_898979,56878.61080000,898979.16520000,BC,644659,10,STRINGER AVENUE,,,,,,,,01238,,LEE,LEE,MA,,10,10,,,,,,,,,STRINGER,AVENUE,AVE,,,24674,,164,150,150,2013-12-09,-73.23658831196298,42.32818943230049,914100
M_56413_893164,56413.28460000,893164.49820000,BMP,645068,1125,MEADOW STREET,,,,,,,,01238,,LEE,LEE,MA,,1125,1125,,,,,,,,,MEADOW,STREET,ST,,,24614,,164,150,150,2013-12-09,-73.24079315126838,42.27576608599858,914100
M_55608_896785,55608.27600000,896785.24300000,BC,645073,117,MAIN STREET,,,,,,,,01238,,LEE,LEE,MA,,117,117,,,,,,,,,MAIN,STREET,ST,,,24604,,164,150,150,2013-12-09,-73.25145128614132,42.30820815204047,914100
M_56703_895102,56703.26820000,895101.69100000,BMP,644799,25,FIRST STREET,,,,,,,,01238,,LEE,LEE,MA,,25,25,,,,,,,,,FIRST,STREET,ST,,,24566,,164,150,150,2013-12-09,-73.23775688524438,42.293256096037744,914100
M_55210_896096,55210.01240000,896096.23300000,BC,644413,233,WEST PARK STREET,,,,,,,,01238,,LEE,LEE,MA,,233,233,,,,,,,WEST,,PARK,STREET,ST,,,24702,,164,150,150,2013-12-09,-73.25610875904671,42.301932665614046,914100
M_55299_897422,55299.04780000,897422.02460000,BMP,644292,120,LAUREL STREET,,,,,,,,01238,,LEE,LEE,MA,,120,120,,,,,,,,,LAUREL,STREET,ST,,,24595,,164,150,150,2013-12-09,-73.25536005899332,42.31388258297344,914100
M_53994_895922,53994.39980000,895922.45960000,BC,643112,130,GEORGE STREET,,,,,,,,01238,,LEE,LEE,MA,,130,130,,,,,,,,,GEORGE,STREET,ST,,,24721,,164,150,150,2013-12-09,-73.2708045445716,42.30014228918273,914100
M_55603_896088,55602.90260000,896087.50600000,PC,645282,65,MARBLE STREET,,,,,,,,01238,,LEE,LEE,MA,,65,65,,,,,,,,,MARBLE,STREET,ST,,,24609,,164,150,150,2013-12-09,-73.25134269478637,42.30192683426379,914100
M_53066_894807,53065.85920000,894807.00820000,BC,644445,455,CHURCH STREET,,,,,,,,01238,,LEE,LEE,MA,,455,455,,,,,,,,,CHURCH,STREET,ST,,,24717,,164,150,150,2013-12-09,-73.2817803660229,42.2899280853295,914100
