ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_165944_885233,165943.98180000,885232.82220000,BC,1196287,7,KING STREET,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,7,7,,,,,,,,,KING,STREET,ST,,,54234,,166,151,151,2014-01-16,-71.91247182680333,42.21680774057304,735100
M_166542_889663,166541.85840000,889663.18220000,BC,1193208,2,WILLIAM CIRCLE,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,2,2,,,,,,,,,WILLIAM,CIRCLE,CIR,,,54401,,166,151,151,2014-01-16,-71.90548579680451,42.25671966398987,735200
M_166897_885697,166897.42520000,885697.41920000,BMP,1197469,4,PITCAIRN AVENUE,,,,,A,,,01524,,LEICESTER,LEICESTER,MA,,4,4,,,,,,,,,PITCAIRN,AVENUE,AVE,,,54311,,166,151,151,2014-01-16,-71.90095075409698,42.22103140780167,735100
M_165458_883581,165457.72820000,883581.00920000,BC,1194808,13-15,CHARLTON STREET,,,,,,,,01542,,LEICESTER,LEICESTER,MA,,13,13,,,15,15,,,,,CHARLTON,STREET,ST,,,54145,,166,151,151,2014-01-16,-71.91826292511212,42.20191523610151,735200
M_166070_886810,166069.92420000,886809.97920000,BMP,1194887,19,MAYFLOWER ROAD,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,19,19,,,,,,,,,MAYFLOWER,ROAD,RD,,,54271,,166,151,151,2014-01-16,-71.91103854076572,42.23101224189737,735100
M_168239_887798,168239.43620000,887797.80500000,BC,1198285,500,MAIN STREET,,,,,2,,,01611,,LEICESTER,LEICESTER,MA,,500,500,,,,,,,,,MAIN,STREET,ST,,,54258,,166,151,151,2014-01-16,-71.88481081470701,42.239996673902425,735200
M_170010_886995,170010.14760000,886995.00700000,BC,1193187,19,FOLSOM STREET,,,,,,,,01611,,LEICESTER,LEICESTER,MA,,19,19,,,,,,,,,FOLSOM,STREET,ST,,,54181,,166,151,151,2014-01-16,-71.86331572208833,42.232839056551086,735200
M_165458_883581,165457.72820000,883581.00920000,BC,1195991,13,CHARLTON STREET,,,,,,,,01542,,LEICESTER,LEICESTER,MA,,13,13,,,,,,,,,CHARLTON,STREET,ST,,,54145,,166,151,151,2014-01-16,-71.91826292511212,42.20191523610151,735200
M_166057_888222,166056.98560000,888222.27660000,BC,1195785,64,MECHANIC STREET,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,64,64,,,,,,,,,MECHANIC,STREET,ST,,,54277,,166,151,151,2014-01-16,-71.91127777508143,42.24372645831648,735100
M_167617_887576,167617.49960000,887576.05620000,ABC,1194551,97,HENSHAW STREET,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,97,97,,,,,,,,,HENSHAW,STREET,ST,,,54212,,166,151,151,2014-01-16,-71.89233373194818,42.23797478092954,735200
M_167470_883772,167470.25340000,883771.90860000,BC,1196884,878,STAFFORD STREET,,,,,,,,01542,,LEICESTER,LEICESTER,MA,,878,878,,,,,,,,,STAFFORD,STREET,ST,,,54354,,166,151,151,2014-01-16,-71.89390483975565,42.203720157840905,735200
M_167626_888593,167626.10760000,888593.37060000,BC,1196347,8,MASSASOIT DRIVE,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,8,8,,,,,,,,,MASSASOIT,DRIVE,DR,,,54268,,166,151,151,2014-01-16,-71.89228612770243,42.247133921925894,735200
M_165657_887366,165657.29200000,887366.00640000,BC,1196762,46,CRICKLEWOOD DRIVE,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,46,46,,,,,,,,,CRICKLEWOOD,DRIVE,DR,,,54156,,166,151,151,2014-01-16,-71.9160700622126,42.23600009268712,735100
M_163285_886160,163285.47260000,886159.94520000,BC,1197115,18,FAIRVIEW DRIVE,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,18,18,,,,,,,,,FAIRVIEW,DRIVE,DR,,,54176,,166,151,151,2014-01-16,-71.94472852942978,42.22503428923523,735100
M_166264_882830,166264.09700000,882830.04360000,BC,1193485,865,PLEASANT STREET,,,,,,,,01542,,LEICESTER,LEICESTER,MA,,865,865,,,,,,,,,PLEASANT,STREET,ST,,,54314,,166,151,151,2014-01-16,-71.90845543256813,42.19518950049952,735200
M_169278_887745,169277.68360000,887745.48320000,BC,1196299,72,BOYD STREET,,,,,,,,01611,,LEICESTER,LEICESTER,MA,,72,72,,,,,,,,,BOYD,STREET,ST,,,54119,,166,151,151,2014-01-16,-71.872228810947,42.23956710590102,735200
M_166228_887756,166227.68460000,887755.70020000,BC,1196210,4,UTICA STREET,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,4,4,,,,,,,,,UTICA,STREET,ST,,,54373,,166,151,151,2014-01-16,-71.90918237587464,42.239533310096334,735100
M_164355_892069,164354.72620000,892069.08380000,BMP,1192988,54,HEMLOCK STREET,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,54,54,,,,,,,,,HEMLOCK,STREET,ST,,,54424,,166,151,151,2014-01-16,-71.9321393637578,42.278282948553866,735100
M_166492_888352,166492.11960000,888351.72160000,PC,1194081,51,SOUTH MAIN STREET,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,51,51,,,,,,,SOUTH,,MAIN,STREET,ST,,,54347,,166,151,151,2014-01-16,-71.90601292712694,42.24491060623577,735100
M_166187_888711,166187.17660000,888711.49820000,BC,1193109,12,GLEASON WAY,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,12,12,,,,,,,,,GLEASON,WAY,WAY,,,54422,,166,151,151,2014-01-16,-71.90972878678525,42.248136507497556,735100
M_167480_891673,167479.78340000,891672.50440000,BMP,1197041,123,MARSHALL STREET,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,123,123,,,,,,,,,MARSHALL,STREET,ST,,,54267,,166,151,151,2014-01-16,-71.89423161283518,42.27484889728569,735200
M_168929_887302,168928.84560000,887301.58200000,BMP,1196002,136,AUBURN STREET,,,,,,,,01611,,LEICESTER,LEICESTER,MA,,136,136,,,,,,,,,AUBURN,STREET,ST,,,54105,,166,151,151,2014-01-16,-71.87643151066663,42.235556915440014,735200
M_163520_884400,163520.39880000,884400.46440000,BC,1195071,40,SALMINEN DRIVE,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,40,40,,,,,,,,,SALMINEN,DRIVE,DR,,,54333,,166,151,151,2014-01-16,-71.9417725001236,42.20920481469056,735100
M_169215_887701,169214.93000000,887701.19460000,BC,1194415,30,UPTON STREET,,,,,,,,01611,,LEICESTER,LEICESTER,MA,,30,30,,,,,,,,,UPTON,STREET,ST,,,54372,,166,151,151,2014-01-16,-71.87298677177233,42.23916591119036,735200
M_166015_883092,166014.88060000,883092.29520000,BC,1194638,819,PLEASANT STREET,,,,,,,,01542,,LEICESTER,LEICESTER,MA,,819,819,,,,,,,,,PLEASANT,STREET,ST,,,54314,,166,151,151,2014-01-16,-71.91148807639098,42.19753975978315,735200
M_165792_886910,165792.07760000,886909.85920000,BMP,1196381,53,CRESTWOOD ROAD,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,53,53,,,,,,,,,CRESTWOOD,ROAD,RD,,,54155,,166,151,151,2014-01-16,-71.91441027896855,42.231899349023365,735100
M_169215_887701,169214.93000000,887701.19460000,BC,1198138,30,UPTON STREET,,,,,2,,,01611,,LEICESTER,LEICESTER,MA,,30,30,,,,,,,,,UPTON,STREET,ST,,,54372,,166,151,151,2014-01-16,-71.87298677177233,42.23916591119036,735200
M_166304_882786,166304.35060000,882785.87860000,BC,1193487,875,PLEASANT STREET,,,,,,,,01542,,LEICESTER,LEICESTER,MA,,875,875,,,,,,,,,PLEASANT,STREET,ST,,,54314,,166,151,151,2014-01-16,-71.90796551440818,42.194793618550214,735200
M_166464_889663,166463.62820000,889662.88680000,BC,1193289,3,HYLAND AVENUE,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,3,3,,,,,,,,,HYLAND,AVENUE,AVE,,,54226,,166,151,151,2014-01-16,-71.90643385258778,42.256713652470104,735200
M_166106_888411,166105.69520000,888410.56680000,BC,1193662,14,GROVE STREET,,,,,,,,01524,,LEICESTER,LEICESTER,MA,,14,14,,,,,,,,,GROVE,STREET,ST,,,54423,,166,151,151,2014-01-16,-71.91069856904062,42.24542372765067,735100
