ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_222274_907517,222274.18680000,907516.71320000,BC,4248098,338,CONCORD AVENUE,,,,,,,,02421,,LEXINGTON,LEXINGTON,MA,,338,338,,,,,,,,,CONCORD,AVENUE,AVE,,,121521,,170,155,155,2016-11-03,-71.22936710300235,42.41784971817607,358300
M_221631_911443,221630.76240000,911442.54010000,BC,2542837,10,GREELEY VILLAGE,,,,,A,,,02421,,LEXINGTON,LEXINGTON,MA,,10,10,,,,,,,,,GREELEY,VILLAGE,VLG,,,121639,,170,155,155,2016-01-15,-71.23703765052963,42.453210401606924,358600
M_221631_911443,221630.76240000,911442.54010000,BC,2545111,9,GREELEY VILLAGE,,,,,D,,,02421,,LEXINGTON,LEXINGTON,MA,,9,9,,,,,,,,,GREELEY,VILLAGE,VLG,,,121639,,170,155,155,2016-01-15,-71.23703765052963,42.453210401606924,358600
M_222689_913651,222688.86080000,913650.82580000,BMP,2539770,1,GRAHAM ROAD,,,,,,,,02420,,LEXINGTON,LEXINGTON,MA,,1,1,,,,,,,,,GRAHAM,ROAD,RD,,,121631,,170,155,155,2014-03-02,-71.22408773468969,42.47306043793899,358700
M_220782_914791,220781.77840000,914790.73500000,BC,2540156,13,SKYVIEW ROAD,,,,,,,,02420,,LEXINGTON,LEXINGTON,MA,,13,13,,,,,,,,,SKYVIEW,ROAD,RD,,,121341,,170,155,155,2014-03-02,-71.2472379577459,42.48337565660999,358700
M_221317_910818,221316.97920000,910817.56660000,BMP,2538663,9,AUDUBON ROAD,,,,,,,,02421,,LEXINGTON,LEXINGTON,MA,,9,9,,,,,,,,,AUDUBON,ROAD,RD,,,121415,,170,155,155,2014-03-02,-71.24087532960176,42.447592693448044,358400
M_222923_913728,222922.72640000,913728.33740000,BC,2532424,8,NORTH STREET,,,,,,,,02420,,LEXINGTON,LEXINGTON,MA,,8,8,,,,,,,,,NORTH,STREET,ST,,,121188,,170,155,155,2014-03-02,-71.22124070660693,42.47375138973541,358700
M_220395_910958,220394.97340000,910957.88340000,BC,2532449,15,PAUL REVERE ROAD,,,,,,,,02421,,LEXINGTON,LEXINGTON,MA,,15,15,,,,,,,,,PAUL REVERE,ROAD,RD,,,121215,,170,155,155,2014-03-02,-71.25207801400538,42.44888057427326,358600
M_221764_909649,221763.52980000,909648.53660000,BMP,2540505,345,WALTHAM STREET,,,,,,,,02421,,LEXINGTON,LEXINGTON,MA,,345,345,,,,,,,,,WALTHAM,STREET,ST,,,121677,,170,155,155,2014-03-02,-71.23549125735038,42.43705608492319,358400
M_221958_910072,221958.11920000,910072.42940000,BC,2539036,2,BUSHNELL DRIVE,,,,,,,,02421,,LEXINGTON,LEXINGTON,MA,,2,2,,,,,,,,,BUSHNELL,DRIVE,DR,,,121761,,170,155,155,2014-03-02,-71.23311015949749,42.440866753193966,358400
M_220960_910803,220959.98040000,910803.08820000,BC,2539102,2270,MASSACHUSETTS AVENUE,,,,,,,,02421,,LEXINGTON,LEXINGTON,MA,,2270,2270,,,,,,,,,MASSACHUSETTS,AVENUE,AVE,,,121147,,170,155,155,2014-03-02,-71.24521543084795,42.447472032776176,358400
M_225440_909699,225439.90680000,909699.05240000,BMP,2541720,136,LOWELL STREET,,,,,,,,02420,,LEXINGTON,LEXINGTON,MA,,136,136,,,,,,,,,LOWELL,STREET,ST,,,121129,,170,155,155,2014-03-02,-71.19080758703694,42.437399551759356,358500
M_222334_906988,222334.42700000,906987.55630000,BC,2542542,1010,WALTHAM STREET,,BROOKHAVEN AT LEXINGTON,,,6,,,02421,,LEXINGTON,LEXINGTON,MA,,1010,1010,,,,,,,,,WALTHAM,STREET,ST,,,121677,17027,170,155,155,2016-02-09,-71.22865563822108,42.41308419603939,358300
M_221490_912101,221489.59100000,912100.69080000,BMP,2537358,186,BEDFORD STREET,,,,,,,,02420,,LEXINGTON,LEXINGTON,MA,,186,186,,,,,,,,,BEDFORD,STREET,ST,,,121434,,170,155,155,2014-03-02,-71.23872933401988,42.459139331055816,358600
