ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_110275_937234,110275.20240000,937233.60940000,BMP,656007,198,EDEN TRAIL,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,198,198,,,,,,,,,EDEN,TRAIL,TRL,,,25108,,171,156,156,2013-12-09,-72.59474034763014,42.680506036925266,040200
M_107952_939316,107952.25340000,939315.75520000,BMP,656060,24B,FRIZZELL HILL ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,24,24,B,,,,,,,,FRIZZELL HILL,ROAD,RD,,,25112,,171,156,156,2014-11-24,-72.62341419941538,42.69897597299883,040200
M_107952_939316,107952.25340000,939315.75520000,BMP,656115,24,FRIZZELL HILL ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,24,24,,,,,,,,,FRIZZELL HILL,ROAD,RD,,,25112,,171,156,156,2013-12-09,-72.62341419941538,42.69897597299883,040200
M_105288_941393,105287.59360000,941392.60740000,BMP,656101,135,GATES ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,135,135,,,,,,,,,GATES,ROAD,RD,,,25113,,171,156,156,2013-12-09,-72.65627520716755,42.717349412945545,040200
M_106049_939474,106049.28600000,939474.14840000,BC,656282,5,GEORGE LAMB ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,5,5,,,,,,,,,GEORGE LAMB,ROAD,RD,,,25114,,171,156,156,2013-12-09,-72.64666254290061,42.70017374461848,040200
M_106885_939658,106885.46700000,939657.51960000,BMP,656029,67,WEST LEYDEN ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,67,67,,,,,,,WEST,,LEYDEN,ROAD,RD,,,25146,,171,156,156,2013-12-09,-72.6364880376086,42.70192503201875,040200
M_109410_941383,109409.70040000,941382.66940000,BMP,656126,376,EAST HILL ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,376,376,,,,,,,EAST,,HILL,ROAD,RD,,,25106,,171,156,156,2013-12-09,-72.60595558460548,42.71775202029273,040200
M_106699_942526,106699.16700000,942526.49100000,BMP,656009,246,ALEXANDER ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,246,246,,,,,,,,,ALEXANDER,ROAD,RD,,,25090,,171,156,156,2013-12-09,-72.63922926939203,42.72772654340547,040200
M_109480_940609,109479.70060000,940608.99240000,PC,656025,56,EAST HILL ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,56,56,,,,,,,EAST,,HILL,ROAD,RD,,,25106,,171,156,156,2013-12-09,-72.60497874170716,42.7107962109074,040200
M_106363_937441,106362.70660000,937440.64460000,PC,656216,168,KATELY HILL ROAD,,,,,,,,01301,,LEYDEN,LEYDEN,MA,,168,168,,,,,,,,,KATELY HILL,ROAD,RD,,,25123,,171,156,156,2013-12-09,-72.64250530504121,42.68190772010692,040200
M_107425_938126,107425.43040000,938126.23800000,BMP,656080,660,GREENFIELD ROAD,,,,,,,,01301,,LEYDEN,LEYDEN,MA,,660,660,,,,,,,,,GREENFIELD,ROAD,RD,,,25118,,171,156,156,2013-12-09,-72.62965090152683,42.688206289409784,040200
M_104537_939363,104536.96700000,939362.90760000,BC,656184,581,WEST LEYDEN ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,581,581,,,,,,,WEST,,LEYDEN,ROAD,RD,,,25146,,171,156,156,2013-12-09,-72.66509947914345,42.69898797287976,040200
M_106361_942594,106360.55240000,942593.88760000,BC,656233,408,NORTH COUNTY ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,408,408,,,,,,,NORTH,,COUNTY,ROAD,RD,,,25131,,171,156,156,2013-12-09,-72.64337438455804,42.728292398948916,040200
M_107783_935973,107782.98620000,935973.33960000,BMP,656188,72,GREENFIELD ROAD,,,,,,,,01301,,LEYDEN,LEYDEN,MA,,72,72,,,,,,,,,GREENFIELD,ROAD,RD,,,25118,,171,156,156,2013-12-09,-72.62494183712158,42.668870124168876,040200
M_105849_941677,105848.65100000,941677.30940000,BMP,656000,160,ROLLING LANE,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,160,160,,,,,,,,,ROLLING,LANE,LN,,,25138,,171,156,156,2013-12-09,-72.64947333218927,42.71998029552119,040200
M_104822_940845,104822.23500000,940844.75660000,BC,656092,98,BELL ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,98,98,,,,,,,,,BELL,ROAD,RD,,,25092,,171,156,156,2013-12-09,-72.6618646327533,42.712361249428426,040200
M_108155_937345,108155.18780000,937344.86920000,BMP,655994,106,WILSON ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,106,106,,,,,,,,,WILSON,ROAD,RD,,,25149,,171,156,156,2013-12-09,-72.62062172868475,42.6812596841003,040200
M_106606_937918,106581.48230000,937911.07340000,ABC,656047,113,KATELY HILL ROAD,,,,,,,,01301,,LEYDEN,LEYDEN,MA,,113,113,,,,,,,,,KATELY HILL,ROAD,RD,,,25123,,171,156,156,2013-12-09,-72.6399129595978,42.686168483490974,040200
M_108914_942403,108913.92020000,942402.99640000,BC,656280,44,KEETS BROOK ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,44,44,,,,,,,,,KEETS BROOK,ROAD,RD,,,25124,,171,156,156,2013-12-09,-72.61216995525014,42.726878070136635,040200
M_107363_939398,107362.67060000,939398.13660000,BC,656143,834,GREENFIELD ROAD,,,,,,,,01301,,LEYDEN,LEYDEN,MA,,834,834,,,,,,,,,GREENFIELD,ROAD,RD,,,25118,,171,156,156,2013-12-09,-72.63062236108973,42.699647376189304,040200
M_106511_942708,106511.02440000,942708.28300000,BMP,656012,276,ALEXANDER ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,276,276,,,,,,,,,ALEXANDER,ROAD,RD,,,25090,,171,156,156,2013-12-09,-72.64155597505221,42.729340219366776,040200
M_108542_936249,108541.99800000,936249.34640000,BMP,655971,60,GLEN ROAD,,,,,,,,01301,,LEYDEN,LEYDEN,MA,,60,60,,,,,,,,,GLEN,ROAD,RD,,,25115,,171,156,156,2013-12-09,-72.61572786350216,42.671444272261894,040200
M_107291_939568,107291.02640000,939568.05740000,BC,656052,15,WEST LEYDEN ROAD,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,15,15,,,,,,,WEST,,LEYDEN,ROAD,RD,,,25146,,171,156,156,2013-12-09,-72.63152417326377,42.70116830630373,040200
M_110235_937136,110234.96140000,937135.63260000,BC,656109,199,EDEN TRAIL,,,,,,,,01337,,LEYDEN,LEYDEN,MA,,199,199,,,,,,,,,EDEN,TRAIL,TRL,,,25108,,171,156,156,2013-12-09,-72.59521592913858,42.67961947245275,040200
