ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_214971_905117,214970.73420000,905116.55480000,BC,2547797,220,TOWER ROAD,,,,,,,,01773,,LINCOLN,LINCOLN,MA,,220,220,,,,,,,,,TOWER,ROAD,RD,,,121981,,172,157,157,2014-03-02,-71.31816638586191,42.39641631458663,360200
M_215516_906701,215516.35600000,906701.01020000,BMP,2548450,99,TOWER ROAD,,,,,,,,01773,,LINCOLN,LINCOLN,MA,,99,99,,,,,,,,,TOWER,ROAD,RD,,,121981,,172,157,157,2014-03-02,-71.31149678783844,42.41066998184528,360200
M_213465_905758,213464.86560000,905758.44340000,BC,2548412,32,LONG MEADOW ROAD,,,,,,,,01773,,LINCOLN,LINCOLN,MA,,32,32,,,,,,,,,LONG MEADOW,ROAD,RD,,,121889,,172,157,157,2014-03-02,-71.33644157588674,42.40222248225916,360200
M_216785_910607,216784.87080000,910606.95760000,BC,2545644,8,BEDFORD LANE,,,,,,,,01773,,LINCOLN,LINCOLN,MA,,8,8,,,,,,,,,BEDFORD,LANE,LN,,,121802,,172,157,157,2014-03-02,-71.29597256172697,42.44580744486962,360200
M_213655_906951,213655.48780000,906950.63180000,BC,2547146,35,HILLSIDE ROAD,,,,,,,,01773,,LINCOLN,LINCOLN,MA,,35,35,,,,,,,,,HILLSIDE,ROAD,RD,,,121870,,172,157,157,2014-03-02,-71.33409791703446,42.41295204298499,360200
M_215296_906031,215295.97740000,906031.31300000,BC,2546653,151,TOWER ROAD,,,,,,,,01773,,LINCOLN,LINCOLN,MA,,151,151,,,,,,,,,TOWER,ROAD,RD,,,121981,,172,157,157,2014-03-02,-71.31419181117938,42.40464527768246,360200
M_213436_906389,213435.68720000,906389.21260000,BC,2548245,227,LINCOLN ROAD,,,,,,,,01773,,LINCOLN,LINCOLN,MA,,227,227,,,,,,,,,LINCOLN,ROAD,RD,,,121887,,172,157,157,2014-03-02,-71.33678134494815,42.40790159400604,360200
M_216006_908408,216005.58700000,908408.41680000,BMP,2545545,8,SANDY POND ROAD,,,,,,,,01773,,LINCOLN,LINCOLN,MA,,8,8,,,,,,,,,SANDY POND,ROAD,RD,,,121954,,172,157,157,2014-03-02,-71.30550600026325,42.42603125664685,360200
M_215822_908144,215821.74860000,908143.96100000,BMP,2545842,26,LINCOLN ROAD,,,,,,,,01773,,LINCOLN,LINCOLN,MA,,26,26,,,,,,,,,LINCOLN,ROAD,RD,,,121887,,172,157,157,2014-03-02,-71.30774717240577,42.42365421283515,360200
M_216832_908684,216832.11300000,908684.17080000,BMP,2545443,27,LEXINGTON ROAD,,,,,,,,01773,,LINCOLN,LINCOLN,MA,,27,27,,,,,,,,,LEXINGTON,ROAD,RD,,,111332,,172,157,157,2014-03-02,-71.29545436263162,42.42849635874671,360200
