ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_111437_868793,111437.02460000,868793.21880000,BC,656869,74,ETON ROAD,,,,,,,,01106,,LONGMEADOW,LONGMEADOW,MA,,74,74,,,,,,,,,ETON,ROAD,RD,,,25278,,174,159,159,2013-12-10,-72.57009073636257,42.064539128592514,813303
M_111053_869226,111052.61920000,869225.61020000,BMP,659110,76,ROSELAND TERRACE,,,,,,,,01106,,LONGMEADOW,LONGMEADOW,MA,,76,76,,,,,,,,,ROSELAND,TERRACE,TER,,,25410,,174,159,159,2013-12-10,-72.57480077780556,42.0683882374247,813301
M_113372_865401,113371.52380000,865400.98360000,BC,657783,23,METACOMET ROAD,,,,,,,,01106,,LONGMEADOW,LONGMEADOW,MA,,23,23,,,,,,,,,METACOMET,ROAD,RD,,,25365,,174,159,159,2013-12-10,-72.54621617805076,42.03421631316198,813303
M_110176_867923,110175.59200000,867922.75080000,BC,662068,85,ARLINGTON ROAD,,,,,,,,01106,,LONGMEADOW,LONGMEADOW,MA,,85,85,,,,,,,,,ARLINGTON,ROAD,RD,,,25181,,174,159,159,2013-12-10,-72.58519696293702,42.05655921996473,813301
M_112437_867372,112436.77100000,867372.34800000,BC,656630,24,CARAVELLE DRIVE,,,,,,,,01106,,LONGMEADOW,LONGMEADOW,MA,,24,24,,,,,,,,,CARAVELLE,DRIVE,DR,,,25218,,174,159,159,2013-12-10,-72.5577993238224,42.0518599188925,813304
M_111460_867972,111460.47520000,867972.28480000,BC,659528,291,BLISS ROAD,,,,,,,,01106,,LONGMEADOW,LONGMEADOW,MA,,291,291,,,,,,,,,BLISS,ROAD,RD,,,25201,,174,159,159,2013-12-10,-72.56968302813176,42.05715127451097,813304
M_110276_864824,110276.41480000,864824.15940000,BC,659770,54,HOMESTEAD BOULEVARD,,,,,,,,01106,,LONGMEADOW,LONGMEADOW,MA,,54,54,,,,,,,,,HOMESTEAD,BOULEVARD,BLVD,,,25164,,174,159,159,2013-12-10,-72.5835035153032,42.02867551857008,813301
M_110072_867652,110071.79880000,867652.24360000,BC,657734,99,WHEELMEADOW DRIVE,,,,,,,,01106,,LONGMEADOW,LONGMEADOW,MA,,99,99,,,,,,,,,WHEELMEADOW,DRIVE,DR,,,25465,,174,159,159,2013-12-10,-72.58640916265284,42.05411207297156,813301
M_111837_868886,111837.43660000,868886.49120000,BC,657430,371,CONVERSE STREET,,,,,,,,01106,,LONGMEADOW,LONGMEADOW,MA,,371,371,,,,,,,,,CONVERSE,STREET,ST,,,25240,,174,159,159,2013-12-10,-72.56526720770093,42.06542394215069,813303
M_112546_867317,112545.97480000,867316.83020000,BC,662149,118,VISCOUNT ROAD,,,,,,,,01106,,LONGMEADOW,LONGMEADOW,MA,,118,118,,,,,,,,,VISCOUNT,ROAD,RD,,,25452,,174,159,159,2013-12-10,-72.5564719260756,42.05137230048625,813304
