ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_237265_921190,237265.42860000,921189.53770000,BC,3563447,44,CENTER VILLAGE,,CENTER VILLAGE,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,44,44,,,,,,,,,CENTER,VILLAGE,VLG,,,190006,20749,179,164,164,2016-09-09,-71.04634167203164,42.54036557790562,209200
M_238358_921657,238358.40520000,921656.55000000,BC,3563348,27,CHATHAM WAY,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,27,27,,,,,,,,,CHATHAM,WAY,WAY,,,163882,,179,164,164,2014-03-14,-71.03300523312893,42.54451663307377,209200
M_237420_921026,237419.77360000,921026.34300000,BC,3561653,20,LINCOLN AVENUE,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,20,20,,,,,,,,,LINCOLN,AVENUE,AVE,,,163674,,179,164,164,2014-03-14,-71.0444733670757,42.53888905331219,209200
M_235308_920089,235308.34240000,920088.94580000,BC,3560998,23,PINE STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,23,23,,,,,,,,,PINE,STREET,ST,,,163747,,179,164,164,2014-03-14,-71.07023375430823,42.5305489943449,209200
M_239806_918773,239806.10900000,918773.47660000,BC,3564221,981,SUMMER STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,981,981,,,,,,,,,SUMMER,STREET,ST,,,163824,,179,164,164,2014-03-14,-71.01557986245646,42.51848977992173,209100
M_237933_920748,237933.08340000,920748.24040000,BC,3562756,20,WESTOVER DRIVE,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,20,20,,,,,,,,,WESTOVER,DRIVE,DR,,,163858,,179,164,164,2014-03-14,-71.03824307966602,42.53636065638015,209100
M_236005_921559,236004.98800000,921558.51740000,BC,3562965,6,HAYWOOD FARM ROAD,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,6,6,,,,,,,,,HAYWOOD FARM,ROAD,RD,,,163625,,179,164,164,2014-03-14,-71.06166254549952,42.54374655551532,209200
M_237416_922313,237416.23360000,922313.40460000,BC,3563424,40,MERROW ROAD,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,40,40,,,,,,,,,MERROW,ROAD,RD,,,163703,,179,164,164,2014-03-14,-71.04443277826158,42.550475655404405,209200
M_238062_920168,238061.94740000,920167.82300000,BMP,3564025,43,CREST ROAD,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,43,43,,,,,,,,,CREST,ROAD,RD,,,163568,,179,164,164,2014-03-14,-71.03671283290451,42.531129297946094,209100
M_240901_918126,240900.84660000,918126.04300000,BC,3563431,41,CANTERBURY ROAD,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,41,41,,,,,,,,,CANTERBURY,ROAD,RD,,,163541,,179,164,164,2014-03-14,-71.00230373254227,42.512604658997724,209100
M_235547_920138,235546.63220000,920138.05840000,BC,3563524,56,EDWARD AVENUE,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,56,56,,,,,,,,,EDWARD,AVENUE,AVE,,,163585,,179,164,164,2014-03-14,-71.06733035470438,42.530980274902085,209200
M_238121_921273,238120.84480000,921273.32700000,BMP,3559747,182,ESSEX STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,182,182,,,,,,,,,ESSEX,STREET,ST,,,163590,,179,164,164,2014-03-14,-71.03592274122194,42.54107844187127,209200
M_237694_920777,237693.95540000,920776.88260000,BC,3564277,8,WESTOVER DRIVE,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,8,8,,,,,,,,,WESTOVER,DRIVE,DR,,,163858,,179,164,164,2014-03-14,-71.04115203710144,42.53663011789916,209100
M_238308_921667,238307.64520000,921666.81080000,BMP,3563927,29,CHATHAM WAY,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,29,29,,,,,,,,,CHATHAM,WAY,WAY,,,163882,,179,164,164,2014-03-14,-71.0336225158781,42.54461150333711,209200
M_235514_919712,235514.42500000,919711.87100000,BC,3563075,33,BAY STATE ROAD,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,33,33,,,,,,,,,BAY STATE,ROAD,RD,,,163524,,179,164,164,2014-03-14,-71.06774865873547,42.527145083466266,209200
M_238578_921940,238577.68320000,921940.27960000,BC,3563083,7,HUNTINGDON ROAD,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,7,7,,,,,,,,,HUNTINGDON,ROAD,RD,,,163642,,179,164,164,2014-03-14,-71.03031666408096,42.54705999215493,209200
M_238453_922121,238452.66220000,922121.08160000,BC,3563766,15,HUNTINGDON ROAD,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,15,15,,,,,,,,,HUNTINGDON,ROAD,RD,,,163642,,179,164,164,2014-03-14,-71.03182668208137,42.54869379902892,209200
M_238721_921533,238721.20280000,921532.99840000,BC,3560280,16,CHATHAM WAY,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,16,16,,,,,,,,,CHATHAM,WAY,WAY,,,163882,,179,164,164,2014-03-14,-71.02859675286432,42.54338642735689,209200
M_238458_919274,238457.69680000,919274.40060000,BC,3561499,2,BANCROFT STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,2,2,,,,,,,,,BANCROFT,STREET,ST,,,163522,,179,164,164,2014-03-14,-71.03195556904865,42.52306701473391,209100
M_238652_917435,238651.54860000,917435.07180000,BC,3563794,17,TEDFORD LANE,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,17,17,,,,,,,,,TEDFORD,LANE,LN,,,163834,,179,164,164,2014-03-14,-71.02971978880326,42.50649922248499,209100
M_235456_919774,235455.88260000,919773.57160000,BC,3561329,3,PINE STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,3,3,,,,,,,,,PINE,STREET,ST,,,163747,,179,164,164,2014-03-14,-71.06845737543622,42.527703198841174,209200
M_237596_922070,237595.61460000,922070.45680000,PC,3562495,956,MAIN STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,956,956,,,,,,,,,MAIN,STREET,ST,,,163893,,179,164,164,2014-03-14,-71.0422646126106,42.548279939649014,209200
M_238208_919694,238208.40760000,919693.60600000,BC,3562888,45,WALNUT STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,45,45,,,,,,,,,WALNUT,STREET,ST,,,163852,,179,164,164,2014-03-14,-71.03496163526889,42.526853093541305,209100
M_237327_922105,237327.36340000,922104.60880000,BMP,3564190,78,PINE HILL ROAD,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,78,78,,,,,,,,,PINE HILL,ROAD,RD,,,163746,,179,164,164,2014-03-14,-71.04552835610218,42.548600296765194,209200
M_237257_921399,237256.63080000,921399.22000000,BMP,3562458,714,MAIN STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,714,714,,,,,,,,,MAIN,STREET,ST,,,163893,,179,164,164,2014-03-14,-71.04643519835787,42.54225361059953,209200
M_238111_923954,238111.18600000,923954.35980000,PC,3560883,1506,MAIN STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,1506,1506,,,,,,,,,MAIN,STREET,ST,,,163893,,179,164,164,2014-03-14,-71.03586272349072,42.5652141335561,209200
M_237151_922413,237150.88020000,922413.13060000,BC,3560902,17,ORCHARD LANE,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,17,17,,,,,,,,,ORCHARD,LANE,LN,,,163734,,179,164,164,2014-03-14,-71.04765713016148,42.55138612430189,209200
M_237731_921978,237730.98100000,921977.58120000,BC,3560796,928,MAIN STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,928,928,,,,,,,,,MAIN,STREET,ST,,,163893,,179,164,164,2014-03-14,-71.04062261686784,42.547437301185134,209200
M_238436_919012,238435.52140000,919012.46940000,BC,3563325,235,WALNUT STREET,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,235,235,,,,,,,,,WALNUT,STREET,ST,,,163852,,179,164,164,2014-03-14,-71.03224292796159,42.520710130422614,209100
M_239922_918331,239922.17160000,918331.18440000,PC,3564378,3,POST OFFICE SQUARE,REAR,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,3,3,,,,,,,,,POST OFFICE,SQUARE,SQ,,,163754,,179,164,164,2014-03-14,-71.01419812547488,42.514502195559835,209100
M_236035_920630,236035.20420000,920630.36700000,BC,3564056,5,HERITAGE LANE,,,,,,,,01940,,LYNNFIELD,LYNNFIELD,MA,,5,5,,,,,,,,,HERITAGE,LANE,LN,,,163627,,179,164,164,2014-03-14,-71.06135279876976,42.53538970776577,209200
