ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_258396_924939,258395.55000000,924939.30320000,BC,3051002,22,JERSEY LANE,,,,,,,,01944,,MANCHESTER,MANCHESTER,MA,,22,22,,,,,,,,,JERSEY,LANE,LN,,,143990,,181,166,166,2014-03-06,-70.78873893052975,42.572822523204714,218100
M_258181_924049,258181.23740000,924049.17660000,BMP,3051158,17,BOARDMAN AVENUE,,,,,,,,01944,,MANCHESTER,MANCHESTER,MA,,17,17,,,,,,,,,BOARDMAN,AVENUE,AVE,,,143947,,181,166,166,2014-03-06,-70.79143921123226,42.56482566910264,218100
M_263325_926402,263325.48520000,926402.06940000,BC,3051183,8,BIG ROCK ROAD,,,,,,,,01944,,MANCHESTER,MANCHESTER,MA,,8,8,,,,,,,,,BIG ROCK,ROAD,RD,,,143941,,181,166,166,2014-03-06,-70.72853405135604,42.585604514573916,218100
M_261309_926287,261308.72800000,926287.28660000,BMP,3051862,49,FOREST STREET,,,,,,,,01944,,MANCHESTER,MANCHESTER,MA,,49,49,,,,,,,,,FOREST,STREET,ST,,,143977,,181,166,166,2014-03-06,-70.75311426628451,42.584732840372425,218100
M_263138_926052,263138.42460000,926052.22880000,BMP,3051733,25,UNIVERSITY LANE,,,,,,,,01944,,MANCHESTER,MANCHESTER,MA,,25,25,,,,,,,,,UNIVERSITY,LANE,LN,,,144070,,181,166,166,2014-03-06,-70.7308512336181,42.58247049366813,218100
M_260130_925819,260129.90700000,925819.33080000,BC,3051584,66,NORWOOD AVENUE,,,,,,,,01944,,MANCHESTER,MANCHESTER,MA,,66,66,,,,,,,,,NORWOOD,AVENUE,AVE,,,144012,,181,166,166,2014-03-06,-70.76752334361805,42.580612361886494,218100
M_259465_925253,259465.13360000,925252.90820000,BC,3051914,18,PINE STREET,,,,,,,,01944,,MANCHESTER,MANCHESTER,MA,,18,18,,,,,,,,,PINE,STREET,ST,,,144025,,181,166,166,2014-03-06,-70.7756795272601,42.5755645585983,218100
M_259887_925363,259886.99140000,925362.59180000,BMP,3051752,3,NORTH STREET,,,,,,,,01944,,MANCHESTER,MANCHESTER,MA,,3,3,,,,,,,,,NORTH,STREET,ST,,,144010,,181,166,166,2014-03-06,-70.7705298740109,42.57651956204768,218100
M_258576_926622,258576.15140000,926621.73120000,PC,3052759,160,PINE STREET,,,,,,,,01944,,MANCHESTER,MANCHESTER,MA,,160,160,,,,,,,,,PINE,STREET,ST,,,144025,,181,166,166,2014-03-06,-70.78636785422201,42.58795409023246,218100
M_261937_926272,261937.33380000,926272.16540000,BC,3052957,1,DEXTER LANE,,,,,B,,,01944,,MANCHESTER,MANCHESTER,MA,,1,1,,,,,,,,,DEXTER,LANE,LN,,,143971,,181,166,166,2014-03-06,-70.74545838356669,42.584546915992696,218100
M_259239_925875,259238.73200000,925874.69160000,BC,3053017,103,PINE STREET,,,,,REAR,,,01944,,MANCHESTER,MANCHESTER,MA,,103,103,,,,,,,,,PINE,STREET,ST,,,144025,,181,166,166,2014-03-06,-70.77837302683234,42.58117909944178,218100
M_259450_926619,259449.55960000,926619.39020000,BC,3050786,3,BLUE HERON LANE,,,,,,,,01944,,MANCHESTER,MANCHESTER,MA,,3,3,,,,,,,,,BLUE HERON,LANE,LN,,,143946,,181,166,166,2014-03-06,-70.7757278885042,42.58786674402534,218100
