ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_226645_863881,226645.16860000,863881.38660000,BC,2556461,4,SUZANNE LANE,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,4,4,,,,,,,,,SUZANNE,LANE,LN,,,122162,,182,167,167,2014-03-02,-71.1782596631569,42.02486581311795,610203
M_223564_862425,223564.49020000,862425.01340000,BC,2556885,3,LEONARD CIRCLE,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,3,3,,,,,,,,,LEONARD,CIRCLE,CIR,,,122493,,182,167,167,2014-03-02,-71.21551720466718,42.01185228093483,610203
M_223660_864154,223660.30840000,864153.82220000,BMP,2554782,66,COURT STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,66,66,,,,,,,,,COURT,STREET,ST,,,122348,,182,167,167,2014-03-02,-71.21429053611844,42.027414309678335,610100
M_220498_862365,220497.52340000,862365.42840000,BC,2552307,35,KING ARTHUR WAY,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,35,35,,,,,,,,,KING ARTHUR,WAY,WAY,,,122478,,182,167,167,2014-03-02,-71.25254508839377,42.01140192282176,610202
M_223290_865285,223289.74540000,865285.14100000,BC,2555756,552,NORTH MAIN STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,552,552,,,,,,,NORTH,,MAIN,STREET,ST,,,122034,,182,167,167,2014-03-02,-71.21872017740802,42.0376109383784,610100
M_227904_862865,227903.69080000,862865.29360000,BC,2552465,1328-1330,EAST STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,1328,1328,,,1330,1330,,,,,EAST,STREET,ST,,,122372,,182,167,167,2014-03-02,-71.16311162470618,42.0156739365491,610203
M_218828_860800,218828.47980000,860800.38520000,BMP,2554996,3,BUNGAY STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,3,3,,,,,,,,,BUNGAY,STREET,ST,,,122299,,182,167,167,2014-10-31,-71.27274473949718,41.99735320082065,610202
M_221350_864419,221350.09100000,864418.93360000,BC,2556352,171,FORBES BOULEVARD,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,171,171,,,,,,,,,FORBES,BOULEVARD,BLVD,,,122396,,182,167,167,2014-03-02,-71.24217765298869,42.02986744520419,610202
M_218446_861094,218446.42760000,861094.04980000,BMP,2556363,1777,WEST STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,1777,1777,,,,,,,,,WEST,STREET,ST,,,122203,,182,167,167,2014-03-02,-71.2773467449687,42.00000622286972,610202
M_223392_865442,223392.43840000,865442.18600000,BC,2550965,599,NORTH MAIN STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,599,599,,,,,,,NORTH,,MAIN,STREET,ST,,,122034,,182,167,167,2014-03-02,-71.21747363849767,42.03902179630404,610100
M_225763_861314,225762.50820000,861314.27960000,BC,2552360,10,NATHAN ROAD,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,10,10,,,,,,,,,NATHAN,ROAD,RD,,,122023,,182,167,167,2014-03-02,-71.18903069919635,42.00178297235902,610203
M_219551_860324,219550.52860000,860323.82540000,BC,2554586,4,CHESSMAN ROAD,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,4,4,,,,,,,,,CHESSMAN,ROAD,RD,,,122324,,182,167,167,2014-03-02,-71.2640457379433,41.99304493771976,610202
M_223385_863870,223385.14920000,863869.95580000,BC,2551671,17,WEST STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,17,17,,,,,,,,,WEST,STREET,ST,,,122203,,182,167,167,2014-03-02,-71.21762453763625,42.0248668387795,610100
M_221350_864419,221350.09100000,864418.93360000,BC,2558667,171,FORBES BOULEVARD,,,,,5,,,02048,,MANSFIELD,MANSFIELD,MA,,171,171,,,,,,,,,FORBES,BOULEVARD,BLVD,,,122396,,182,167,167,2014-03-02,-71.24217765298869,42.02986744520419,610202
M_224289_865170,224289.03980000,865170.92140000,BC,2557868,14,BICENTENNIAL COURT,,,,,A,,,02048,,MANSFIELD,MANSFIELD,MA,,14,14,,,,,,,,,BICENTENNIAL,COURT,CT,,,122283,,182,167,167,2014-10-31,-71.20665612581672,42.03655228679701,610204
M_224289_865170,224289.03980000,865170.92140000,BC,2558427,16,BICENTENNIAL COURT,,,,,M,,,02048,,MANSFIELD,MANSFIELD,MA,,16,16,,,,,,,,,BICENTENNIAL,COURT,CT,,,122283,,182,167,167,2014-10-31,-71.20665612581672,42.03655228679701,610204
M_221759_859938,221759.48500000,859937.50320000,BC,2553718,94,OAK STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,94,94,,,,,,,,,OAK,STREET,ST,,,122041,,182,167,167,2014-03-02,-71.23740047802173,41.98950864074839,610202
M_224134_860895,224134.13520000,860895.14720000,BMP,2554298,10,RESERVOIR STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,10,10,,,,,,,,,RESERVOIR,STREET,ST,,,122103,,182,167,167,2014-03-02,-71.20870328137389,41.99806116778196,610203
M_219949_862038,219949.29500000,862037.84440000,BC,2554379,12,NELSON WAY,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,12,12,,,,,,,,,NELSON,WAY,WAY,,,122025,,182,167,167,2014-03-02,-71.25917466738467,42.00846671944008,610202
M_221254_860839,221253.97520000,860839.02260000,BC,2554934,287,ELM STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,287,287,,,,,,,,,ELM,STREET,ST,,,122379,,182,167,167,2014-03-02,-71.24346835242577,41.99763913512831,610202
M_221587_860019,221586.91300000,860018.75360000,BC,2553609,19,VILLAGE ROAD,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,19,19,,,,,,,,,VILLAGE,ROAD,RD,,,122186,,182,167,167,2014-03-02,-71.23948011705608,41.99024492672834,610202
M_221693_860448,221692.99000000,860448.34800000,BC,2551754,47,LANTERN LANE,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,47,47,,,,,,,,,LANTERN,LANE,LN,,,122489,,182,167,167,2014-03-02,-71.23818402969326,41.994109767609395,610202
M_227904_862865,227903.69080000,862865.29360000,BC,2550635,1330,EAST STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,1330,1330,,,,,,,,,EAST,STREET,ST,,,122372,,182,167,167,2014-03-02,-71.16311162470618,42.0156739365491,610203
M_224878_864818,224877.85580000,864817.97600000,BC,2554187,380,PRATT STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,380,380,,,,,,,,,PRATT,STREET,ST,,,122081,,182,167,167,2014-03-02,-71.19955994266898,42.033356183366394,610204
M_222888_863758,222888.01080000,863757.99580000,BMP,2549635,12,CENTRAL STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,12,12,,,,,,,,,CENTRAL,STREET,ST,,,122316,,182,167,167,2014-03-02,-71.22363181712805,42.02387349427119,610100
M_223290_865285,223289.74540000,865285.14100000,BC,2560401,552,NORTH MAIN STREET,,,,,B,,,02048,,MANSFIELD,MANSFIELD,MA,,552,552,,,,,,,NORTH,,MAIN,STREET,ST,,,122034,,182,167,167,2014-03-02,-71.21872017740802,42.0376109383784,610100
M_227249_864110,227249.30560000,864110.09400000,BC,2551918,6,KAL'S WAY,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,6,6,,,,,,,,,KAL'S,WAY,WAY,,,122469,,182,167,167,2014-03-02,-71.17095412861751,42.026904169997266,610203
M_222980_863601,222980.34800000,863601.23340000,BMP,2553316,1,MORSE COURT,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,1,1,,,,,,,,,MORSE,COURT,CT,,,122228,,182,167,167,2014-03-02,-71.22252302933522,42.02245942301351,610100
M_224289_865170,224289.03980000,865170.92140000,BC,2558421,16,BICENTENNIAL COURT,,,,,F,,,02048,,MANSFIELD,MANSFIELD,MA,,16,16,,,,,,,,,BICENTENNIAL,COURT,CT,,,122283,,182,167,167,2014-10-31,-71.20665612581672,42.03655228679701,610204
M_224289_865170,224289.03980000,865170.92140000,BC,2558422,16,BICENTENNIAL COURT,,,,,G,,,02048,,MANSFIELD,MANSFIELD,MA,,16,16,,,,,,,,,BICENTENNIAL,COURT,CT,,,122283,,182,167,167,2014-10-31,-71.20665612581672,42.03655228679701,610204
M_221350_864419,221350.09100000,864418.93360000,BC,2558666,171,FORBES BOULEVARD,,,,,4000,,,02048,,MANSFIELD,MANSFIELD,MA,,171,171,,,,,,,,,FORBES,BOULEVARD,BLVD,,,122396,,182,167,167,2014-03-02,-71.24217765298869,42.02986744520419,610202
M_219324_862385,219324.47680000,862385.04580000,BC,2553235,422,WILLIAMS STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,422,422,,,,,,,,,WILLIAMS,STREET,ST,,,122211,,182,167,167,2014-03-02,-71.2667058905596,42.0116083068127,610202
M_221554_860559,221553.57300000,860559.05780000,BC,2550515,10,PATRICIA ROAD,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,10,10,,,,,,,,,PATRICIA,ROAD,RD,,,122061,,182,167,167,2014-03-02,-71.2398625889661,41.99511036087159,610202
M_224119_864119,224119.49440000,864119.44520000,BMP,2554066,220,EAST STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,220,220,,,,,,,,,EAST,STREET,ST,,,122372,,182,167,167,2014-03-02,-71.20874710718421,42.02709082270401,610100
M_222586_865030,222586.46460000,865029.70600000,BMP,2556944,5,PRINCE STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,5,5,,,,,,,,,PRINCE,STREET,ST,,,122082,,182,167,167,2014-03-02,-71.22722379547999,42.035331759896735,610100
M_223290_865285,223289.74540000,865285.14100000,BC,2560399,552,NORTH MAIN STREET,,,,,2,,,02048,,MANSFIELD,MANSFIELD,MA,,552,552,,,,,,,NORTH,,MAIN,STREET,ST,,,122034,,182,167,167,2014-03-02,-71.21872017740802,42.0376109383784,610100
M_223590_865245,223590.10780000,865244.90640000,BMP,2554516,18,SHIELDS STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,18,18,,,,,,,,,SHIELDS,STREET,ST,,,122133,,182,167,167,2014-03-02,-71.21509422722175,42.03723972140364,610100
M_219616_860957,219616.22020000,860957.02240000,BC,2556055,336,BALCOM STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,336,336,,,,,,,,,BALCOM,STREET,ST,,,122270,,182,167,167,2014-03-02,-71.2632317006867,41.998744160663016,610202
M_222540_864708,222540.17740000,864708.49840000,BC,2554956,20,PERKINS AVENUE,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,20,20,,,,,,,,,PERKINS,AVENUE,AVE,,,122232,,182,167,167,2014-03-02,-71.22779518079783,42.03244117985835,610100
M_223290_865285,223289.74540000,865285.14100000,BC,2560402,552,NORTH MAIN STREET,,,,,C,,,02048,,MANSFIELD,MANSFIELD,MA,,552,552,,,,,,,NORTH,,MAIN,STREET,ST,,,122034,,182,167,167,2014-03-02,-71.21872017740802,42.0376109383784,610100
M_223993_862441,223993.13760000,862440.98220000,BC,2550690,15,MARSHALL AVENUE,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,15,15,,,,,,,,,MARSHALL,AVENUE,AVE,,,122258,,182,167,167,2014-03-02,-71.21034173481942,42.01198306370417,610203
M_223984_864293,223983.66280000,864293.32920000,BC,2552699,40,GLEN STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,40,40,,,,,,,,,GLEN,STREET,ST,,,122416,,182,167,167,2014-03-02,-71.210380187909,42.028660507507674,610100
M_227904_862865,227903.69080000,862865.29360000,BC,2550632,1328,EAST STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,1328,1328,,,,,,,,,EAST,STREET,ST,,,122372,,182,167,167,2014-03-02,-71.16311162470618,42.0156739365491,610203
M_220628_858902,220628.02960000,858901.62420000,BC,2553160,481,GILBERT STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,481,481,,,,,,,,,GILBERT,STREET,ST,,,122413,,182,167,167,2014-03-02,-71.25109159784901,41.98021285170429,610202
M_224561_864834,224561.21740000,864834.44640000,BMP,2556043,325,PRATT STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,325,325,,,,,,,,,PRATT,STREET,ST,,,122081,,182,167,167,2014-03-02,-71.20338313708137,42.03351444778811,610204
M_224289_865170,224289.03980000,865170.92140000,BC,2558423,16,BICENTENNIAL COURT,,,,,H,,,02048,,MANSFIELD,MANSFIELD,MA,,16,16,,,,,,,,,BICENTENNIAL,COURT,CT,,,122283,,182,167,167,2014-10-31,-71.20665612581672,42.03655228679701,610204
M_221355_860074,221354.80700000,860074.37360000,BC,2550429,430,ELM STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,430,430,,,,,,,,,ELM,STREET,ST,,,122379,,182,167,167,2014-03-02,-71.24227922392103,41.99075203849675,610202
M_226847_863611,226846.51680000,863611.14240000,BMP,2556946,5,SQUIRE AVENUE,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,5,5,,,,,,,,,SQUIRE,AVENUE,AVE,,,122146,,182,167,167,2014-03-02,-71.17584080893018,42.02242587615207,610203
M_222417_865082,222417.29020000,865082.28300000,BC,2552116,21,JOHN STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,21,21,,,,,,,,,JOHN,STREET,ST,,,122464,,182,167,167,2014-03-02,-71.22926488154317,42.03580997624648,610100
M_227199_864526,227198.67260000,864526.10660000,BMP,2551218,22,OLD NORTH TRAIL,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,22,22,,,,,,,,,OLD NORTH,TRAIL,TRL,,,122049,,182,167,167,2014-03-02,-71.17154619135954,42.030651384847275,610204
M_223959_862237,223958.88840000,862236.56760000,BC,2549883,4,MEADOW LANE,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,4,4,,,,,,,,,MEADOW,LANE,LN,,,122010,,182,167,167,2014-03-02,-71.21076357492636,42.010143711085995,610203
M_227386_864688,227386.09260000,864687.92980000,BMP,2550023,79,COLONIAL DRIVE,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,79,79,,,,,,,,,COLONIAL,DRIVE,DR,,,122334,,182,167,167,2014-03-02,-71.16927533476519,42.03210179590382,610204
M_221419_859640,221418.82660000,859639.71920000,BC,2551985,533,ELM STREET,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,533,533,,,,,,,,,ELM,STREET,ST,,,122379,,182,167,167,2014-03-02,-71.24152250333658,41.986836970678795,610202
M_225591_861149,225591.02940000,861149.03580000,BC,2554457,15,HARDING LANE,,,,,,,,02048,,MANSFIELD,MANSFIELD,MA,,15,15,,,,,,,,,HARDING,LANE,LN,,,122251,,182,167,167,2014-03-02,-71.19110775872097,42.00030084782429,610203
