ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_253323_917495,253322.89520000,917495.47700000,BMP,3824138,31,MUGFORD STREET,,,,,1,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,31,31,,,,,,,,,MUGFORD,STREET,ST,,,173042,,183,168,168,2016-08-05,-70.85121127391967,42.50617659065184,203302
M_253171_917885,253171.11300000,917885.14530000,BC,3814257,49,INTREPID CIRCLE,,MARBLEHEAD HIGHLANDS,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,49,49,,,,,,,,,INTREPID,CIRCLE,CIR,,,172964,17508,183,168,168,2016-08-04,-70.85302200136529,42.509694839493136,203302
M_253171_917885,253171.11300000,917885.14530000,BC,3814850,51,INTREPID CIRCLE,,MARBLEHEAD HIGHLANDS,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,51,51,,,,,,,,,INTREPID,CIRCLE,CIR,,,172964,17508,183,168,168,2016-08-04,-70.85302200136529,42.509694839493136,203302
M_252814_917803,252813.93060000,917802.67940000,BC,3816973,25,LINCOLN PARK,,,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,25,25,,,,,,,,,LINCOLN,PARK,PARK,,,172992,,183,168,168,2016-08-04,-70.85737553711473,42.508976773142,203302
M_253058_916439,253058.44280000,916438.61580000,BC,3815150,36,CENTRAL STREET,,,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,36,36,,,,,,,,,CENTRAL,STREET,ST,,,172808,,183,168,168,2014-03-18,-70.85452609618085,42.49668056481764,203200
M_252649_918888,252648.90180000,918888.14740000,BC,3815199,31,CLOUTMAN'S LANE,,,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,31,31,,,,,,,,,CLOUTMAN'S,LANE,LN,,,172823,,183,168,168,2014-03-18,-70.85928427392354,42.518759533963134,203302
M_251889_917636,251888.68140000,917636.40240000,BC,3820980,1,MANATAUG TRAIL,,,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,1,1,,,,,,,,,MANATAUG,TRAIL,TRL,,,173008,,183,168,168,2014-03-18,-70.8686482592297,42.50754211780739,203301
M_252587_916714,252587.00100000,916713.93840000,BMP,3814840,5,VINE STREET,,,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,5,5,,,,,,,,,VINE,STREET,ST,,,173204,,183,168,168,2014-03-18,-70.86023600739372,42.49919105539099,203200
M_251767_915102,251767.19680000,915101.84100000,BC,3821491,5,JOEL ROAD,,,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,5,5,,,,,,,,,JOEL,ROAD,RD,,,172969,,183,168,168,2014-03-18,-70.87035400715237,42.484733479130625,203100
M_251729_917174,251728.58520000,917173.97420000,BC,3822305,16,LORRAINE TERRACE,,,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,16,16,,,,,,,,,LORRAINE,TERRACE,TER,,,173005,,183,168,168,2014-03-18,-70.87063766243821,42.50338989088837,203200
M_250975_915202,250974.82200000,915201.80880000,BC,3820858,41,LEICESTER ROAD,,,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,41,41,,,,,,,,,LEICESTER,ROAD,RD,,,172984,,183,168,168,2014-03-18,-70.87998250556244,42.48568567063117,203100
M_252724_917233,252723.57680000,917232.84100000,BMP,3814021,17,JERSEY STREET,,,,,,,,01945,,MARBLEHEAD,MARBLEHEAD,MA,,17,17,,,,,,,,,JERSEY,STREET,ST,,,172967,,183,168,168,2014-03-18,-70.85852703794475,42.503853094617575,203301
