ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_260594_827820,260594.25840000,827820.30000000,BMP,3475182,5,PARLOWTOWN ROAD,,,,,,,,02738,,MARION,MARION,MA,,5,5,,,,,,,,,PARLOWTOWN,ROAD,RD,,,161195,,184,169,169,2014-03-13,-70.77205498049244,41.69831668780468,561100
M_260948_826699,260948.41320000,826699.23120000,BC,3473497,100,OLD KNOLL ROAD,,,,,,,,02738,,MARION,MARION,MA,,100,100,,,,,,,,,OLD KNOLL,ROAD,RD,,,161185,,184,169,169,2014-03-13,-70.76791616429306,41.688196206654055,561100
M_260306_831680,260305.69240000,831680.30380000,BC,3473389,83,COUNTY ROAD,,,,,,,,02738,,MARION,MARION,MA,,83,83,,,,,,,,,COUNTY,ROAD,RD,,,161093,,184,169,169,2014-03-13,-70.7751274077907,41.73309113984272,561100
M_260306_831680,260305.69240000,831680.30380000,BC,3475597,83,COUNTY ROAD,,,,,LOWER,,,02738,,MARION,MARION,MA,,83,83,,,,,,,,,COUNTY,ROAD,RD,,,161093,,184,169,169,2014-03-13,-70.7751274077907,41.73309113984272,561100
M_261582_828353,261582.37480000,828353.10120000,BC,3472604,2,MAIN STREET,,,,,,,,02738,,MARION,MARION,MA,,2,2,,,,,,,,,MAIN,STREET,ST,,,161163,,184,169,169,2014-03-13,-70.76012938178167,41.70303704668574,561100
M_261622_827456,261621.54600000,827455.98220000,BC,3473347,19,ZORA ROAD,,,,,,,,02738,,MARION,MARION,MA,,19,19,,,,,,,,,ZORA,ROAD,RD,,,161301,,184,169,169,2014-03-13,-70.75975232763476,41.694957066533334,561100
M_261221_828554,261221.39340000,828554.47880000,BC,3475297,178,FRONT STREET,REAR,,,,,,,02738,,MARION,MARION,MA,,178,178,,,,,,,,,FRONT,STREET,ST,,,161116,,184,169,169,2014-03-13,-70.76444525028327,41.70487819417081,561100
M_261235_827161,261235.12660000,827161.27020000,BC,3473674,36,OLD KNOLL ROAD,,,,,,,,02738,,MARION,MARION,MA,,36,36,,,,,,,,,OLD KNOLL,ROAD,RD,,,161185,,184,169,169,2014-03-13,-70.76442460822992,41.69233381988631,561100
M_263438_831057,263437.96660000,831057.25160000,BC,3474507,58,DEXTER ROAD,,,,,,,,02738,,MARION,MARION,MA,,58,58,,,,,,,,,DEXTER,ROAD,RD,,,161105,,184,169,169,2014-03-13,-70.73754646553377,41.72723582352647,561100
M_260666_829500,260666.13520000,829499.62920000,BC,3474750,166,SPRING STREET,,,,,,,,02738,,MARION,MARION,MA,,166,166,,,,,,,,,SPRING,STREET,ST,,,161266,,184,169,169,2014-03-13,-70.77101911856191,41.71343047246845,561100
M_261681_827547,261681.28540000,827546.81600000,BMP,3473401,40,LEWIS STREET,,,,,,,,02738,,MARION,MARION,MA,,40,40,,,,,,,,,LEWIS,STREET,ST,,,161159,,184,169,169,2014-03-13,-70.75902524705236,41.6957701891093,561100
M_262781_829767,262780.66700000,829767.31280000,BC,3474114,8,JENNA DRIVE,,,,,,,,02738,,MARION,MARION,MA,,8,8,,,,,,,,,JENNA,DRIVE,DR,,,161148,,184,169,169,2014-03-13,-70.74558317984174,41.7156749273818,561100
M_261487_827400,261487.19740000,827399.81580000,BC,3474723,39,ZORA ROAD,,,,,,,,02738,,MARION,MARION,MA,,39,39,,,,,,,,,ZORA,ROAD,RD,,,161301,,184,169,169,2014-03-13,-70.76137199313567,41.69446187653981,561100
M_260086_830990,260085.85960000,830989.56000000,BC,3473877,536,FRONT STREET,,,,,,,,02738,,MARION,MARION,MA,,536,536,,,,,,,,,FRONT,STREET,ST,,,161116,,184,169,169,2014-03-13,-70.77783995828261,41.72688903559768,561100
M_260682_829452,260681.64260000,829452.49840000,BC,3473702,158,SPRING STREET,,,,,,,,02738,,MARION,MARION,MA,,158,158,,,,,,,,,SPRING,STREET,ST,,,161266,,184,169,169,2014-03-13,-70.77083762774988,41.71300495185998,561100
M_260627_827270,260626.89040000,827270.36300000,BC,3472757,24,ABELS WAY,,,,,,,,02738,,MARION,MARION,MA,,24,24,,,,,,,,,ABELS,WAY,WAY,,,161048,,184,169,169,2014-03-13,-70.77171938506267,41.69336299393873,561100
M_262539_825459,262538.62940000,825458.64600000,BMP,3475208,58,MOORINGS ROAD,,,,,,,,02738,,MARION,MARION,MA,,58,58,,,,,,,,,MOORINGS,ROAD,RD,,,161173,,184,169,169,2014-03-13,-70.74894741240125,41.676902521775546,
