ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_263340_872219,263339.55840000,872218.52690000,BC,3829841,32,SETH SPRAGUE DRIVE,,WEATHERVANE LANE,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,32,32,,,,,,,,,SETH SPRAGUE,DRIVE,DR,,,174091,16254,186,171,171,2017-01-30,-70.73428818784633,42.097820032239525,506102
M_263340_872219,263339.55840000,872218.52690000,BC,3827079,30,SETH SPRAGUE DRIVE,,WEATHERVANE LANE,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,30,30,,,,,,,,,SETH SPRAGUE,DRIVE,DR,,,174091,16254,186,171,171,2017-01-30,-70.73428818784633,42.097820032239525,506102
M_265436_871132,265435.85120000,871132.38610000,BC,3830852,13,MAPLE LANE,,THE MAPLES,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,13,13,,,,,,,,,MAPLE,LANE,LN,,,173441,21309,186,171,171,2017-01-30,-70.70906928873869,42.08786945605642,506202
M_263340_872219,263339.55840000,872218.52690000,BC,3825498,26,SETH SPRAGUE DRIVE,,WEATHERVANE LANE,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,26,26,,,,,,,,,SETH SPRAGUE,DRIVE,DR,,,174091,16254,186,171,171,2017-01-30,-70.73428818784633,42.097820032239525,506102
M_263340_872219,263339.55840000,872218.52690000,BC,3828498,28,SETH SPRAGUE DRIVE,,WEATHERVANE LANE,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,28,28,,,,,,,,,SETH SPRAGUE,DRIVE,DR,,,174091,16254,186,171,171,2017-01-30,-70.73428818784633,42.097820032239525,506102
M_267232_870420,267232.13240000,870420.29160000,BC,3827219,444,WEBSTER STREET,,,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,444,444,,,,,,,,,WEBSTER,STREET,ST,,,174001,,186,171,171,2014-03-18,-70.68744071838097,42.08130657612227,506203
M_269016_873266,269016.16260000,873266.26720000,BC,3830063,47,OLYMPIA ROAD,,,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,47,47,,,,,,,,,OLYMPIA,ROAD,RD,,,173530,,186,171,171,2014-03-18,-70.66554401777623,42.10677325674175,506204
M_269069_873413,269069.29480000,873412.86220000,BC,3830930,18,KEARSARGE ROAD,,,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,18,18,,,,,,,,,KEARSARGE,ROAD,RD,,,173392,,186,171,171,2014-03-18,-70.66488429852885,42.108088336514875,506204
M_266049_873719,266049.14600000,873718.91560000,BC,3827384,6,SMOKE HILL RIDGE ROAD,,,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,6,6,,,,,,,,,SMOKE HILL RIDGE,ROAD,RD,,,173910,,186,171,171,2014-03-18,-70.70136403781065,42.11110407327431,506101
M_270431_869701,270431.12420000,869701.07140000,BC,3827487,73,BAY AVENUE,,,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,73,73,,,,,,,,,BAY,AVENUE,AVE,,,173689,,186,171,171,2014-03-18,-70.64886734036385,42.07455069207183,506203
M_261564_878786,261564.31420000,878786.43760000,BC,3832327,180,RIVERSIDE CIRCLE,,,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,180,180,,,,,,,,,RIVERSIDE,CIRCLE,CIR,,,173617,,186,171,171,2014-03-18,-70.75505457654525,42.15709130155641,506102
M_269784_872527,269783.98740000,872526.90020000,BMP,3830267,640,OCEAN STREET,,,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,640,640,,,,,,,,,OCEAN,STREET,ST,,,173509,,186,171,171,2014-03-18,-70.65634947176089,42.10004890283972,506204
M_269831_869849,269830.77460000,869848.62340000,BC,3829248,10,MISSOURI STREET,,,,,,,,02050,,MARSHFIELD,MARSHFIELD,MA,,10,10,,,,,,,,,MISSOURI,STREET,ST,,,173474,,186,171,171,2014-03-18,-70.65610421459944,42.07593277816045,506203
M_261231_873353,261230.92240000,873353.38080000,BC,3837405,3,ROYAL DANE DRIVE,,,,,10,,,02050,,MARSHFIELD,MARSHFIELD,MA,,3,3,,,,,,,,,ROYAL DANE,DRIVE,DR,,,173623,,186,171,171,2014-03-18,-70.75965910722624,42.10820456136631,506102
M_261231_873353,261230.92240000,873353.38080000,BC,3837408,3,ROYAL DANE DRIVE,,,,,2,,,02050,,MARSHFIELD,MARSHFIELD,MA,,3,3,,,,,,,,,ROYAL DANE,DRIVE,DR,,,173623,,186,171,171,2014-03-18,-70.75965910722624,42.10820456136631,506102
