ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_285940_819101,285939.87160000,819101.32840000,BC,4207754,51,EAGLE COURT,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,51,51,,,,,,,,,EAGLE,COURT,CT,,,190315,,188,172,172,2015-05-29,-70.46885869009157,41.617466219977345,015100
M_286543_820004,286543.16040000,820004.22880000,ABC,4208209,64,SIMONS ROAD,,,,,B,,,02649,,MASHPEE,MASHPEE,MA,,64,64,,,,,,,,,SIMONS,ROAD,RD,,,93448,,188,172,172,2015-06-04,-70.46148900626312,41.62552900898358,015100
M_286543_820004,286543.16040000,820004.22880000,ABC,4208210,64,SIMONS ROAD,,,,,C,,,02649,,MASHPEE,MASHPEE,MA,,64,64,,,,,,,,,SIMONS,ROAD,RD,,,93448,,188,172,172,2015-06-04,-70.46148900626312,41.62552900898358,015100
M_286543_820004,286543.16040000,820004.22880000,ABC,4208211,64,SIMONS ROAD,,,,,D,,,02649,,MASHPEE,MASHPEE,MA,,64,64,,,,,,,,,SIMONS,ROAD,RD,,,93448,,188,172,172,2015-06-04,-70.46148900626312,41.62552900898358,015100
M_286543_820004,286543.16040000,820004.22880000,ABC,4208212,64,SIMONS ROAD,,,,,E,,,02649,,MASHPEE,MASHPEE,MA,,64,64,,,,,,,,,SIMONS,ROAD,RD,,,93448,,188,172,172,2015-06-04,-70.46148900626312,41.62552900898358,015100
M_286543_820004,286543.16040000,820004.22880000,ABC,4208213,64,SIMONS ROAD,,,,,F,,,02649,,MASHPEE,MASHPEE,MA,,64,64,,,,,,,,,SIMONS,ROAD,RD,,,93448,,188,172,172,2015-06-04,-70.46148900626312,41.62552900898358,015100
M_281924_821380,281924.41160000,821380.13640000,BC,4208255,38,ARVEE CIRCLE,,OTIS TRAILER VILLAGE,,,,,,02649,,MASHPEE,MASHPEE,MA,,38,38,,,,,,,,,ARVEE,CIRCLE,CIR,,,188247,18131,188,172,172,2015-06-04,-70.51671824857118,41.6384089932271,015002
M_281893_821264,281893.27090000,821264.16410000,ABC,4208253,110,ARVEE CIRCLE,,OTIS TRAILER VILLAGE,,,,,,02649,,MASHPEE,MASHPEE,MA,,110,110,,,,,,,,,ARVEE,CIRCLE,CIR,,,188247,18131,188,172,172,2016-02-10,-70.51710801462862,41.637368134801164,015002
M_286026_814046,286025.68000000,814046.00160000,BC,1955150,153,UNCLE PERCYS ROAD,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,153,153,,,,,,,,,UNCLE PERCYS,ROAD,RD,,,93555,,188,172,172,2014-02-11,-70.4685626683843,41.57194446281139,015200
M_284746_813437,284746.07940000,813436.63780000,BC,1957303,32,HOOK DRIVE,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,32,32,,,,,,,,,HOOK,DRIVE,DR,,,93386,,188,172,172,2014-02-11,-70.48399048422873,41.56659671018746,015200
M_283428_812923,283427.81240000,812923.04060000,BC,1949682,23,NESHOBE ROAD,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,23,23,,,,,,,,,NESHOBE,ROAD,RD,,,92751,,188,172,172,2014-02-11,-70.49986574804457,41.56211312254537,015200
M_286569_822550,286568.50660000,822549.71380000,BMP,1951808,56,TOBISSET STREET,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,56,56,,,,,,,,,TOBISSET,STREET,ST,,,93528,,188,172,172,2014-02-11,-70.46081275586933,41.64844286112125,015001
M_282445_818874,282445.03840000,818874.95900000,BC,1960887,300,NATHAN ELLIS HIGHWAY,,LAKESIDE ESTATES,,,93,,,02649,,MASHPEE,MASHPEE,MA,,300,300,,,,,,,,,NATHAN ELLIS,HIGHWAY,HWY,,,92745,16158,188,172,172,2014-02-11,-70.51081876875926,41.61580088190854,015100
M_281522_821211,281522.11060000,821211.46280000,BC,1952484,22,HIGHVIEW AVENUE,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,22,22,,,,,,,,,HIGHVIEW,AVENUE,AVE,,,93385,,188,172,172,2014-02-11,-70.52156958483862,41.636932088582974,015002
M_285949_813961,285949.48280000,813960.69860000,BC,1947975,171,UNCLE PERCYS ROAD,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,171,171,,,,,,,,,UNCLE PERCYS,ROAD,RD,,,93555,,188,172,172,2014-02-11,-70.46948853062524,41.5711847837282,015200
M_286526_814249,286526.37520000,814249.07760000,BC,1952368,2,ELLIOT ROAD,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,2,2,,,,,,,,,ELLIOT,ROAD,RD,,,93159,,188,172,172,2014-02-11,-70.46253037071058,41.57371805600989,015200
M_284611_817477,284610.59980000,817477.41400000,BC,1951813,57,GREAT PINES DRIVE,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,57,57,,,,,,,,,GREAT PINES,DRIVE,DR,,,93381,,188,172,172,2014-02-11,-70.4850381520039,41.60298986559347,015100
M_285730_813109,285730.05580000,813109.55760000,BC,1948635,27,HYDRANGEA LANE,,NEW SEABURY MAUSHOP VILLAGE,,,,,,02649,,MASHPEE,MASHPEE,MA,,27,27,,,,,,,,,HYDRANGEA,LANE,LN,,,93387,17249,188,172,172,2014-02-11,-70.47224210376048,41.5635459138215,015200
M_283832_818615,283832.26340000,818615.76720000,BC,1951324,60J,SHELLBACK WAY,,DEER CROSSING CONDOMINIUMS,,,,,,02649,,MASHPEE,MASHPEE,MA,,60,60,J,,,,,,,,SHELLBACK,WAY,WAY,,,93428,16276,188,172,172,2014-02-11,-70.49421294627224,41.61332134376337,015100
M_283832_818615,283832.26340000,818615.76720000,BC,1949000,57J,SHELLBACK WAY,,DEER CROSSING CONDOMINIUMS,,,,,,02649,,MASHPEE,MASHPEE,MA,,57,57,J,,,,,,,,SHELLBACK,WAY,WAY,,,93428,16276,188,172,172,2014-02-11,-70.49421294627224,41.61332134376337,015100
M_282476_818850,282476.28440000,818850.31580000,BC,1960886,300,NATHAN ELLIS HIGHWAY,,LAKESIDE ESTATES,,,92,,,02649,,MASHPEE,MASHPEE,MA,,300,300,,,,,,,,,NATHAN ELLIS,HIGHWAY,HWY,,,92745,16158,188,172,172,2014-02-11,-70.51044734077672,41.615575758158634,015100
M_285640_813841,285639.81440000,813841.40680000,BC,1951717,44,GREENSWARD ROAD,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,44,44,,,,,,,,,GREENSWARD,ROAD,RD,,,93234,,188,172,172,2014-02-11,-70.47321822980643,41.57014443880897,015200
M_286504_821712,286504.18980000,821712.91040000,BC,1947244,27,WINDSOR POINT,,STRATFORD PONDS,,,,,,02649,,MASHPEE,MASHPEE,MA,,27,27,,,,,,,,,WINDSOR,POINT,PT,,,93614,15910,188,172,172,2014-02-11,-70.4617070244727,41.64091629376739,015001
M_282323_818636,282323.30820000,818636.73220000,BC,1960858,300,NATHAN ELLIS HIGHWAY,,LAKESIDE ESTATES,,,67,,,02649,,MASHPEE,MASHPEE,MA,,300,300,,,,,,,,,NATHAN ELLIS,HIGHWAY,HWY,,,92745,16158,188,172,172,2014-02-11,-70.51231226124659,41.61366884601518,015100
M_284939_813101,284939.06120000,813100.95080000,BC,1949641,210,GLENNEAGLE DRIVE,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,210,210,,,,,,,,,GLENNEAGLE,DRIVE,DR,,,93206,,188,172,172,2014-02-11,-70.48172511338339,41.563553841941854,015200
M_282156_818820,282156.15400000,818820.02360000,BC,1960806,300,NATHAN ELLIS HIGHWAY,,LAKESIDE ESTATES,,,2,,,02649,,MASHPEE,MASHPEE,MA,,300,300,,,,,,,,,NATHAN ELLIS,HIGHWAY,HWY,,,92745,16158,188,172,172,2014-02-11,-70.51429213114336,41.615336412937346,015100
M_283281_812973,283281.43020000,812973.40720000,BC,1947595,49,NESHOBE ROAD,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,49,49,,,,,,,,,NESHOBE,ROAD,RD,,,92751,,188,172,172,2014-02-11,-70.5016133532288,41.562582007764334,015200
M_285841_820675,285841.66420000,820675.69120000,BC,1960414,195,FALMOUTH ROAD,,SEA OAKS,,,11F,,,02649,,MASHPEE,MASHPEE,MA,,195,195,,,,,,,,,FALMOUTH,ROAD,RD,,,55985,16268,188,172,172,2014-02-11,-70.469808770237,41.63165068043846,015001
M_286551_819449,286550.69840000,819448.93860000,BC,1947245,275,QUINAQUISSET AVENUE,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,275,275,,,,,,,,,QUINAQUISSET,AVENUE,AVE,,,93349,,188,172,172,2014-02-11,-70.4614796863822,41.62052898529839,015100
M_285892_818359,285892.41220000,818359.41780000,BC,1950002,186,MASHPEE NECK ROAD,,,,,,,,02649,,MASHPEE,MASHPEE,MA,,186,186,,,,,,,,,MASHPEE NECK,ROAD,RD,,,92705,,188,172,172,2014-02-11,-70.46953560878994,41.610792062694266,015100
