ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_257942_823529,257942.48120000,823529.03850000,DBMP,3566138,4,OAKLAND STREET,,,,,,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,4,4,,,,,,,,,OAKLAND,STREET,ST,,,164213,,190,173,173,2016-06-15,-70.80433093235263,41.65988082168021,560100
M_256059_823802,256059.05440000,823802.09200000,BMP,3565869,14,HOLMES ROAD,,,,,,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,14,14,,,,,,,,,HOLMES,ROAD,RD,,,164138,,190,173,173,2014-03-14,-70.82691690908906,41.66247524293565,560100
M_258148_823466,258148.31840000,823466.27140000,BC,3565886,15,MARION ROAD,,,,,,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,15,15,,,,,,,,,MARION,ROAD,RD,,,164181,,190,173,173,2014-03-14,-70.80186588767168,41.659300573963364,560100
M_257424_823417,257423.54580000,823416.75760000,BC,3567041,3,NORTH STREET,,,,,,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,3,3,,,,,,,,,NORTH,STREET,ST,,,164207,,190,173,173,2014-03-14,-70.8105719982879,41.65890786676811,560100
M_256780_823504,256780.32400000,823503.60500000,BC,3569019,27,MAIN STREET,,,,,GARAGE,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,27,27,,,,,,,,,MAIN,STREET,ST,,,164174,,190,173,173,2014-03-14,-70.81828586534559,41.65973632094931,560100
M_254109_826537,254108.79280000,826537.24460000,BC,3566537,5,RIVER BEND LANE,,,,,,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,5,5,,,,,,,,,RIVER BEND,LANE,LN,,,164285,,190,173,173,2014-03-14,-70.85008193022063,41.68723667753207,560100
M_259739_822684,259739.40980000,822684.47420000,BC,3564960,10,WEST SILVER SHELL AVENUE,,,,,,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,10,10,,,,,,,WEST,,SILVER SHELL,AVENUE,AVE,,,163936,,190,173,173,2014-03-14,-70.78284290199845,41.652143041063056,560100
M_255125_821853,255125.42880000,821852.94380000,BMP,3565012,18,OLD BRANDT ISLAND ROAD,,,,,,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,18,18,,,,,,,,,OLD BRANDT ISLAND,ROAD,RD,,,164220,,190,173,173,2014-03-14,-70.83830774450446,41.644992352879164,560100
M_256005_823605,256004.65540000,823605.44060000,BC,3567803,15,WILDWOOD TERRACE,,,,,,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,15,15,,,,,,,,,WILDWOOD,TERRACE,TER,,,163941,,190,173,173,2014-03-14,-70.82758864640249,41.66070860603105,560100
M_254791_822952,254790.69560000,822951.70640000,BC,3568897,110,FAIRHAVEN ROAD,,,,,1R,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,110,110,,,,,,,,,FAIRHAVEN,ROAD,RD,,,164090,,190,173,173,2014-03-14,-70.84222381281144,41.654908100178446,560100
M_256974_823636,256974.36600000,823635.56460000,BC,3568055,33,PEARL STREET,,,,,,,,02739,,MATTAPOISETT,MATTAPOISETT,MA,,33,33,,,,,,,,,PEARL,STREET,ST,,,164235,,190,173,173,2014-03-14,-70.81594355840618,41.660910396947806,560100
