ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_204386_908634,204386.47040000,908634.31300000,BC,1933491,28,HARRISON STREET,,,,,,,,01754,,MAYNARD,MAYNARD,MA,,28,28,,,,,,,,,HARRISON,STREET,ST,,,91533,,191,174,174,2014-02-11,-71.44669542596068,42.428216861500154,364102
M_204390_908982,204389.82800000,908981.88760000,BC,1930169,32,WALTHAM STREET,,,,,,,,01754,,MAYNARD,MAYNARD,MA,,32,32,,,,,,,,,WALTHAM,STREET,ST,,,91671,,191,174,174,2014-02-11,-71.44665198255389,42.4313459294032,364102
M_202131_908613,202131.27920000,908612.93540000,BC,1930227,5,ASSABET STREET,,,,,,,,01754,,MAYNARD,MAYNARD,MA,,5,5,,,,,,,,,ASSABET,STREET,ST,,,91453,,191,174,174,2014-02-11,-71.47410068122025,42.428033832995126,364101
M_203655_908521,203654.82500000,908520.92160000,BC,1933022,37,THOMPSON STREET,,,,,,,,01754,,MAYNARD,MAYNARD,MA,,37,37,,,,,,,,,THOMPSON,STREET,ST,,,91654,,191,174,174,2014-02-11,-71.45558712755343,42.42719981268701,364102
M_201984_909374,201983.65300000,909373.85460000,BC,1933994,210,SUMMER STREET,,,,,,,,01754,,MAYNARD,MAYNARD,MA,,210,210,,,,,,,,,SUMMER,STREET,ST,,,91646,,191,174,174,2014-02-11,-71.47589202219301,42.434884497629334,364101
M_203940_909702,203939.92920000,909702.48140000,BC,1930023,2,BROWN STREET,,,,,,,,01754,,MAYNARD,MAYNARD,MA,,2,2,,,,,,,,,BROWN,STREET,ST,,,91467,,191,174,174,2014-02-11,-71.45211452507087,42.43783556741407,364101
M_204813_909083,204812.94500000,909083.25080000,BC,1932422,51,WOOD LANE,,,,,,,,01754,,MAYNARD,MAYNARD,MA,,51,51,,,,,,,,,WOOD,LANE,LN,,,91682,,191,174,174,2014-02-11,-71.44150914905649,42.432255967431765,364102
M_204536_909816,204535.68480000,909816.39200000,BC,1931534,0,WINDMILL DRIVE,,,,,,,,01754,,MAYNARD,MAYNARD,MA,,0,0,,,,,,,,,WINDMILL,DRIVE,DR,,,91679,,191,174,174,2014-02-11,-71.44487288281171,42.43885782198849,364101
M_203616_910442,203615.60520000,910441.55080000,BMP,1932359,22,ROCKLAND AVENUE,,,,,,,,01754,,MAYNARD,MAYNARD,MA,,22,22,,,,,,,,,ROCKLAND,AVENUE,AVE,,,91625,,191,174,174,2014-02-11,-71.4560516950693,42.44449069193347,364101
M_203891_910084,203890.78580000,910083.74780000,BMP,1932480,39,BROWN STREET,,,,,,,,01754,,MAYNARD,MAYNARD,MA,,39,39,,,,,,,,,BROWN,STREET,ST,,,91467,,191,174,174,2014-02-11,-71.45270923937397,42.44126820785964,364101
