ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_206499_876639,206499.39120000,876638.96720000,BC,1638415,295,VILLAGE STREET,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,295,295,,,,,,,,,VILLAGE,STREET,ST,,,73875,,194,177,177,2014-02-04,-71.42137752355637,42.140150768670516,408102
M_206330_878553,206330.46000000,878553.44640000,BC,1637362,7,DELMAR ROAD,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,7,7,,,,,,,,,DELMAR,ROAD,RD,,,73648,,194,177,177,2014-02-04,-71.42340026797135,42.1573884817665,408101
M_206212_880356,206212.45240000,880356.39880000,BC,1638177,14,CIDER MILL ROAD,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,14,14,,,,,,,,,CIDER MILL,ROAD,RD,,,73626,,194,177,177,2014-02-04,-71.42480894940424,42.173621621006795,408101
M_209010_878163,209010.14120000,878163.47140000,BC,1635489,90,OAKLAND STREET,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,90,90,,,,,,,,,OAKLAND,STREET,ST,,,73793,,194,177,177,2014-02-04,-71.39098169307182,42.1538512350948,408101
M_203759_876809,203758.70520000,876809.33820000,BC,1637986,57,WEST STREET,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,57,57,,,,,,,,,WEST,STREET,ST,,,73888,,194,177,177,2014-02-04,-71.45453021701793,42.1417025942317,408101
M_204860_879703,204860.34760000,879703.02280000,BMP,1638014,6,THAYER ROAD,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,6,6,,,,,,,,,THAYER,ROAD,RD,,,73868,,194,177,177,2014-02-04,-71.44117929981827,42.16774876684934,408101
M_208574_876931,208574.22240000,876930.75700000,BC,1637783,29,NORTH STREET,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,29,29,,,,,,,,,NORTH,STREET,ST,,,73792,,194,177,177,2014-02-04,-71.3962742302079,42.1427578291607,408101
M_207268_879362,207268.35660000,879362.25880000,PC,1636037,6,FERN PATH,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,6,6,,,,,,,,,FERN,PATH,PATH,,,73911,,194,177,177,2014-02-04,-71.41204146161196,42.16466217507811,408101
M_208365_879238,208365.22840000,879237.53420000,BC,1635295,11,GREENVALLEY ROAD,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,11,11,,,,,,,,,GREENVALLEY,ROAD,RD,,,73687,,194,177,177,2014-02-04,-71.3987693918833,42.163528312893234,408101
M_207067_880551,207066.76180000,880550.51760000,BC,1635035,5,SKYLINE DRIVE,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,5,5,,,,,,,,,SKYLINE,DRIVE,DR,,,73843,,194,177,177,2014-02-04,-71.41446665407092,42.17536204632755,408101
M_203858_879128,203857.75840000,879127.50260000,BC,1636632,4,WILDWOOD ROAD,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,4,4,,,,,,,,,WILDWOOD,ROAD,RD,,,73893,,194,177,177,2014-02-04,-71.4533166031779,42.162572871449534,408101
M_207138_877251,207138.35300000,877250.72440000,BC,1636672,6,GABLE WAY,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,6,6,,,,,,,,,GABLE,WAY,WAY,,,73675,,194,177,177,2014-02-04,-71.4136405798603,42.14565294732624,408102
M_203249_878161,203249.18440000,878160.92360000,BMP,1638748,12,CEDAR FARMS ROAD,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,12,12,,,,,,,,,CEDAR FARMS,ROAD,RD,,,73907,,194,177,177,2014-02-04,-71.46068645162129,42.15387339562692,408101
M_203329_877925,203328.90020000,877925.45020000,BMP,1639661,4,CEDAR FARMS ROAD,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,4,4,,,,,,,,,CEDAR FARMS,ROAD,RD,,,73907,,194,177,177,2014-02-04,-71.45972327476646,42.1517530609052,408101
M_208684_879224,208684.06020000,879223.64200000,BC,1635849,3,INDIAN CREEK ROAD,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,3,3,,,,,,,,,INDIAN CREEK,ROAD,RD,,,73716,,194,177,177,2014-02-04,-71.3949113056782,42.16339976812178,408101
M_203040_876144,203039.81800000,876143.72940000,BC,1638267,5,DAFFODIL LANE,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,5,5,,,,,,,,,DAFFODIL,LANE,LN,,,73909,,194,177,177,2014-02-04,-71.46323020425153,42.135713132149064,408101
M_206733_876599,206733.12480000,876599.25940000,BC,1637116,281,VILLAGE STREET,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,281,281,,,,,,,,,VILLAGE,STREET,ST,,,73875,,194,177,177,2014-02-04,-71.41855053226128,42.13979129862713,408102
M_203103_878606,203102.95020000,878606.29500000,PC,1639535,1A,WINTERBERRY LANE,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,1,1,A,,,,,,,,WINTERBERRY,LANE,LN,,,73900,,194,177,177,2014-02-04,-71.46245344187619,42.15788372772101,408101
M_206396_878475,206396.46480000,878474.69140000,BC,1639542,2,DELMAR ROAD,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,2,2,,,,,,,,,DELMAR,ROAD,RD,,,73648,,194,177,177,2014-02-04,-71.4226024628757,42.15667890376224,408101
M_202709_877260,202709.17740000,877260.43060000,BC,1639554,2,RAINBOW DRIVE,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,2,2,,,,,,,,,RAINBOW,DRIVE,DR,,,73820,,194,177,177,2014-02-04,-71.46722445922174,42.14576818193958,408101
M_207017_877375,207016.98120000,877375.11360000,BC,1635858,3,VILLA DRIVE,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,3,3,,,,,,,,,VILLA,DRIVE,DR,,,73874,,194,177,177,2014-02-04,-71.41510743081626,42.146773938343635,408102
M_204250_878539,204249.62200000,878539.18940000,BC,1635982,8,AUTUMN ROAD,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,8,8,,,,,,,,,AUTUMN,ROAD,RD,,,73583,,194,177,177,2014-02-04,-71.44857888745368,42.157274183102764,408101
M_205291_876489,205291.26340000,876489.09660000,BMP,1635161,375,VILLAGE STREET,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,375,375,,,,,,,,,VILLAGE,STREET,ST,,,73875,,194,177,177,2014-02-04,-71.43599347742145,42.13881055425522,408102
M_205024_876450,205024.12900000,876449.66880000,BC,1638379,388,VILLAGE STREET,,,,,,,,02053,,MEDWAY,MEDWAY,MA,,388,388,,,,,,,,,VILLAGE,STREET,ST,,,73875,,194,177,177,2014-02-04,-71.43922524550821,42.13845733873048,408102
