ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_236596_911497,236596.19380000,911496.81480000,BC,3054055,56,ARGYLE STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,56,56,,,,,,,,,ARGYLE,STREET,ST,,,144111,,195,178,178,2014-03-06,-71.05510404183507,42.45313997005983,336300
M_236057_912438,236057.05340000,912437.63920000,BMP,3059408,25,GREEN STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,25,25,,,,,,,,,GREEN,STREET,ST,,,144272,,195,178,178,2014-03-06,-71.06159941149028,42.46163482866151,336200
M_234655_911692,234654.85420000,911692.44780000,BC,3055511,1-3,RAVINE TERRACE,,,,,,,,02176,,MELROSE,MELROSE,MA,,1,1,,,3,3,,,,,RAVINE,TERRACE,TER,,,144435,,195,178,178,2014-03-06,-71.07869255503863,42.45498989104506,336402
M_236662_911967,236661.89000000,911967.48240000,BMP,3061574,14,GENEVA ROAD,,,,,,,,02176,,MELROSE,MELROSE,MA,,14,14,,,,,,,,,GENEVA,ROAD,RD,,,144512,,195,178,178,2014-03-06,-71.05427549482008,42.45737404656105,336300
M_236460_913787,236460.40880000,913787.26500000,BC,3057947,114,HEYWOOD AVENUE,,,,,,,,02176,,MELROSE,MELROSE,MA,,114,114,,,,,,,,,HEYWOOD,AVENUE,AVE,,,144295,,195,178,178,2014-03-06,-71.05660999287772,42.47376597021694,336200
M_236074_912775,236074.16560000,912774.69920000,BC,3058811,6-8,LINDEN ROAD,,,,,,,,02176,,MELROSE,MELROSE,MA,,6,6,,,8,8,,,,,LINDEN,ROAD,RD,,,144519,,195,178,178,2014-03-06,-71.06137028172314,42.46466839956093,336200
M_234757_912700,234756.99800000,912700.16340000,BC,3058016,133,PERKINS STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,133,133,,,,,,,,,PERKINS,STREET,ST,,,144418,,195,178,178,2014-03-06,-71.07739008960093,42.4640572599158,336100
M_235967_910796,235967.33840000,910796.36580000,BC,3060125,126,SYLVAN STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,126,126,,,,,,,,,SYLVAN,STREET,ST,,,144489,,195,178,178,2014-03-06,-71.06279248060046,42.44686347263546,336401
M_235134_911711,235133.72340000,911711.35160000,BC,3055683,156,FLORENCE STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,156,156,,,,,,,,,FLORENCE,STREET,ST,,,144249,,195,178,178,2014-03-06,-71.0728697721719,42.4551386309786,336402
M_234759_913580,234758.68580000,913580.27120000,BMP,3067963,54,FERDINAND STREET,,,,,1,,,02176,,MELROSE,MELROSE,MA,,54,54,,,,,,,,,FERDINAND,STREET,ST,,,144244,,195,178,178,2014-03-06,-71.07731653865478,42.47198030110299,336100
M_236146_913463,236145.67840000,913463.21560000,BMP,3059193,16,LOVELL ROAD,,,,,,,,02176,,MELROSE,MELROSE,MA,,16,16,,,,,,,,,LOVELL,ROAD,RD,,,144343,,195,178,178,2014-03-06,-71.06045762475239,42.4708634064616,336200
M_235552_911821,235551.58440000,911821.26540000,BMP,3057084,27,WILLOW STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,27,27,,,,,,,,,WILLOW,STREET,ST,,,144562,,195,178,178,2014-03-06,-71.06778303775499,42.45610917604146,336402
M_236128_912008,236127.63220000,912007.51880000,BC,3056989,18,ROWE STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,18,18,,,,,,,,,ROWE,STREET,ST,,,144445,,195,178,178,2014-03-06,-71.0607682222724,42.457759422797395,336200
M_236411_912355,236411.05060000,912354.54460000,BC,3057591,58,ORIENT AVENUE,,,,,,,,02176,,MELROSE,MELROSE,MA,,58,58,,,,,,,,,ORIENT,AVENUE,AVE,,,144401,,195,178,178,2014-03-06,-71.05730064817568,42.46087031409526,336200
M_235884_910754,235884.25660000,910753.96840000,BC,3060253,102,SYLVAN STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,102,102,,,,,,,,,SYLVAN,STREET,ST,,,144489,,195,178,178,2014-03-06,-71.06380501441576,42.44648562026876,336401
M_235099_910932,235098.52180000,910931.87340000,BC,3056095,33,GOULD STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,33,33,,,,,,,,,GOULD,STREET,ST,,,144270,,195,178,178,2014-03-06,-71.07334512111811,42.44812298489207,336402
M_235278_911458,235278.35880000,911458.43780000,BMP,3061371,81,WEST WYOMING AVENUE,,,,,,,,02176,,MELROSE,MELROSE,MA,,81,81,,,,,,,WEST,,WYOMING,AVENUE,AVE,,,144553,,195,178,178,2014-03-06,-71.07112688970814,42.4528552489421,336402
M_235064_910851,235064.04640000,910851.14980000,BMP,3062009,39,GROVELAND ROAD,,,,,,,,02176,,MELROSE,MELROSE,MA,,39,39,,,,,,,,,GROVELAND,ROAD,RD,,,144279,,195,178,178,2014-03-06,-71.07376909783854,42.44739782376457,336401
M_235637_910656,235636.97400000,910655.89600000,BMP,3061898,30,SYLVAN STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,30,30,,,,,,,,,SYLVAN,STREET,ST,,,144489,,195,178,178,2014-03-06,-71.0668168873823,42.445614070352995,336401
M_236057_912457,236056.62700000,912457.49500000,BC,3059532,29,GREEN STREET,,,,,,,,02176,,MELROSE,MELROSE,MA,,29,29,,,,,,,,,GREEN,STREET,ST,,,144272,,195,178,178,2014-03-06,-71.06160335499084,42.46181359913366,336200
M_236074_912775,236074.16560000,912774.69920000,BC,3055134,6,LINDEN ROAD,,,,,,,,02176,,MELROSE,MELROSE,MA,,6,6,,,,,,,,,LINDEN,ROAD,RD,,,144519,,195,178,178,2014-03-06,-71.06137028172314,42.46466839956093,336200
M_235467_910770,235466.56160000,910770.17980000,BC,3060459,17,WOODRUFF AVENUE,,,,,,,,02176,,MELROSE,MELROSE,MA,,17,17,,,,,,,,,WOODRUFF,AVENUE,AVE,,,144574,,195,178,178,2014-03-06,-71.06888126844966,42.44665068111333,336401
M_236236_910905,236236.11020000,910905.30420000,BC,3055539,10,LINWOOD AVENUE,,,,,,,,02176,,MELROSE,MELROSE,MA,,10,10,,,,,,,,,LINWOOD,AVENUE,AVE,,,144339,,195,178,178,2014-03-06,-71.05951859558988,42.4478317391802,336401
M_236818_910972,236817.56280000,910972.11620000,BC,3058554,45,WHITMAN AVENUE,,,,,,,,02176,,MELROSE,MELROSE,MA,,45,45,,,,,,,,,WHITMAN,AVENUE,AVE,,,144555,,195,178,178,2014-03-06,-71.05244640132199,42.448405963328156,336300
