ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_192497_869925,192497.20760000,869924.55520000,BC,1657902,100,PARK STREET,,,,,,,,01756,,MENDON,MENDON,MA,,100,100,,,,,,,,,PARK,STREET,ST,,,75012,,196,179,179,2014-02-05,-71.59067416559576,42.07969064202071,746100
M_192548_872517,192547.87980000,872517.14440000,BMP,1660302,101,HARTFORD AVENUE WEST,,,,,,,,01756,,MENDON,MENDON,MA,,101,101,,,,,,,,,HARTFORD,AVENUE,AVE,WEST,,74962,,196,179,179,2014-02-05,-71.59009486803511,42.10303277378953,746100
M_197296_872424,197296.24200000,872423.96760000,BMP,1660225,11,DANIELS ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,11,11,,,,,,,,,DANIELS,ROAD,RD,,,74941,,196,179,179,2014-02-05,-71.53268755404635,42.10222465307516,746100
M_199329_871444,199328.97040000,871443.86520000,BC,1658117,3,JOSEPH ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,3,3,,,,,,,,,JOSEPH,ROAD,RD,,,74970,,196,179,179,2014-02-05,-71.50811140297485,42.09340495671665,746100
M_197588_870680,197587.98240000,870679.52120000,BC,1658864,25,CEMETERY STREET,,,,,,,,01756,,MENDON,MENDON,MA,,25,25,,,,,,,,,CEMETERY,STREET,ST,,,74934,,196,179,179,2014-02-05,-71.52915329960163,42.086519971144206,746100
M_192749_870814,192748.94860000,870813.65260000,BMP,1660467,20,MOWRY STREET,,,,,,,,01756,,MENDON,MENDON,MA,,20,20,,,,,,,,,MOWRY,STREET,ST,,,74999,,196,179,179,2014-02-05,-71.58764282055382,42.08769775853944,746100
M_199437_871713,199437.20820000,871713.13120000,BC,1659579,13,EDWARD ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,13,13,,,,,,,,,EDWARD,ROAD,RD,,,74947,,196,179,179,2014-02-05,-71.50680328452356,42.0958293029277,746100
M_195863_873843,195862.76840000,873843.46080000,PC,1659410,36,MILFORD STREET,,,,,,,,01756,,MENDON,MENDON,MA,,36,36,,,,,,,,,MILFORD,STREET,ST,,,74989,,196,179,179,2014-02-05,-71.55002784533357,42.11499837750139,746100
M_194414_872318,194414.40460000,872318.12980000,BMP,1659533,10,TAFT AVENUE,,,,,,,,01756,,MENDON,MENDON,MA,,10,10,,,,,,,,,TAFT,AVENUE,AVE,,,75031,,196,179,179,2014-02-05,-71.56752700627736,42.101256531309275,746100
M_194120_874716,194119.92900000,874716.11420000,PC,1660309,108,NORTH AVENUE,,,,,,,,01756,,MENDON,MENDON,MA,,108,108,,,,,,,,,NORTH,AVENUE,AVE,,,75006,,196,179,179,2014-02-05,-71.57111123411798,42.12284389569946,746100
M_194647_871845,194646.50840000,871845.19520000,BC,1658219,63,TAFT AVENUE,,,,,,,,01756,,MENDON,MENDON,MA,,63,63,,,,,,,,,TAFT,AVENUE,AVE,,,75031,,196,179,179,2014-02-05,-71.56471665246893,42.09700022104903,746100
M_197497_871093,197497.05940000,871093.26320000,BMP,1658021,13,HARTFORD AVENUE EAST,,,,,,,,01756,,MENDON,MENDON,MA,,13,13,,,,,,,,,HARTFORD,AVENUE,AVE,EAST,,74961,,196,179,179,2014-02-05,-71.53025403101714,42.090244699366394,746100
M_195573_870096,195572.63640000,870095.59320000,BC,1659239,23,CARPENTER HILL ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,23,23,,,,,,,,,CARPENTER HILL,ROAD,RD,,,74932,,196,179,179,2014-02-05,-71.55350772169687,42.08125393948305,746100
M_196827_870725,196826.65260000,870724.74440000,BC,1659295,18,VINCENT ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,18,18,,,,,,,,,VINCENT,ROAD,RD,,,75043,,196,179,179,2014-02-05,-71.53835549861384,42.08692441346501,746100
M_195984_870810,195984.42940000,870809.50660000,BC,1658982,6,NELSON COURT,,,,,,,,01756,,MENDON,MENDON,MA,,6,6,,,,,,,,,NELSON,COURT,CT,,,75003,,196,179,179,2014-02-05,-71.54853583200673,42.087683684612415,746100
M_194302_868207,194302.30600000,868207.09320000,PC,1659237,224,MILLVILLE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,224,224,,,,,,,,,MILLVILLE,STREET,ST,,,74995,,196,179,179,2014-02-05,-71.56884210777169,42.06424310837428,746100
M_193643_874910,193643.11120000,874909.84740000,BMP,1660658,9,METCALF ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,9,9,,,,,,,,,METCALF,ROAD,RD,,,75062,,196,179,179,2014-02-05,-71.57687978721658,42.12458438605431,746100
M_195447_873956,195447.00200000,873956.05700000,PC,1660714,39,NORTH AVENUE,REAR,,,,,,,01756,,MENDON,MENDON,MA,,39,39,,,,,,,,,NORTH,AVENUE,AVE,,,75006,,196,179,179,2014-02-05,-71.5550562144368,42.11600979676113,746100
M_192917_870760,192917.47620000,870760.05640000,PC,1658049,14A,MOWRY STREET,,,,,,,,01756,,MENDON,MENDON,MA,,14,14,A,,,,,,,,MOWRY,STREET,ST,,,74999,,196,179,179,2014-02-05,-71.585605193498,42.08721676083738,746100
M_193849_874699,193848.64340000,874699.38500000,BC,1660450,19,FOREST PARK DRIVE,,,,,,,,01756,,MENDON,MENDON,MA,,19,19,,,,,,,,,FOREST PARK,DRIVE,DR,,,74952,,196,179,179,2014-02-05,-71.57439187591545,42.12269119648493,746100
M_194572_868501,194571.64300000,868501.38740000,BC,1660471,204,MILLVILLE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,204,204,,,,,,,,,MILLVILLE,STREET,ST,,,74995,,196,179,179,2014-02-05,-71.5655905923398,42.06689462452658,746100
M_197008_871422,197007.92100000,871421.68640000,BMP,1659853,75,PROVIDENCE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,75,75,,,,,,,,,PROVIDENCE,STREET,ST,,,75018,,196,179,179,2014-02-05,-71.53616812259322,42.09319985198298,746100
M_195783_874367,195783.45900000,874366.76280000,BC,1660296,10,DUDLEY ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,10,10,,,,,,,,,DUDLEY,ROAD,RD,,,74945,,196,179,179,2014-02-05,-71.55099064564602,42.11970934119047,746100
M_194317_873491,194317.13160000,873491.21660000,BMP,1659880,60,WASHINGTON STREET,,,,,,,,01756,,MENDON,MENDON,MA,,60,60,,,,,,,,,WASHINGTON,STREET,ST,,,75046,,196,179,179,2014-02-05,-71.56871441187293,42.11181736878197,746100
M_194661_875523,194661.17720000,875522.99540000,BC,1657682,21,HOPEDALE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,21,21,,,,,,,,,HOPEDALE,STREET,ST,,,74967,,196,179,179,2014-02-05,-71.56457298415219,42.13011226397179,746100
M_196614_872136,196613.81280000,872136.36360000,BC,1658631,38,PROVIDENCE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,38,38,,,,,,,,,PROVIDENCE,STREET,ST,,,75018,,196,179,179,2014-02-05,-71.5409362310393,42.09963264195332,746100
M_196606_870671,196605.89440000,870671.34560000,BC,1659658,27,VINCENT ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,27,27,,,,,,,,,VINCENT,ROAD,RD,,,75043,,196,179,179,2014-02-05,-71.54102343988976,42.08644272700637,746100
M_197497_871093,197497.05940000,871093.26320000,BMP,1660805,13,HARTFORD AVENUE EAST,,,,,A,,,01756,,MENDON,MENDON,MA,,13,13,,,,,,,,,HARTFORD,AVENUE,AVE,EAST,,74961,,196,179,179,2014-02-05,-71.53025403101714,42.090244699366394,746100
M_198017_868288,198016.96040000,868287.84100000,BMP,1658521,2,COLONIAL DRIVE,,,,,,,,01756,,MENDON,MENDON,MA,,2,2,,,,,,,,,COLONIAL,DRIVE,DR,,,74937,,196,179,179,2014-02-05,-71.52396025715508,42.06498829509798,746100
M_198249_871743,198249.04080000,871742.52840000,BC,1659390,63,HARTFORD AVENUE EAST,,,,,,,,01756,,MENDON,MENDON,MA,,63,63,,,,,,,,,HARTFORD,AVENUE,AVE,EAST,,74961,,196,179,179,2014-02-05,-71.52116648294718,42.09609221842881,746100
M_194428_871667,194427.64650000,871667.07970000,DBMP,1658463,24,KINSLEY LANE,,,,,,,,01756,,MENDON,MENDON,MA,,24,24,,,,,,,,,KINSLEY,LANE,LN,,,74973,,196,179,179,2016-09-19,-71.56736070266548,42.0953950832808,746100
M_197994_868989,197993.98340000,868988.72380000,BMP,1658516,196,PROVIDENCE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,196,196,,,,,,,,,PROVIDENCE,STREET,ST,,,75018,,196,179,179,2014-02-05,-71.52424028550055,42.07129846157113,746100
M_196180_872717,196180.24780000,872716.96280000,BMP,1661010,9,GEORGE STREET,,,,,A,,,01756,,MENDON,MENDON,MA,,9,9,,,,,,,,,GEORGE,STREET,ST,,,74956,,196,179,179,2014-02-05,-71.5461814762231,42.104857904410345,746100
M_197054_873175,197053.64880000,873175.34740000,BC,1659609,16,BICKNELL DRIVE,,,,,,,,01756,,MENDON,MENDON,MA,,16,16,,,,,,,,,BICKNELL,DRIVE,DR,,,74922,,196,179,179,2014-02-05,-71.53562422047654,42.10898860479016,746100
M_195680_872452,195680.25540000,872451.86080000,BC,1660008,22,EMERSON STREET,,,,,,,,01756,,MENDON,MENDON,MA,,22,22,,,,,,,,,EMERSON,STREET,ST,,,74950,,196,179,179,2014-02-05,-71.55222450847805,42.10246853959365,746100
M_198963_871445,198963.36020000,871445.36000000,BC,1658981,6,MILLBROOK DRIVE,,,,,,,,01756,,MENDON,MENDON,MA,,6,6,,,,,,,,,MILLBROOK,DRIVE,DR,,,74991,,196,179,179,2014-02-05,-71.51253090013266,42.093418016427115,746100
M_197105_870441,197104.67580000,870440.65420000,BC,1657874,4,LUNDVALL ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,4,4,,,,,,,,,LUNDVALL,ROAD,RD,,,74980,,196,179,179,2014-02-05,-71.5349936896948,42.08436776015926,746100
M_197515_872602,197515.37060000,872601.54840000,BC,1659812,35,NECK HILL ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,35,35,,,,,,,,,NECK HILL,ROAD,RD,,,75002,,196,179,179,2014-02-05,-71.53003911691773,42.103824175452594,746100
M_196180_872717,196180.24780000,872716.96280000,BMP,1658350,9,GEORGE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,9,9,,,,,,,,,GEORGE,STREET,ST,,,74956,,196,179,179,2014-02-05,-71.5461814762231,42.104857904410345,746100
M_197817_870739,197817.01680000,870739.05840000,BMP,1660491,5,SWANDALE DRIVE,,,,,,,,01756,,MENDON,MENDON,MA,,5,5,,,,,,,,,SWANDALE,DRIVE,DR,,,75030,,196,179,179,2014-02-05,-71.52638525548987,42.0870566695446,746100
M_195482_873210,195482.33340000,873209.53380000,BC,1658714,9,NORTH AVENUE,,,,,,,,01756,,MENDON,MENDON,MA,,9,9,,,,,,,,,NORTH,AVENUE,AVE,,,75006,,196,179,179,2014-02-05,-71.55462319572413,42.10928890773554,746100
M_194396_873854,194396.11640000,873854.31300000,BMP,1659445,73,WASHINGTON STREET,,,,,,,,01756,,MENDON,MENDON,MA,,73,73,,,,,,,,,WASHINGTON,STREET,ST,,,75046,,196,179,179,2014-02-05,-71.56776285535676,42.11508696442888,746100
M_198249_871743,198249.04080000,871742.52840000,BC,1660949,63,HARTFORD AVENUE EAST,,,,,A,,,01756,,MENDON,MENDON,MA,,63,63,,,,,,,,,HARTFORD,AVENUE,AVE,EAST,,74961,,196,179,179,2014-02-05,-71.52116648294718,42.09609221842881,746100
M_192793_871418,192792.98420000,871417.91900000,BC,1658169,47,MOWRY STREET,,,,,,,,01756,,MENDON,MENDON,MA,,47,47,,,,,,,,,MOWRY,STREET,ST,,,74999,,196,179,179,2014-02-05,-71.58711802622784,42.09313850838465,746100
M_197721_871336,197720.76440000,871336.22140000,BMP,1658899,34,HARTFORD AVENUE EAST,,,,,,,,01756,,MENDON,MENDON,MA,,34,34,,,,,,,,,HARTFORD,AVENUE,AVE,EAST,,74961,,196,179,179,2014-02-05,-71.52755096915303,42.09243278883824,746100
M_197497_871093,197497.05940000,871093.26320000,BMP,1660806,13,HARTFORD AVENUE EAST,,,,,IN-LAW,,,01756,,MENDON,MENDON,MA,,13,13,,,,,,,,,HARTFORD,AVENUE,AVE,EAST,,74961,,196,179,179,2014-02-05,-71.53025403101714,42.090244699366394,746100
M_197484_872686,197483.81020000,872685.62560000,BC,1658693,32,NECK HILL ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,32,32,,,,,,,,,NECK HILL,ROAD,RD,,,75002,,196,179,179,2014-02-05,-71.53042104398868,42.104581039177944,746100
M_195381_873292,195381.43060000,873291.89040000,BC,1658417,14,NORTH AVENUE,,,,,,,,01756,,MENDON,MENDON,MA,,14,14,,,,,,,,,NORTH,AVENUE,AVE,,,75006,,196,179,179,2014-02-05,-71.55584386505946,42.110029792279825,746100
M_194565_873451,194565.01160000,873451.25980000,BC,1659732,47,WASHINGTON STREET,,,,,,,,01756,,MENDON,MENDON,MA,,47,47,,,,,,,,,WASHINGTON,STREET,ST,,,75046,,196,179,179,2014-02-05,-71.56571679945421,42.111459388575454,746100
M_194203_872104,194203.32100000,872104.23040000,DBMP,1659788,60,UXBRIDGE ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,60,60,,,,,,,,,UXBRIDGE,ROAD,RD,,,75042,,196,179,179,2016-09-19,-71.57007677393872,42.09932921722637,746100
M_197431_871459,197430.58650000,871459.00980000,ABC,1659020,4,POWDER HOUSE LANE,,,,,,,,01756,,MENDON,MENDON,MA,,4,4,,,,,,,,,POWDER HOUSE,LANE,LN,,,75016,,196,179,179,2016-09-20,-71.53105912493389,42.093537382416464,746100
M_197598_871459,197597.81930000,871459.38110000,ABC,1659398,7,AMMIDON ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,7,7,,,,,,,,,AMMIDON,ROAD,RD,,,74914,,196,179,179,2016-09-20,-71.52903761298681,42.09354125572213,746100
M_195446_871086,195445.82980000,871085.99640000,BMP,1659089,69,BLACKSTONE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,69,69,,,,,,,,,BLACKSTONE,STREET,ST,,,74923,,196,179,179,2014-02-05,-71.55504799085165,42.09017004024286,746100
M_193499_871331,193499.00120000,871331.26580000,BC,1660044,3,FREEMAN PLACE,,,,,,,,01756,,MENDON,MENDON,MA,,3,3,,,,,,,,,FREEMAN,PLACE,PL,,,74954,,196,179,179,2014-02-05,-71.57858277010531,42.09236452490056,746100
M_197551_870583,197551.33340000,870583.11360000,PC,1657626,122,PROVIDENCE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,122,122,,,,,,,,,PROVIDENCE,STREET,ST,,,75018,,196,179,179,2014-02-05,-71.52959586020941,42.08565187768834,746100
M_197728_868581,197727.99860000,868580.89340000,PC,1659231,215,PROVIDENCE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,215,215,,,,,,,,,PROVIDENCE,STREET,ST,,,75018,,196,179,179,2014-02-05,-71.52745280390849,42.06762593646221,746100
M_195705_872350,195705.28560000,872350.48600000,BC,1660609,19A,BLACKSTONE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,19,19,A,,,,,,,,BLACKSTONE,STREET,ST,,,74923,,196,179,179,2014-02-05,-71.55192115437042,42.101555978689845,746100
M_195564_872819,195564.26420000,872819.30320000,BC,1660263,8,ELM STREET,,,,,,,,01756,,MENDON,MENDON,MA,,8,8,,,,,,,,,ELM,STREET,ST,,,75058,,196,179,179,2014-02-05,-71.5536296024662,42.10577605117278,746100
M_194413_871459,194412.59960000,871458.68000000,BC,1659029,42,KINSLEY LANE,,,,,,,,01756,,MENDON,MENDON,MA,,42,42,,,,,,,,,KINSLEY,LANE,LN,,,74973,,196,179,179,2014-02-05,-71.5675406003618,42.09351870836109,746100
M_197944_871929,197944.26000000,871928.83600000,BC,1659900,8,RUSSELL COURT,,,,,,,,01756,,MENDON,MENDON,MA,,8,8,,,,,,,,,RUSSELL,COURT,CT,,,75025,,196,179,179,2014-02-05,-71.52485148384402,42.097768845904824,746100
M_197762_871122,197762.07100000,871121.80620000,PC,1657734,31A,HARTFORD AVENUE EAST,,,,,,,,01756,,MENDON,MENDON,MA,,31,31,A,,,,,,,,HARTFORD,AVENUE,AVE,EAST,,74961,,196,179,179,2017-04-21,-71.52705084084435,42.09050247989957,746100
M_193018_870313,193017.60200000,870313.18500000,BC,1659851,74,PARK STREET,,,,,,,,01756,,MENDON,MENDON,MA,,74,74,,,,,,,,,PARK,STREET,ST,,,75012,,196,179,179,2014-02-05,-71.58438964786842,42.083194374283224,746100
M_195705_872350,195705.28560000,872350.48600000,BC,1660080,19B,BLACKSTONE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,19,19,B,,,,,,,,BLACKSTONE,STREET,ST,,,74923,,196,179,179,2014-02-05,-71.55192115437042,42.101555978689845,746100
M_195200_870156,195200.07480000,870156.47920000,BC,1658480,29,LOVELL STREET,,,,,,,,01756,,MENDON,MENDON,MA,,29,29,,,,,,,,,LOVELL,STREET,ST,,,74979,,196,179,179,2014-02-05,-71.55801088295009,42.081799917695,746100
M_197997_868638,197997.36640000,868638.44140000,BC,1659632,212,PROVIDENCE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,212,212,,,,,,,,,PROVIDENCE,STREET,ST,,,75018,,196,179,179,2014-02-05,-71.524198205223,42.06814478994667,746100
M_195671_871094,195670.93360000,871093.60980000,BC,1659850,74,BLACKSTONE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,74,74,,,,,,,,,BLACKSTONE,STREET,ST,,,74923,,196,179,179,2014-02-05,-71.55232713258782,42.090239861020336,746100
M_195666_872113,195666.36100000,872112.94840000,BMP,1658692,31,BLACKSTONE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,31,31,,,,,,,,,BLACKSTONE,STREET,ST,,,74923,,196,179,179,2014-02-05,-71.5523899712084,42.09941716334859,746100
M_197515_868734,197514.74380000,868734.14980000,BMP,1658642,4,ROBINSON ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,4,4,,,,,,,,,ROBINSON,ROAD,RD,,,75024,,196,179,179,2014-02-05,-71.53003023322584,42.069005095533846,746100
M_196085_872492,196085.48260000,872491.53040000,BMP,1658747,9,PROVIDENCE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,9,9,,,,,,,,,PROVIDENCE,STREET,ST,,,75018,,196,179,179,2014-02-05,-71.54732569170615,42.10282782227193,746100
M_194416_872171,194416.33860000,872170.63520000,BMP,1660001,21,TAFT AVENUE,,,,,,,,01756,,MENDON,MENDON,MA,,21,21,,,,,,,,,TAFT,AVENUE,AVE,,,75031,,196,179,179,2014-02-05,-71.56750221406071,42.09992862032286,746100
M_192388_869663,192387.81840000,869662.70320000,PC,1658291,98,PARK STREET,,,,,,,,01756,,MENDON,MENDON,MA,,98,98,,,,,,,,,PARK,STREET,ST,,,75012,,196,179,179,2014-02-05,-71.59199276258549,42.07733207232877,746100
M_195135_868281,195135.40980000,868281.03380000,BC,1659296,18,WOOD DRIVE,,,,,,,,01756,,MENDON,MENDON,MA,,18,18,,,,,,,,,WOOD,DRIVE,DR,,,75054,,196,179,179,2014-02-05,-71.5587767911294,42.064914425627215,746100
M_194432_871644,194432.21860000,871644.26980000,BC,1657708,26,KINSLEY LANE,,,,,,,,01756,,MENDON,MENDON,MA,,26,26,,,,,,,,,KINSLEY,LANE,LN,,,74973,,196,179,179,2016-09-19,-71.56730521584976,42.095189753312646,746100
M_197749_870045,197749.41260000,870045.12860000,BC,1659824,4,KING PHILIP PATH,,,,,,,,01756,,MENDON,MENDON,MA,,4,4,,,,,,,,,KING PHILIP,PATH,PATH,,,74972,,196,179,179,2014-02-05,-71.52719969846115,42.08080886663373,746100
M_196121_868677,196121.48860000,868676.74640000,PC,1659803,68,QUISSETT ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,68,68,,,,,,,,,QUISSETT,ROAD,RD,,,75021,,196,179,179,2014-02-05,-71.54686504669324,42.06848262409375,746100
M_194896_872959,194896.08240000,872959.06200000,PC,1660011,22,WASHINGTON STREET,,,,,,,,01756,,MENDON,MENDON,MA,,22,22,,,,,,,,,WASHINGTON,STREET,ST,,,75046,,196,179,179,2014-02-05,-71.56170937475676,42.10703026063201,746100
M_199329_868990,199328.80440000,868990.14240000,BC,1660600,135,BATES STREET,,,,,,,,01756,,MENDON,MENDON,MA,,135,135,,,,,,,,,BATES,STREET,ST,,,74919,,196,179,179,2014-02-05,-71.50811058922922,42.071313512607844,746100
M_197451_872727,197450.77040000,872726.85940000,BC,1657729,30,NECK HILL ROAD,,,,,,,,01756,,MENDON,MENDON,MA,,30,30,,,,,,,,,NECK HILL,ROAD,RD,,,75002,,196,179,179,2014-02-05,-71.53082067933232,42.104952168792806,746100
M_198391_869122,198390.92880000,869122.36340000,PC,1657764,192,PROVIDENCE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,192,192,,,,,,,,,PROVIDENCE,STREET,ST,,,75018,,196,179,179,2014-02-05,-71.51944404852868,42.07250256721143,746100
M_196305_872183,196304.61000000,872182.64240000,PC,1658513,19,PROVIDENCE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,19,19,,,,,,,,,PROVIDENCE,STREET,ST,,,75018,,196,179,179,2014-02-05,-71.5446745321264,42.10004790275826,746100
M_194689_871702,194689.26400000,871702.46380000,PC,1659330,43,MILLVILLE STREET,,,,,,,,01756,,MENDON,MENDON,MA,,43,43,,,,,,,,,MILLVILLE,STREET,ST,,,74995,,196,179,179,2014-02-05,-71.56419849519634,42.09571547044326,746100
M_195912_872722,195912.26160000,872722.21280000,BMP,1660397,24,MAIN STREET,,,,,,,,01756,,MENDON,MENDON,MA,,24,24,,,,,,,,,MAIN,STREET,ST,,,74981,,196,179,179,2014-02-05,-71.54942151261189,42.10490381909547,746100
M_195683_872572,195683.28760000,872571.54130000,BC,1660980,9,BLACKSTONE STREET,,,,,A1,,,01756,,MENDON,MENDON,MA,,9,9,,,,,,,,,BLACKSTONE,STREET,ST,,,74923,,196,179,179,2016-09-20,-71.55218873532841,42.10354606466359,746100
M_195683_872572,195683.28760000,872571.54130000,BC,1660985,9,BLACKSTONE STREET,,,,,A6,,,01756,,MENDON,MENDON,MA,,9,9,,,,,,,,,BLACKSTONE,STREET,ST,,,74923,,196,179,179,2016-09-20,-71.55218873532841,42.10354606466359,746100
