ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_252145_847082,252145.26040000,847081.66560000,PC,2621765,275,WAREHAM STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,275,275,,,,,,,,,WAREHAM,STREET,ST,,,124978,,199,182,182,2014-03-03,-70.87184844050694,41.87233532883774,542101
M_253980_851454,253980.07160000,851453.64980000,BC,2621650,2,STACEY ROAD,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,2,2,,,,,,,,,STACEY,ROAD,RD,,,125051,,199,182,182,2014-03-03,-70.84934506702346,41.91157321692582,542101
M_249028_849145,249028.42420000,849145.22880000,BC,2622113,8,WEBSTER STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,8,8,,,,,,,,,WEBSTER,STREET,ST,,,124987,,199,182,182,2014-03-03,-70.90922102403715,41.891114516335634,542300
M_250639_847887,250639.05460000,847887.12400000,BC,2629173,8,BONNIE WAY,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,8,8,,,,,,,,,BONNIE,WAY,WAY,,,125103,,199,182,182,2014-03-03,-70.88992245220162,41.87968546150889,542200
M_246669_849932,246669.08580000,849932.45420000,BC,2622512,11,MARIE DRIVE,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,11,11,,,,,,,,,MARIE,DRIVE,DR,,,124725,,199,182,182,2014-03-03,-70.93758701010451,41.898345671556406,542300
M_252834_849367,252833.83020000,849367.26480000,BC,2624452,64,CHESTNUT STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,64,64,,,,,,,,,CHESTNUT,STREET,ST,,,125135,,199,182,182,2014-03-03,-70.86334860457958,41.892867034114005,542101
M_247203_849736,247203.12080000,849736.28120000,BC,2624813,1162,CENTER STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,1162,1162,,,,,,,,,CENTER,STREET,ST,,,125129,,199,182,182,2014-03-03,-70.93116726590597,41.896547598467365,542300
M_255286_851524,255285.62620000,851524.00480000,BMP,2622455,1,WALL STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,1,1,,,,,,,,,WALL,STREET,ST,,,124976,,199,182,182,2014-03-03,-70.83360242360858,41.912115883860075,542101
M_251309_847789,251309.43880000,847788.60980000,BMP,2625130,225,WAREHAM STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,225,225,,,,,,,,,WAREHAM,STREET,ST,,,124978,,199,182,182,2014-03-03,-70.88185483372774,41.87875506277576,542200
M_250577_847518,250577.01620000,847517.93800000,BC,2622539,116,EAST GROVE STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,116,116,,,,,,,EAST,,GROVE,STREET,ST,,,124597,,199,182,182,2014-03-03,-70.89070161027979,41.87636559704024,542200
M_242008_853630,242007.50620000,853629.90780000,BC,2622549,118,VERNON STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,118,118,,,,,,,,,VERNON,STREET,ST,,,124966,,199,182,182,2014-03-03,-70.99349810440727,41.93189767687427,542200
M_248762_850082,248762.48360000,850082.34420000,BC,2625920,101,OAK STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,101,101,,,,,,,,,OAK,STREET,ST,,,124772,,199,182,182,2014-03-03,-70.91234763757973,41.899568100214154,542300
M_252322_851984,252322.32120000,851983.66880000,BMP,2625552,63,PLYMPTON STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,63,63,,,,,,,,,PLYMPTON,STREET,ST,,,124820,,199,182,182,2014-03-03,-70.86927897022576,41.916457168203785,542101
M_248471_849078,248470.60040000,849077.80740000,BMP,2621498,14,OAK STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,14,14,,,,,,,,,OAK,STREET,ST,,,124772,,199,182,182,2014-03-03,-70.91594799828111,41.89054209461041,542300
M_248960_850163,248959.88660000,850162.77560000,BC,2623336,6,VALLEY ROAD,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,6,6,,,,,,,,,VALLEY,ROAD,RD,,,124963,,199,182,182,2014-03-03,-70.90996204122875,41.90027997091267,542300
M_247896_848923,247896.07900000,848922.77460000,BMP,2623515,90,WEST STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,90,90,,,,,,,,,WEST,STREET,ST,,,124996,,199,182,182,2014-03-03,-70.92288318591764,41.889181509106805,542300
M_251514_853053,251513.76060000,853052.67100000,BMP,2631177,237,THOMPSON STREET,,,,,RIGHT,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,237,237,,,,,,,,,THOMPSON,STREET,ST,,,125054,,199,182,182,2014-03-03,-70.87893161380883,41.92613498329834,542200
M_255511_850006,255510.64740000,850006.22780000,BC,2622616,131,ROCKY MEADOW STREET,,,,,,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,131,131,,,,,,,,,ROCKY MEADOW,STREET,ST,,,125048,,199,182,182,2014-03-03,-70.8310336730588,41.898435268696225,542101
M_252624_845569,252624.31360000,845568.53260000,BC,2631348,3,ABBEY LANE,,,,,1,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,3,3,,,,,,,,,ABBEY,LANE,LN,,,125177,,199,182,182,2014-03-03,-70.86621332321967,41.85868038965855,542102
M_252624_845569,252624.31360000,845568.53260000,BC,2631350,3,ABBEY LANE,,,,,3,,,02346,,MIDDLEBOROUGH,MIDDLEBOROUGH,MA,,3,3,,,,,,,,,ABBEY,LANE,LN,,,125177,,199,182,182,2014-03-03,-70.86621332321967,41.85868038965855,542102
