ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_73228_903610,73228.06020000,903609.84880000,BMP,663122,51,SKYLINE TRAIL,,,,,,,,01235,,MIDDLEFIELD,MIDDLEFIELD,MA,,51,51,,,,,,,,,SKYLINE,TRAIL,TRL,,,25542,,200,183,183,2014-04-17,-73.0392690878916,42.37269721430851,822700
M_78306_900523,78306.39720000,900522.88980000,BMP,663125,69,CLARK WRIGHT ROAD,,,,,,,,01011,,MIDDLEFIELD,MIDDLEFIELD,MA,,69,69,,,,,,,,,CLARK WRIGHT,ROAD,RD,,,25508,,200,183,183,2014-04-17,-72.9769713731158,42.34571865051969,822700
M_73711_900106,73711.32000000,900106.20720000,BMP,662857,70,TOWN HILL ROAD,,,,,,,,01235,,MIDDLEFIELD,MIDDLEFIELD,MA,,70,70,,,,,,,,,TOWN HILL,ROAD,RD,,,25544,,200,183,183,2014-04-17,-73.03263827733386,42.34123812392203,822700
M_76954_902158,76954.42420000,902158.26060000,BC,662917,107,CHIPMAN ROAD,,,,,,,,01011,,MIDDLEFIELD,MIDDLEFIELD,MA,,107,107,,,,,,,,,CHIPMAN,ROAD,RD,,,25507,,200,183,183,2014-04-17,-72.9937242191488,42.360227384045224,822700
M_75683_900360,75682.87060000,900360.45880000,BMP,662889,192,SKYLINE TRAIL,,,,,,,,01235,,MIDDLEFIELD,MIDDLEFIELD,MA,,192,192,,,,,,,,,SKYLINE,TRAIL,TRL,,,25542,,200,183,183,2014-04-17,-73.00877116140298,42.343843172206064,822700
M_74056_902258,74056.39180000,902257.77720000,BMP,662916,104,SKYLINE TRAIL,,,,,,,,01235,,MIDDLEFIELD,MIDDLEFIELD,MA,,104,104,,,,,,,,,SKYLINE,TRAIL,TRL,,,25542,,200,183,183,2014-04-17,-73.02891938077792,42.36066091058162,822700
M_74214_897128,74214.08940000,897128.04580000,BC,663028,172,TOWN HILL ROAD,,,,,,,,01235,,MIDDLEFIELD,MIDDLEFIELD,MA,,172,172,,,,,,,,,TOWN HILL,ROAD,RD,,,25544,,200,183,183,2014-04-17,-73.02589147210605,42.314511653937615,822700
M_74430_900500,74430.39400000,900499.57140000,BC,662823,11,HARRY PEASE ROAD,,,,,,,,01235,,MIDDLEFIELD,MIDDLEFIELD,MA,,11,11,,,,,,,,,HARRY PEASE,ROAD,RD,,,25514,,200,183,183,2014-04-17,-73.02399875050665,42.344894929268136,822700
M_76687_899211,76686.75660000,899211.43200000,BC,663115,241,SKYLINE TRAIL,,,,,,,,01235,,MIDDLEFIELD,MIDDLEFIELD,MA,,241,241,,,,,,,,,SKYLINE,TRAIL,TRL,,,25542,,200,183,183,2014-04-17,-72.9963454249367,42.33365949047473,822700
M_76150_899711,76149.88020000,899711.17220000,BMP,663034,217,SKYLINE TRAIL,,,,,,,,01235,,MIDDLEFIELD,MIDDLEFIELD,MA,,217,217,,,,,,,,,SKYLINE,TRAIL,TRL,,,25542,,200,183,183,2014-04-17,-73.00296565197633,42.33807289581498,822700
