ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_239034_925782,239033.94200000,925781.84100000,BMP,665584,133,BOSTON STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,133,133,,,,,,,,,BOSTON,STREET,ST,,,25572,,201,184,184,2013-12-10,-71.02450109579654,42.58161964575534,212100
M_238363_926052,238362.78380000,926052.03320000,BMP,666616,4,ERIN WAY,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,4,4,,,,,,,,,ERIN,WAY,WAY,,,25613,,201,184,184,2013-12-10,-71.03265873014469,42.584085343527235,212100
M_239911_927388,239910.55640000,927387.90620000,BC,664472,9,WASHINGTON STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,9,9,,,,,,,,,WASHINGTON,STREET,ST,,,25828,,201,184,184,2013-12-10,-71.01371115030403,42.596033125163274,212100
M_239169_926130,239168.84800000,926130.23620000,BC,663153,103,BOSTON STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,103,103,,,,,,,,,BOSTON,STREET,ST,,,25572,,201,184,184,2013-12-10,-71.02283400669853,42.584749160719795,212100
M_239319_925882,239318.77560000,925881.53480000,BC,663294,16,CURTIS AVENUE,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,16,16,,,,,,,,,CURTIS,AVENUE,AVE,,,25594,,201,184,184,2013-12-10,-71.02102459779321,42.58250275550098,212100
M_239239_927683,239238.61420000,927683.03440000,BMP,663881,72,NORTH MAIN STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,72,72,,,,,,,NORTH,,MAIN,STREET,ST,,,25717,,201,184,184,2013-12-10,-71.02187807792774,42.59872409051413,212100
M_240624_927661,240624.44560000,927660.78680000,BC,664509,6,POLLOCK DRIVE,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,6,6,,,,,,,,,POLLOCK,DRIVE,DR,,,25747,,201,184,184,2013-12-10,-71.00499368910965,42.59845265043538,212100
M_238436_928492,238436.43520000,928491.80220000,BC,664620,175,NORTH MAIN STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,175,175,,,,,,,NORTH,,MAIN,STREET,ST,,,25717,,201,184,184,2013-12-10,-71.03159830134426,42.6060447467839,212100
M_240805_929939,240805.09540000,929938.67340000,BC,665320,4,ROSS LANE,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,4,4,,,,,,,,,ROSS,LANE,LN,,,25755,,201,184,184,2013-12-10,-71.00263068691451,42.61894882748345,212100
M_240472_929050,240471.80440000,929050.37500000,BMP,666619,4,LAKEVIEW ROAD,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,4,4,,,,,,,,,LAKEVIEW,ROAD,RD,,,25671,,201,184,184,2013-12-10,-71.00675565853057,42.610969762650406,212100
M_240658_927641,240657.56200000,927641.40560000,BC,666750,8,POLLOCK DRIVE,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,8,8,,,,,,,,,POLLOCK,DRIVE,DR,,,25747,,201,184,184,2013-12-10,-71.00459154855253,42.59827644864661,212100
M_239742_926011,239742.25520000,926011.29800000,BC,663708,14,FULLER ROAD,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,14,14,,,,,,,,,FULLER,ROAD,RD,,,25813,,201,184,184,2013-12-10,-71.01585697097218,42.58364937663668,212100
M_241819_927686,241819.07580000,927685.90240000,PC,666241,9,BAILEY LANE,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,9,9,,,,,,,,,BAILEY,LANE,LN,,,25558,,201,184,184,2013-12-10,-70.99043570852457,42.598615413797205,212100
M_240414_924519,240414.33600000,924519.04150000,BC,665056,1,PEACHEY CIRCLE,,COBBLESTONE PARK,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,1,1,,,,,,,,,PEACHEY,CIRCLE,CIR,,,25735,20931,201,184,184,2016-10-21,-71.00777471903686,42.570181255695765,212100
M_238780_928000,238779.62060000,927999.76040000,BC,664690,148,NORTH MAIN STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,148,148,,,,,,,NORTH,,MAIN,STREET,ST,,,25717,,201,184,184,2013-12-10,-71.02744941211353,42.601598309813994,212100
M_239640_927155,239639.89560000,927155.40200000,BC,663743,16,PLEASANT STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,16,16,,,,,,,,,PLEASANT,STREET,ST,,,25745,,201,184,184,2013-12-10,-71.01702497799995,42.5939539456033,212100
M_240823_928098,240822.91120000,928098.03980000,BC,664458,65,LIBERTY STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,65,65,,,,,,,,,LIBERTY,STREET,ST,,,25677,,201,184,184,2013-12-10,-71.00254438043311,42.602378437155956,212100
M_239292_925412,239292.20760000,925411.52460000,BC,665091,18,GALEUCIA ROAD,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,18,18,,,,,,,,,GALEUCIA,ROAD,RD,,,25635,,201,184,184,2013-12-10,-71.02138036592918,42.578273004866226,212100
M_239623_925979,239622.65260000,925979.22480000,BMP,666503,22,FULLER ROAD,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,22,22,,,,,,,,,FULLER,ROAD,RD,,,25813,,201,184,184,2013-12-10,-71.01731615836954,42.583366751962835,212100
M_240750_927884,240750.00460000,927883.82880000,BC,663477,48,LIBERTY STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,48,48,,,,,,,,,LIBERTY,STREET,ST,,,25677,,201,184,184,2013-12-10,-71.00344797385543,42.60045392027767,212100
M_241362_928120,241361.84600000,928120.26740000,BC,666586,7,DEVONSHIRE ROAD,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,7,7,,,,,,,,,DEVONSHIRE,ROAD,RD,,,25603,,201,184,184,2013-12-10,-70.99597563571032,42.60255004957344,212100
M_237722_929335,237722.47200000,929335.66940000,BC,664121,18,CRANBERRY LANE,,NORTH MEADOW VILLAGE,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,18,18,,,,,,,,,CRANBERRY,LANE,LN,,,25590,17769,201,184,184,2016-10-24,-71.04024334103339,42.61367625981477,212100
M_242320_928358,242320.45760000,928358.28940000,PC,664102,10,NATHAN LANE,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,10,10,,,,,,,,,NATHAN,LANE,LN,,,25709,,201,184,184,2013-12-10,-70.98427699642647,42.60464115057662,212100
M_241919_929037,241918.90320000,929037.35880000,ABC,666397,11,TOWNE ROAD,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,11,11,,,,,,,,,TOWNE,ROAD,RD,,,25794,,201,184,184,2013-12-10,-70.98912071300877,42.61077591207697,212100
M_237722_929335,237722.47200000,929335.66940000,BC,665613,16,CRANBERRY LANE,,NORTH MEADOW VILLAGE,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,16,16,,,,,,,,,CRANBERRY,LANE,LN,,,25590,17769,201,184,184,2016-10-24,-71.04024334103339,42.61367625981477,212100
M_240414_924519,240414.33600000,924519.04150000,BC,664318,3,PEACHEY CIRCLE,,COBBLESTONE PARK,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,3,3,,,,,,,,,PEACHEY,CIRCLE,CIR,,,25735,20931,201,184,184,2016-10-21,-71.00777471903686,42.570181255695765,212100
M_240414_924519,240414.33600000,924519.04150000,BC,663934,5,PEACHEY CIRCLE,,COBBLESTONE PARK,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,5,5,,,,,,,,,PEACHEY,CIRCLE,CIR,,,25735,20931,201,184,184,2016-10-21,-71.00777471903686,42.570181255695765,212100
M_241815_928674,241815.38580000,928673.53090000,ABC,4218280,5,NORMA WAY,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,5,5,,,,,,,,,NORMA,WAY,WAY,,,25714,,201,184,184,2016-01-20,-70.99040877376,42.60750629504907,212100
M_238620_925807,238619.67320000,925807.41980000,BMP,665036,11,SERGEANT ROODE LANE,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,11,11,,,,,,,,,SERGEANT ROODE,LANE,LN,,,25765,,201,184,184,2013-12-10,-71.02954576335354,42.5818705890843,212100
M_239007_928325,239007.06940000,928324.83120000,BMP,663974,61,ESSEX STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,61,61,,,,,,,,,ESSEX,STREET,ST,,,25614,,201,184,184,2013-12-10,-71.02465580820925,42.604513243898495,212100
M_238715_928038,238715.43100000,928038.04520000,BC,663728,150,NORTH MAIN STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,150,150,,,,,,,NORTH,,MAIN,STREET,ST,,,25717,,201,184,184,2013-12-10,-71.02822900074266,42.60194615126141,212100
M_240094_926191,240093.58600000,926190.89600000,BC,666542,3,EDGEWOOD ROAD,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,3,3,,,,,,,,,EDGEWOOD,ROAD,RD,,,25610,,201,184,184,2013-12-10,-71.01156459846996,42.58524810708575,212100
M_240107_926244,240107.20940000,926244.47000000,BC,665373,6,MEADOW DRIVE,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,6,6,,,,,,,,,MEADOW,DRIVE,DR,,,25694,,201,184,184,2013-12-10,-71.01139489801434,42.585729683793495,212100
M_240821_928282,240821.45900000,928282.14180000,BC,665717,79,LIBERTY STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,79,79,,,,,,,,,LIBERTY,STREET,ST,,,25677,,201,184,184,2013-12-10,-71.00254899255316,42.60403581043735,212100
M_236438_928272,236437.77480000,928272.06120000,BC,664804,2,EDGEMERE ROAD,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,2,2,,,,,,,,,EDGEMERE,ROAD,RD,,,25609,,201,184,184,2013-12-10,-71.05596826056912,42.604162855086656,212100
M_241086_927676,241086.44700000,927675.97680000,BC,665892,11,CAMPBELL ROAD,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,11,11,,,,,,,,,CAMPBELL,ROAD,RD,,,25581,,201,184,184,2013-12-10,-70.99936327336084,42.59856511821881,212100
M_240158_926071,240158.44840000,926070.79580000,BC,666349,10,EDGEWOOD ROAD,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,10,10,,,,,,,,,EDGEWOOD,ROAD,RD,,,25610,,201,184,184,2013-12-10,-71.01078282880493,42.584163605160924,212100
M_238694_927861,238693.73120000,927861.06800000,BC,663472,46,FOREST STREET,,,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,46,46,,,,,,,,,FOREST,STREET,ST,,,25628,,201,184,184,2013-12-10,-71.028505341447,42.60035406851249,212100
M_237722_929335,237722.47200000,929335.66940000,BC,663705,14,CRANBERRY LANE,,NORTH MEADOW VILLAGE,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,14,14,,,,,,,,,CRANBERRY,LANE,LN,,,25590,17769,201,184,184,2016-10-24,-71.04024334103339,42.61367625981477,212100
M_237722_929335,237722.47200000,929335.66940000,BC,664648,12,CRANBERRY LANE,,NORTH MEADOW VILLAGE,,,,,,01949,,MIDDLETON,MIDDLETON,MA,,12,12,,,,,,,,,CRANBERRY,LANE,LN,,,25590,17769,201,184,184,2016-10-24,-71.04024334103339,42.61367625981477,212100
