ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_197570_876666,197570.46760000,876665.77180000,BMP,4202955,75,WEST STREET,,,,,,,,01757,,MILFORD,MILFORD,MA,,75,75,,,,,,,,,WEST,STREET,ST,,,76484,,202,185,185,2015-01-22,-71.5293899260251,42.140415294752074,744400
M_199364_877610,199364.41600000,877610.01460000,BC,4198983,125,EAST MAIN STREET,,,,,,,,01757,,MILFORD,MILFORD,MA,,125,125,,,,,,,EAST,,MAIN,STREET,ST,,,76098,,202,185,185,2015-01-22,-71.50768965636196,42.14891996684958,744200
M_199056_877854,199055.72580000,877854.28570000,BC,1681391,29,CEDARVIEW CIRCLE,,,,,,,,01757,,MILFORD,MILFORD,MA,,29,29,,,,,,,,,CEDARVIEW,CIRCLE,CIR,,,76029,,202,185,185,2016-03-21,-71.51142476160203,42.151118863458706,744200
M_199056_877854,199055.72580000,877854.28570000,BC,1685902,27,CEDARVIEW CIRCLE,,,,,,,,01757,,MILFORD,MILFORD,MA,,27,27,,,,,,,,,CEDARVIEW,CIRCLE,CIR,,,76029,,202,185,185,2016-03-21,-71.51142476160203,42.151118863458706,744200
M_197779_881908,197779.17940000,881907.98560000,BC,1688674,62,HAVEN STREET,,,,,,,,01757,,MILFORD,MILFORD,MA,,62,62,,,,,,,,,HAVEN,STREET,ST,,,76170,,202,185,185,2014-02-05,-71.52688513871819,42.18761221254046,744101
M_198466_877682,198465.92660000,877681.57040000,BC,1687401,66,SUMNER STREET,,,,,,,,01757,,MILFORD,MILFORD,MA,,66,66,,,,,,,,,SUMNER,STREET,ST,,,76426,,202,185,185,2014-02-05,-71.51856027976957,42.149562949399524,744200
M_198856_876985,198855.83540000,876984.55260000,BMP,1695243,5,POND STREET,,,,,2,,,01757,,MILFORD,MILFORD,MA,,5,5,,,,,,,,,POND,STREET,ST,,,76322,,202,185,185,2014-02-05,-71.51384152536852,42.14328826067616,744300
M_197570_876666,197570.46760000,876665.77180000,BMP,1696349,73,WEST STREET,,,,,1,,,01757,,MILFORD,MILFORD,MA,,73,73,,,,,,,,,WEST,STREET,ST,,,76484,,202,185,185,2014-02-05,-71.5293899260251,42.140415294752074,744400
M_197570_876666,197570.46760000,876665.77180000,BMP,1696352,73,WEST STREET,,,,,R,,,01757,,MILFORD,MILFORD,MA,,73,73,,,,,,,,,WEST,STREET,ST,,,76484,,202,185,185,2014-02-05,-71.5293899260251,42.140415294752074,744400
M_198255_876178,198254.64400000,876178.25080000,BC,1695341,34,SOUTH MAIN STREET,,,,,2,,,01757,,MILFORD,MILFORD,MA,,34,34,,,,,,,SOUTH,,MAIN,STREET,ST,,,76407,,202,185,185,2014-02-05,-71.52111202067843,42.13602788826342,744300
