ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_211885_880285,211885.45540000,880284.55220000,BC,1707729,90,IRVING STREET,,,,,,,,02054,,MILLIS,MILLIS,MA,,90,90,,,,,,,,,IRVING,STREET,ST,,,77027,,204,187,187,2014-02-05,-71.35614857158374,42.17290919805625,407100
M_210432_881664,210432.38360000,881664.16580000,BMP,1707153,204,RIDGE STREET,,,,,,,,02054,,MILLIS,MILLIS,MA,,204,204,,,,,,,,,RIDGE,STREET,ST,,,77079,,204,187,187,2014-02-05,-71.37371056489329,42.185350700119024,407100
M_211638_880656,211638.25960000,880655.83420000,BC,1708803,8,SHANNON LANE,,,,,A,,,02054,,MILLIS,MILLIS,MA,,8,8,,,,,,,,,SHANNON,LANE,LN,,,77090,,204,187,187,2014-02-05,-71.35913299215271,42.17625559992134,407100
M_211722_877362,211721.88980000,877361.51140000,BC,1707004,176,PLEASANT STREET,,,,,,,,02054,,MILLIS,MILLIS,MA,,176,176,,,,,,,,,PLEASANT,STREET,ST,,,77075,,204,187,187,2014-02-05,-71.35818704592819,42.14659518351911,407100
M_211885_880285,211885.45540000,880284.55220000,BC,1708864,90,IRVING STREET,,,,,A,,,02054,,MILLIS,MILLIS,MA,,90,90,,,,,,,,,IRVING,STREET,ST,,,77027,,204,187,187,2014-02-05,-71.35614857158374,42.17290919805625,407100
M_211769_880508,211768.84040000,880508.20380000,BC,1705620,15,MORSE AVENUE,,,,,,,,02054,,MILLIS,MILLIS,MA,,15,15,,,,,,,,,MORSE,AVENUE,AVE,,,77054,,204,187,187,2014-02-05,-71.35755545707094,42.17492451704088,407100
M_211733_877882,211732.62540000,877881.87360000,BC,1706141,5,APPLE ROCK ROAD,,,,,,,,02054,,MILLIS,MILLIS,MA,,5,5,,,,,,,,,APPLE ROCK,ROAD,RD,,,76957,,204,187,187,2014-02-05,-71.3580466883934,42.15127991317371,407100
M_211168_879374,211168.31980000,879373.99700000,BC,1705877,1031,MAIN STREET,,,,,,,,02054,,MILLIS,MILLIS,MA,,1031,1031,,,,,,,,,MAIN,STREET,ST,,,77042,,204,187,187,2014-02-05,-71.36484561751999,42.16472193358119,407100
M_209792_882364,209792.09480000,882364.30140000,BC,1707487,128,MIDDLESEX STREET,,,,,,,,02054,,MILLIS,MILLIS,MA,,128,128,,,,,,,,,MIDDLESEX,STREET,ST,,,77050,,204,187,187,2014-02-05,-71.38144980405056,42.19166234903047,407100
M_211729_880067,211728.99100000,880067.16640000,BMP,1706588,98,CURVE STREET,,,,,,,,02054,,MILLIS,MILLIS,MA,,98,98,,,,,,,,,CURVE,STREET,ST,,,76995,,204,187,187,2014-02-05,-71.35804665859676,42.17095441204462,407100
