ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_79305_942799,79304.82120000,942799.14380000,BC,668224,117,MAIN ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,117,117,,,,,,,,,MAIN,ROAD,RD,,,25854,,207,190,190,2013-12-10,-72.9737203992535,42.72640362220522,040100
M_81936_942114,81936.45160000,942114.45020000,BC,668213,1,COMAI STREET,,,,,,,,01350,,MONROE,MONROE,MA,,1,1,,,,,,,,,COMAI,STREET,ST,,,25846,,207,190,190,2013-12-10,-72.94145240429421,42.720645801013866,040100
M_79035_942558,79034.55340000,942558.22300000,BC,668214,112,MAIN ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,112,112,,,,,,,,,MAIN,ROAD,RD,,,25854,,207,190,190,2013-12-10,-72.9769688495183,42.724193130876394,040100
M_81930_942327,81930.28000000,942327.39480000,BMP,668218,3,SCHOOL STREET,,,,,,,,01350,,MONROE,MONROE,MA,,3,3,,,,,,,,,SCHOOL,STREET,ST,,,25870,,207,190,190,2013-12-10,-72.94157167544179,42.722561489144894,040100
M_81930_942327,81930.28000000,942327.39480000,BMP,668157,0,SCHOOL STREET,,,,,,,,01350,,MONROE,MONROE,MA,,0,0,,,,,,,,,SCHOOL,STREET,ST,,,25870,,207,190,190,2013-12-10,-72.94157167544179,42.722561489144894,040100
M_81930_942327,81930.28000000,942327.39480000,BMP,668168,3C,SCHOOL STREET,,,MONROE TOWN HALL,,,,,01350,,MONROE,MONROE,MA,,3,3,C,,,,,,,,SCHOOL,STREET,ST,,,25870,,207,190,190,2016-11-07,-72.94157167544179,42.722561489144894,040100
M_75716_942822,75715.74640000,942821.87840000,BC,668220,9,MAIN ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,9,9,,,,,,,,,MAIN,ROAD,RD,,,25854,,207,190,190,2013-12-10,-73.01753978663211,42.726041759959344,040100
M_81400_942226,81399.85920000,942226.38740000,BC,668228,143,RIVER ROAD,,,,,,,,01350,,MONROE,MONROE,MA,,143,143,,,,,,,,,RIVER,ROAD,RD,,,25869,,207,190,190,2013-12-10,-72.94802566996309,42.72157148926551,040100
M_82129_942309,82128.75620000,942309.18720000,BMP,668245,19,DEPOT STREET,,,,,,,,01350,,MONROE,MONROE,MA,,19,19,,,,,,,,,DEPOT,STREET,ST,,,25849,,207,190,190,2013-12-10,-72.93914509103871,42.72242777912643,040100
M_81142_942953,81141.86740000,942953.33120000,BMP,668254,10,WILLEY ROAD,,,,,,,,01350,,MONROE,MONROE,MA,,10,10,,,,,,,,,WILLEY,ROAD,RD,,,25877,,207,190,190,2013-12-10,-72.95132596737164,42.72807492521002,040100
M_75402_942510,75402.09580000,942509.94640000,BMP,668180,2,MAIN ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,2,2,,,,,,,,,MAIN,ROAD,RD,,,25854,,207,190,190,2013-12-10,-73.02130079848102,42.723183942638165,040100
M_81967_942237,81967.47300000,942237.08640000,BC,668247,3,DEPOT STREET,,,,,,,,01350,,MONROE,MONROE,MA,,3,3,,,,,,,,,DEPOT,STREET,ST,,,25849,,207,190,190,2013-12-10,-72.9410990268275,42.721754317712694,040100
M_81938_942181,81938.17080000,942181.20020000,BC,668200,8,DEPOT STREET,,,,,,,,01350,,MONROE,MONROE,MA,,8,8,,,,,,,,,DEPOT,STREET,ST,,,25849,,207,190,190,2013-12-10,-72.94144518931219,42.7212468520431,040100
M_79042_943272,79042.35780000,943271.64360000,BMP,668222,103,NORTH ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,103,103,,,,,,,,,NORTH,ROAD,RD,,,25863,,207,190,190,2013-12-10,-72.97702440233111,42.730615495315114,040100
M_81210_942249,81209.57580000,942248.67020000,BMP,668241,147,RIVER ROAD,,,,,,,,01350,,MONROE,MONROE,MA,,147,147,,,,,,,,,RIVER,ROAD,RD,,,25869,,207,190,190,2013-12-10,-72.9503530767716,42.721742946198965,040100
M_81136_944057,81136.05780000,944057.07820000,PC,668196,179,MAIN ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,179,179,,,,,,,,,MAIN,ROAD,RD,,,25854,,207,190,190,2013-12-10,-72.95162623747042,42.73800835142509,040100
M_81809_942265,81808.78700000,942264.89420000,BC,668240,131,RIVER ROAD,,,,,,,,01350,,MONROE,MONROE,MA,,131,131,,,,,,,,,RIVER,ROAD,RD,,,25869,,207,190,190,2013-12-10,-72.94304185180854,42.721980454737505,040100
M_81927_942211,81927.13880000,942210.84720000,BC,668208,4,DEPOT STREET,,,,,,,,01350,,MONROE,MONROE,MA,,4,4,,,,,,,,,DEPOT,STREET,ST,,,25849,,207,190,190,2013-12-10,-72.94158597301863,42.721512014295726,040100
M_80282_943293,80282.30440000,943292.85600000,BMP,668229,146,MAIN ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,146,146,,,,,,,,,MAIN,ROAD,RD,,,25854,,207,190,190,2013-12-10,-72.96189072468138,42.730998701019665,040100
M_79564_942872,79563.93480000,942871.88620000,BMP,668255,123,MAIN ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,123,123,,,,,,,,,MAIN,ROAD,RD,,,25854,,207,190,190,2013-12-10,-72.97057249235989,42.72709859687009,040100
M_81759_942276,81758.88240000,942275.97820000,BMP,668258,135,RIVER ROAD,,,,,,,,01350,,MONROE,MONROE,MA,,135,135,,,,,,,,,RIVER,ROAD,RD,,,25869,,207,190,190,2013-12-10,-72.94365333013059,42.72207261579993,040100
M_80184_942974,80184.22240000,942974.28400000,BMP,668160,11,THAYER ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,11,11,,,,,,,,,THAYER,ROAD,RD,,,25872,,207,190,190,2013-12-10,-72.96302146579733,42.72811624727444,040100
M_78823_942300,78822.56100000,942299.71700000,BC,668234,98,MAIN ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,98,98,,,,,,,,,MAIN,ROAD,RD,,,25854,,207,190,190,2013-12-10,-72.97950198186717,42.72183337174626,040100
M_76008_942852,76008.30580000,942852.07380000,BMP,668215,12,MAIN ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,12,12,,,,,,,,,MAIN,ROAD,RD,,,25854,,207,190,190,2013-12-10,-73.0139748625797,42.72636032954206,040100
M_81819_942263,81818.57660000,942263.22420000,BC,668226,129,RIVER ROAD,,,,,,,,01350,,MONROE,MONROE,MA,,129,129,,,,,,,,,RIVER,ROAD,RD,,,25869,,207,190,190,2013-12-10,-72.94292200473836,42.721966914524266,040100
M_80561_943366,80561.07540000,943365.51420000,BMP,668249,4,KINGSLEY HILL ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,4,4,,,,,,,,,KINGSLEY HILL,ROAD,RD,,,25853,,207,190,190,2013-12-10,-72.95850244419975,42.731695620748475,040100
M_81185_943755,81184.64540000,943754.84880000,BC,668262,175,MAIN ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,175,175,,,,,,,,,MAIN,ROAD,RD,,,25854,,207,190,190,2013-12-10,-72.95097019461222,42.73529556918665,040100
M_80096_942854,80095.63040000,942854.14320000,BC,668219,8,THAYER ROAD,,,,,,,,01247,,MONROE,MONROE,MA,,8,8,,,,,,,,,THAYER,ROAD,RD,,,25872,,207,190,190,2013-12-10,-72.9640778361663,42.72702123305219,040100
M_81955_942258,81954.92840000,942258.45340000,BC,668276,117,READSBORO ROAD,,,,,2,,,01350,,MONROE,MONROE,MA,,117,117,,,,,,,,,READSBORO,ROAD,RD,,,25868,,207,190,190,2013-12-10,-72.94125656658814,42.72194472540111,040100
M_81955_942258,81954.92840000,942258.45340000,BC,668236,117,READSBORO ROAD,,,,,,,,01350,,MONROE,MONROE,MA,,117,117,,,,,,,,,READSBORO,ROAD,RD,,,25868,,207,190,190,2013-12-10,-72.94125656658814,42.72194472540111,040100
M_82012_942236,82012.36920000,942236.05520000,BC,668158,1,DEPOT STREET,,,,,,,,01350,,MONROE,MONROE,MA,,1,1,,,,,,,,,DEPOT,STREET,ST,,,25849,,207,190,190,2013-12-10,-72.94055076557629,42.721751862902195,040100
