ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_132063_873376,132062.95120000,873375.87800000,BMP,1078693,26,FLYNT AVENUE,,,,,,,,01057,,MONSON,MONSON,MA,,26,26,,,,,,,,,FLYNT,AVENUE,AVE,,,48212,,208,191,191,2013-12-30,-72.32142228098873,42.10785436194048,813702
M_132141_870647,132140.85000000,870646.55860000,PC,1079124,5,BUMSTEAD ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,5,5,,,,,,,,,BUMSTEAD,ROAD,RD,,,48183,,208,191,191,2013-12-30,-72.32016316833372,42.083289589122124,813702
M_128642_868477,128641.52960000,868477.21240000,BC,1077132,380,LOWER HAMPDEN ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,380,380,,,,,,,,,LOWER HAMPDEN,ROAD,RD,,,48243,,208,191,191,2013-12-30,-72.36218902444377,42.063448684691075,813702
M_132622_877413,132622.28840000,877412.72660000,BMP,1077149,6,HOSPITAL ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,6,6,,,,,,,,,HOSPITAL,ROAD,RD,,,48230,,208,191,191,2013-12-30,-72.31512621438725,42.144245465804495,813702
M_132598_877426,132597.70920000,877426.19080000,BMP,1078042,8,HOSPITAL ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,8,8,,,,,,,,,HOSPITAL,ROAD,RD,,,48230,,208,191,191,2013-12-30,-72.31542510918064,42.14436456541326,813702
M_134079_873512,134079.04640000,873511.56460000,BC,1079752,112,CARPENTER ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,112,112,,,,,,,,,CARPENTER,ROAD,RD,,,48186,,208,191,191,2013-12-30,-72.29706258064871,42.10924812805227,813701
M_132910_874114,132909.68980000,874113.51420000,BC,1077643,96,BETHANY ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,96,96,,,,,,,,,BETHANY,ROAD,RD,,,48170,,208,191,191,2013-12-30,-72.31126986818911,42.114568102779785,813701
M_132069_873344,132069.20200000,873344.49880000,BMP,1078654,24,FLYNT AVENUE,,,,,,,,01057,,MONSON,MONSON,MA,,24,24,,,,,,,,,FLYNT,AVENUE,AVE,,,48212,,208,191,191,2013-12-30,-72.32134305436955,42.10757240366505,813702
M_132780_872020,132779.57480000,872019.73060000,BC,1080804,229,MAIN STREET,,,,,B,,,01057,,MONSON,MONSON,MA,,229,229,,,,,,,,,MAIN,STREET,ST,,,48244,,208,191,191,2013-12-30,-72.31260195268611,42.09570704033806,813702
M_132678_871939,132678.43640000,871938.57380000,BC,1077011,19,GREEN STREET,,,,,,,,01057,,MONSON,MONSON,MA,,19,19,,,,,,,,,GREEN,STREET,ST,,,48217,,208,191,191,2013-12-30,-72.31381514168704,42.09496771988539,813702
M_133664_869922,133663.79620000,869922.02300000,BMP,1077079,47,BLANCHARD ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,47,47,,,,,,,,,BLANCHARD,ROAD,RD,,,48172,,208,191,191,2013-12-30,-72.30167524310778,42.07689707157875,813701
M_130667_871781,130666.51340000,871781.20660000,BC,1077740,14,LAKESIDE DRIVE,,,,,,,,01057,,MONSON,MONSON,MA,,14,14,,,,,,,,,LAKESIDE,DRIVE,DR,,,48238,,208,191,191,2013-12-30,-72.33811599127098,42.09337557224333,813702
M_134205_875705,134205.01040000,875705.07240000,BC,1079361,107,TOWN FARM ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,107,107,,,,,,,,,TOWN FARM,ROAD,RD,,,48324,,208,191,191,2013-12-30,-72.2957870512343,42.12900641831449,813701
M_134492_865754,134492.31600000,865754.34700000,BMP,1077791,215,MOULTON HILL ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,215,215,,,,,,,,,MOULTON HILL,ROAD,RD,,,48256,,208,191,191,2013-12-30,-72.29119595145634,42.03944566613507,813701
M_133248_870955,133248.19340000,870954.81080000,BMP,1078232,18,WALES ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,18,18,,,,,,,,,WALES,ROAD,RD,,,48331,,208,191,191,2013-12-30,-72.30681557519112,42.086159810935094,813701
M_132780_872020,132779.57480000,872019.73060000,BC,1080803,229,MAIN STREET,,,,,A,,,01057,,MONSON,MONSON,MA,,229,229,,,,,,,,,MAIN,STREET,ST,,,48244,,208,191,191,2013-12-30,-72.31260195268611,42.09570704033806,813702
M_131274_870703,131273.56460000,870702.77340000,BC,1079522,43,BOGAN ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,43,43,,,,,,,,,BOGAN,ROAD,RD,,,48175,,208,191,191,2013-12-30,-72.33065136091771,42.08372012018582,813702
M_128998_874239,128997.63620000,874239.10340000,BMP,1077062,30,NIESKE ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,30,30,,,,,,,,,NIESKE,ROAD,RD,,,48259,,208,191,191,2013-12-30,-72.35858740605305,42.11535399392694,813702
M_127386_876835,127385.83020000,876834.70560000,BMP,1079941,2,MAXWELL ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,2,2,,,,,,,,,MAXWELL,ROAD,RD,,,48248,,208,191,191,2013-12-30,-72.37839983071952,42.138573694552605,813702
M_132773_869959,132773.04340000,869959.09520000,BMP,1077445,3,PINEVIEW DRIVE,,,,,,,,01057,,MONSON,MONSON,MA,,3,3,,,,,,,,,PINEVIEW,DRIVE,DR,,,48279,,208,191,191,2013-12-30,-72.3124436409887,42.077154946788504,813702
M_133160_870989,133160.20840000,870989.17060000,BC,1080656,14,WALES ROAD,,,,,1,,,01057,,MONSON,MONSON,MA,,14,14,,,,,,,,,WALES,ROAD,RD,,,48331,,208,191,191,2013-12-30,-72.30788290192291,42.08646164848888,813701
M_128064_866627,128063.83040000,866626.91520000,BMP,1076883,101,BRADWAY ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,101,101,,,,,,,,,BRADWAY,ROAD,RD,,,48179,,208,191,191,2013-12-30,-72.36894085346559,42.0467380402585,813702
M_129683_868635,129682.70260000,868634.54800000,BC,1076996,24,BUTLER ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,24,24,,,,,,,,,BUTLER,ROAD,RD,,,48185,,208,191,191,2013-12-30,-72.34962882066866,42.064959208317916,813702
M_128353_873164,128352.50660000,873163.51760000,BMP,1077795,218,WILBRAHAM ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,218,218,,,,,,,,,WILBRAHAM,ROAD,RD,,,48338,,208,191,191,2013-12-30,-72.36625593605096,42.105612050100206,813702
M_133227_874603,133227.41980000,874602.60400000,BMP,1078093,129,BETHANY ROAD,,,,,,,,01057,,MONSON,MONSON,MA,,129,129,,,,,,,,,BETHANY,ROAD,RD,,,48170,,208,191,191,2013-12-30,-72.3074840284709,42.118998417094545,813701
